項目,買進,賣出,現金(券)償還,前日餘額,今日餘額
融資(交易單位),498444,454233,12817,9041626,9073020
融券(交易單位),30561,40058,4903,219750,224344
融資金額(仟元),39907841,36751053,792275,546812469,549176982
