排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 成交,2日 買賣超 佔 成交,3日 買賣超 佔 成交,5日 買賣超 佔 成交,10日 買賣超 佔 成交,1個月 買賣超 佔 成交,3個月 買賣超 佔 成交,半年 買賣超 佔 成交,1年 買賣超 佔 成交,3年 買賣超 佔 成交,10年 買賣超 佔 成交,今年 買賣超 佔 成交
203,9931,欣高,34.75,0.25,0.72,06/11,-4.63,10.8,-26.5,-17.7,3.89,0.64,0.51,0.43,0.47,0.47,0.25,0.43
204,6560,欣普羅,37.0,-0.55,-1.46,06/11,-42.9,-27.4,-22.5,-17.7,-4.23,-2.34,-2.92,-0.75,-0.04,0.09,,-0.8
205,2743,山富,65.4,-1.1,-1.65,06/11,-22.1,-28.7,-34.0,-17.6,3.14,0.05,-0.17,1.07,-1.0,-0.39,,0.29
206,6921,嘉雨思-創,69.6,0.1,0.14,06/11,-22.9,-32.4,-26.3,-17.6,-12.7,-18.0,-1.53,,,,,-0.95
207,1451,年興,16.5,-0.05,-0.3,06/11,-11.3,-9.29,-10.5,-17.6,9.19,-3.33,-5.62,-5.0,-5.87,-0.29,-1.36,-5.29
208,2014,中鴻,17.45,-0.05,-0.29,06/11,-12.8,-7.39,-22.3,-17.6,8.62,7.55,6.98,2.2,0.41,-0.55,0.05,2.39
209,6770,力積電,64.4,0.0,0.0,06/11,-3.18,-38.6,-31.8,-17.5,-9.33,4.12,-0.46,0.26,0.72,-0.09,,-0.02
210,1514,亞力,118.0,-1.0,-0.84,06/11,-16.2,-16.0,-17.8,-17.5,-7.01,-3.55,-1.36,0.6,0.88,0.13,0.18,0.39
211,3689,湧德,113.5,-1.5,-1.3,06/11,-21.2,-24.3,-33.8,-17.4,-0.44,3.33,-0.27,0.93,-0.98,-0.1,-0.07,-0.63
212,5530,龍巖,49.15,-0.25,-0.51,06/11,-16.7,-18.2,-9.64,-17.4,-5.37,-7.31,-8.2,-10.2,-11.6,-2.66,-1.52,-9.95
213,3002,歐格,18.9,-0.2,-1.05,06/11,-17.3,-12.2,-12.3,-17.4,-10.2,-6.96,-3.07,-0.85,0.0,-0.08,0.01,1.05
214,00927,群益半導體收益,37.09,0.35,0.95,06/11,1.9,-14.9,-12.6,-17.4,-9.53,-7.76,-13.7,-13.3,-0.73,-9.95,,-14.4
215,6712,長聖,135.5,-0.5,-0.37,06/11,-8.44,2.79,-24.3,-17.4,-9.61,-13.2,-11.4,-10.1,-3.19,-0.8,,-10.4
216,2342,茂矽,39.7,0.85,2.19,06/11,-15.8,-23.9,-16.1,-17.4,-2.08,-0.91,1.27,1.01,-0.31,0.37,-0.33,1.16
217,4905,台聯電,72.9,-1.2,-1.62,06/11,-21.3,-15.4,-22.2,-17.3,-3.92,1.28,0.64,0.57,-0.22,-7.19,-3.41,0.55
218,3706,神達,86.5,0.4,0.46,06/11,-15.6,-29.8,-26.8,-17.3,4.55,2.35,4.33,1.9,-0.01,-0.13,-0.11,2.82
219,2916,滿心,42.15,0.0,0.0,06/11,12.0,0.0,-16.5,-17.2,-11.3,-7.29,-3.26,-2.56,-2.16,-1.25,-0.07,-2.64
220,1504,東元,68.4,-1.1,-1.58,06/11,-6.77,-17.5,-18.7,-17.2,-12.1,-10.2,-9.38,-7.75,-3.17,-2.05,-3.83,-8.22
221,00922,國泰台灣領袖50,38.17,-0.17,-0.44,06/11,-3.81,-17.0,-10.6,-17.2,-10.6,2.41,2.92,-8.13,-9.4,-16.6,,-9.82
222,6266,泰詠,25.35,-0.25,-0.98,06/11,-25.0,-21.4,-23.3,-17.2,-9.68,-6.52,-4.67,-3.4,-5.3,-1.06,-0.33,-5.37
223,2385,群光,139.0,0.0,0.0,06/11,4.28,-17.1,-22.1,-17.2,-9.77,-13.4,-3.92,-5.2,-5.87,-1.37,-1.73,-4.06
224,6951,青新-創,79.5,0.5,0.63,06/11,-40.3,-27.8,-22.8,-17.1,-3.44,-6.12,1.05,-0.74,-0.44,,,-0.19
