排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
54,2897,王道銀行,10.5,-0.1,-0.94,06/26,-137,-431,-4788,-5034,-5817,-12618,-18139.0,-9118.0,-8324.0,-8247.0
55,2006,東和鋼鐵,69.8,-0.2,-0.29,06/26,-313,-1138,-3093,-4913,-3826,-3984,4468.0,3119.0,4202.0,3216.0
56,00662,富邦NASDAQ,119.1,-2.9,-2.38,06/26,-1354,-2695,-4260,-4885,-6250,-2198,11653.0,21878.0,28882.0,22288.0
57,00939,統一台灣高息動能,21.24,-0.45,-2.07,06/26,0,-508,-2529,-4425,-9936,-15919,239.0,-1457.0,-347.0,-1457.0
58,2344,華邦電,206.5,-13.0,-5.92,06/26,5221,-4312,-3600,-4294,-346,-22891,16353.0,128202.0,110464.0,134007.0
59,9907,統一實,14.95,-0.45,-2.92,06/26,-4687,-4952,-4879,-4023,865,12046,37526.0,42341.0,46895.0,40106.0
60,2915,潤泰全,52.0,-1.2,-2.26,06/26,-845,-1213,-3058,-3912,-5864,-5187,1778.0,11824.0,24351.0,11089.0
61,3702,大聯大,106.5,-0.5,-0.47,06/26,-65,-2619,-2697,-3812,-10102,-13056,-2813.0,7363.0,-2597.0,7404.0
62,6005,群益證,37.8,-1.0,-2.58,06/26,-51,-798,-1683,-3760,-10951,-32777,2367.0,1102.0,-36079.0,-325.0
63,2317,鴻海,248.5,-9.0,-3.5,06/26,-3812,-9075,-6582,-3748,-320,-4388,-87040.0,17122.0,-66402.0,18071.0
64,2014,中鴻,17.5,-0.3,-1.69,06/26,-2102,-2102,-2883,-3714,-6055,-13266,-39144.0,-31402.0,-17628.0,-30985.0
65,6505,台塑化,53.5,-2.4,-4.29,06/26,-1133,-3376,-4142,-3697,-2981,-3369,-17428.0,-150.0,-14172.0,-491.0
66,3374,精材,279.5,-22.0,-7.3,06/26,-1819,-2313,-2398,-3692,-5882,-2717,-1497.0,-8004.0,-7661.0,-7921.0
67,3037,欣興,975.0,-45.0,-4.41,06/26,236,68,-3062,-3648,-3827,-3247,1797.0,2272.0,-31770.0,942.0
68,8105,凌巨,22.65,-2.5,-9.94,06/26,729,769,-2003,-3585,466,5017,5604.0,6350.0,5494.0,6192.0
