排名,代號,名稱,市 場,成交,漲跌 價,漲跌 幅,成交 張數,法人 買賣 日期,外資 買賣超 張數,投信 買賣超 張數,自營 買賣超 張數,合計 買賣超 張數,外資 持有 (千張),外資 持股 (%),法人 買賣超 註記
1,2923,鼎固-KY,市,25.0,-0.9,-3.47,32,06/05,-4,0,11,7,1730.0,99.4,－・＋
2,8482,商億-KY,市,49.9,0.0,0.0,0,06/05,0,0,0,0,98.6,91.8,・・・
3,8455,大拓-KY,櫃,33.35,-3.3,-9.0,174,06/05,0,0,3,3,22.1,87.8,・・＋
4,6890,來億-KY,市,242.5,11.0,4.75,9871,06/05,-1061,3109,42,2090,217.0,87.1,－＋＋
5,6230,尼得科超眾,市,139.0,-3.5,-2.46,61,06/05,-16,0,-1,-16,75.2,87.0,－・－
6,4560,強信-KY,市,32.8,-0.15,-0.46,405,06/05,-29,0,-8,-37,57.8,84.9,－・－
7,2762,世界健身-KY,市,85.7,0.0,0.0,240,06/05,-76,0,0,-76,93.0,82.7,－・・
8,6415,矽力*-KY,市,582.0,12.0,2.11,4298,06/05,114,-56,-13,45,314.0,80.6,＋－－
9,1590,亞德客-KY,市,1320.0,10.0,0.76,469,06/05,8,-2,-2,4,160.0,80.1,＋－－
10,1341,富林-KY,市,63.5,0.0,0.0,5,06/05,-1,0,0,-1,42.2,79.9,－・・
11,006203,元大MSCI台灣,市,188.5,-4.1,-2.13,19,06/05,-6,0,7,1,8.02,78.5,－・＋
12,3711,日月光投控,市,577.0,-16.0,-2.7,21540,06/05,-851,-707,179,-1379,3454.0,77.3,－－＋
13,6965,中傑-KY,市,81.7,-0.1,-0.12,62,06/05,-6,0,-1,-7,121.0,77.2,－・－
14,6629,泰金-KY,櫃,119.0,0.5,0.42,52,06/05,-6,0,0,-6,29.6,77.0,－・・
15,5276,達輝-KY,櫃,19.4,-0.5,-2.51,126,06/05,6,0,0,6,30.4,77.0,＋・・
16,6924,榮惠-KY創,市,157.0,-12.5,-7.37,172,06/05,6,0,2,8,15.8,76.5,＋・＋
17,2239,英利-KY,市,24.35,-0.65,-2.6,96,06/05,4,0,-4,0,88.7,75.4,＋・－
18,6666,羅麗芬-KY,市,42.35,1.7,4.18,64,06/05,0,0,0,0,35.6,75.2,・・・
19,8291,尚茂,櫃,71.0,-7.8,-9.9,16,06/05,0,0,0,0,12.8,73.5,・・・
20,8499,鼎炫-KY,市,292.5,-4.5,-1.52,61,06/05,-7,0,1,-6,29.7,72.1,－・＋
