排名,代號,名稱,成交,漲跌 價,漲跌 幅,成交 張數,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
171,4915,致伸,77.0,2.2,2.94,4814,06/09,-67,-232,-386,-585,-277,197,815.0,1488.0,1786.0,1367.0
172,8042,金山電,143.5,12.5,9.54,1170,06/09,-126,-194,-268,-582,-1060,-3866,-410.0,-1434.0,2219.0,-731.0
173,2316,楠梓電,168.5,2.0,1.2,7373,06/09,96,-289,-376,-578,-580,-1214,-522.0,-2489.0,1803.0,-740.0
174,2501,國建,24.2,0.25,1.04,3610,06/09,-12,-244,-299,-570,-841,-393,-1404.0,-2308.0,-4034.0,-2436.0
175,6546,正基,76.3,2.9,3.95,842,06/09,-9,-79,-141,-568,-347,18,-3574.0,-1482.0,-2252.0,-1499.0
176,2027,大成鋼,42.9,1.1,2.63,26475,06/09,-406,-1009,217,-567,-955,-2580,3921.0,7499.0,11233.0,-9.0
177,5439,高技,363.5,10.5,2.97,1345,06/09,4,-345,-367,-566,-329,-2169,-2590.0,-6730.0,-10528.0,-5323.0
178,2402,毅嘉,63.8,0.3,0.47,3949,06/09,-113,-713,-977,-563,-1551,-860,-958.0,-4330.0,6619.0,-18372.0
179,2436,偉詮電,67.6,1.9,2.89,3251,06/09,60,-254,-390,-562,-892,-2946,2270.0,2601.0,3212.0,2964.0
180,2206,三陽工業,61.2,-2.1,-3.32,2165,06/09,123,-6,-86,-560,-790,-1591,-18942.0,-19320.0,-16547.0,-19715.0
181,4938,和碩,95.1,3.0,3.26,34211,06/09,334,227,-197,-554,164,562,-621.0,-2512.0,2832.0,-1660.0
182,6143,振曜,91.4,-0.6,-0.65,520,06/09,26,-95,-208,-550,-817,-1285,-3480.0,-7208.0,-5622.0,-7804.0
183,1308,亞聚,13.4,0.0,0.0,1824,06/09,47,-125,-316,-547,-659,-432,807.0,2867.0,5307.0,3550.0
184,6205,詮欣,81.7,-0.4,-0.49,2052,06/09,131,-75,-211,-547,-752,-1074,4277.0,4559.0,3869.0,2954.0
185,2351,順德,192.5,9.5,5.19,6196,06/09,-1285,-1018,-1038,-546,146,4680,23313.0,21736.0,23688.0,22019.0
186,2302,麗正,33.95,2.35,7.44,949,06/09,-33,-50,-470,-544,-3302,957,1261.0,633.0,534.0,720.0
187,2379,瑞昱,651.0,55.0,9.23,7178,06/09,16,-125,-144,-539,72,218,-987.0,527.0,-365.0,134.0
188,2615,萬海,84.7,0.1,0.12,10405,06/09,5,37,-888,-532,-1458,-3050,-4481.0,-3720.0,7095.0,-3049.0
189,3537,堡達,81.0,4.3,5.61,8303,06/09,24,-309,-230,-532,-857,1815,1760.0,1372.0,1902.0,1308.0
190,2328,廣宇,52.9,1.9,3.73,7484,06/09,-66,-908,-1250,-528,-1293,-2152,-514.0,-2827.0,-1533.0,-3144.0
191,6890,來億-KY,274.0,24.5,9.82,2763,06/09,-71,127,-111,-525,-435,-464,-533.0,-2254.0,364.0,-1991.0
192,4426,利勤,8.13,0.03,0.37,158,06/09,13,17,20,-515,-543,-386,-253.0,-180.0,-545.0,-171.0
193,00795B,中信美國公債20年,26.56,-0.07,-0.26,5488,06/09,-200,-520,-541,-514,-1053,-981,-1175.0,-2300.0,-3247.0,-2161.0
194,6290,良維,317.5,2.0,0.63,6812,06/09,370,-50,-341,-514,-1224,1682,-4392.0,4461.0,5710.0,1549.0
195,6261,久元,99.9,-1.6,-1.58,3359,06/09,99,-357,-430,-509,-598,622,4633.0,5196.0,5425.0,4789.0
196,6789,采鈺,496.0,8.5,1.74,2164,06/09,-42,-333,-486,-508,-869,-3057,-5148.0,363.0,6143.0,-1735.0
197,2385,群光,139.5,3.5,2.57,3732,06/09,-55,-234,-402,-506,-439,-623,-1363.0,-1881.0,-815.0,-1988.0
198,3028,增你強,77.8,3.1,4.15,3318,06/09,-31,-154,-283,-504,-355,126,-913.0,-38.0,2571.0,446.0
199,6548,長科*,86.5,4.0,4.85,3560,06/09,-23,-221,-834,-504,-1483,-631,588.0,1478.0,2642.0,815.0
200,4966,譜瑞-KY,691.0,28.0,4.22,3135,06/09,-143,-287,-479,-502,-1634,60,-163.0,799.0,2076.0,529.0
201,6108,競國,18.85,-0.05,-0.26,868,06/09,20,-359,-369,-502,-616,-1313,178.0,-482.0,-1012.0,-184.0
202,4912,聯德控股-KY,95.7,6.2,6.93,843,06/09,-62,-62,-95,-499,-600,392,12.0,520.0,1171.0,588.0
203,009820,元大納斯達克精選,10.2,0.11,1.09,15720,06/09,-58,28,238,-498,937,302,,,,
204,2359,所羅門,144.5,13.0,9.89,3037,06/09,168,-68,-349,-497,-453,133,-72.0,-1256.0,-2650.0,-635.0
205,6213,聯茂,257.0,13.5,5.54,9523,06/09,495,-220,-846,-495,2467,3488,2538.0,-2318.0,7731.0,-1345.0
206,2392,正崴,39.05,-0.15,-0.38,1879,06/09,52,-20,3,-494,-706,-1068,-1586.0,-2557.0,-7340.0,-2099.0
207,3357,臺慶科,298.0,15.0,5.3,18756,06/09,563,516,-332,-493,17,3283,3086.0,4684.0,6091.0,5248.0
208,6658,聯策,188.5,0.0,0.0,880,06/09,-83,-102,-455,-492,-665,-614,-176.0,621.0,-252.0,-296.0
209,2390,云辰,12.0,0.15,1.27,1519,06/09,-140,-266,-304,-482,-760,-837,-434.0,-86.0,-374.0,-52.0
210,3163,波若威,982.0,27.0,2.83,2987,06/09,90,-256,-293,-481,26,366,779.0,-3164.0,-4002.0,-3713.0
211,6806,森崴能源,5.52,0.22,4.15,1459,06/09,0,-87,-337,-480,-936,-2460,-4539.0,-5435.0,-5827.0,-5407.0
212,2610,華航,19.5,0.45,2.36,64733,06/09,-1563,653,1206,-479,-2631,-4585,-511.0,-6696.0,-3148.0,-3390.0
213,2374,佳能,74.7,2.1,2.89,6287,06/09,-112,-1938,-1216,-478,-891,236,2970.0,3022.0,7933.0,3486.0
214,2820,華票,17.4,0.5,2.96,4336,06/09,-175,-115,-231,-471,-271,-249,107.0,559.0,298.0,526.0
215,4977,眾達-KY,192.5,12.0,6.65,3802,06/09,-98,-320,-440,-469,-429,-450,-983.0,-1530.0,536.0,-1540.0
216,4576,大銀微系統,214.0,4.0,1.9,1734,06/09,18,-274,-365,-465,-1194,-2032,-291.0,-468.0,-578.0,-440.0
217,3532,台勝科,284.5,23.5,9.0,719,06/09,-13,18,-118,-463,1015,1595,6068.0,4382.0,6181.0,4285.0
218,6415,矽力*-KY,528.0,4.0,0.76,6924,06/09,-50,-181,-154,-460,-466,681,-1933.0,213.0,3234.0,-312.0
219,8016,矽創,295.5,10.5,3.68,1294,06/09,-33,-89,-258,-460,58,-434,360.0,-171.0,94.0,-144.0
220,3581,博磊,141.0,-15.5,-9.9,231,06/09,-261,-363,-450,-454,2,943,-51.0,-362.0,1232.0,-676.0
221,1536,和大,49.5,0.85,1.75,1371,06/09,-51,-120,-199,-451,-216,486,273.0,-188.0,-2046.0,-69.0
222,2421,建準,160.0,3.0,1.91,7813,06/09,76,-68,-18,-447,-578,-1956,526.0,120.0,-1798.0,-44.0
223,3663,鑫科,71.6,-0.7,-0.97,2067,06/09,66,-182,-210,-445,-986,-453,503.0,151.0,-221.0,-170.0
224,1210,大成,54.5,0.5,0.93,8755,06/09,-29,-200,-226,-437,-1064,-818,-145.0,-337.0,-226.0,-453.0
225,1597,直得,160.0,4.5,2.89,2009,06/09,-33,-455,-870,-427,-3175,-1805,2082.0,1942.0,1757.0,1993.0
226,1563,巧新,62.0,1.5,2.48,1863,06/09,332,561,376,-424,2241,2345,3110.0,3021.0,3175.0,3000.0
227,3413,京鼎,312.5,15.0,5.04,1404,06/09,80,-73,-324,-423,394,430,232.0,704.0,2501.0,263.0
228,3023,信邦,329.0,6.5,2.02,2915,06/09,60,51,-331,-421,-447,-555,-523.0,-1455.0,-1030.0,-1574.0
229,1309,台達化,15.2,-0.05,-0.33,4112,06/09,115,176,222,-417,-472,-361,1979.0,3739.0,5554.0,4184.0
230,4549,桓達,111.5,3.0,2.76,348,06/09,-4,-78,-262,-417,104,67,-30.0,-253.0,255.0,-157.0
231,5521,工信,10.25,0.05,0.49,2887,06/09,-333,-473,-292,-415,-52,931,-4929.0,6283.0,4985.0,-738.0
232,3189,景碩,714.0,16.0,2.29,5538,06/09,385,160,-649,-407,-1401,2919,5932.0,9375.0,14085.0,3670.0
233,2369,菱生,32.35,0.9,2.86,10436,06/09,-55,-672,-934,-405,-1832,-1980,113.0,5403.0,6498.0,3518.0
234,3580,友威科,101.0,1.4,1.41,1964,06/09,-17,-229,-519,-405,-293,876,1470.0,1427.0,1109.0,1304.0
235,1569,濱川,50.0,0.55,1.11,705,06/09,13,-257,-406,-402,-476,-1052,-33.0,-1129.0,-460.0,-1070.0
236,1595,川寶,75.5,0.3,0.4,971,06/09,4,-361,-468,-402,-953,-866,4183.0,4383.0,4370.0,4187.0
237,00830,國泰費城半導體,91.75,3.85,4.38,6547,06/09,-20,-359,-551,-401,374,1136,-1379.0,2062.0,-116.0,1865.0
238,5009,榮剛,35.7,1.1,3.18,3054,06/09,-132,-723,-793,-394,-632,-293,1223.0,2493.0,968.0,2312.0
239,8050,廣積,58.6,5.3,9.94,1669,06/09,3,-89,-83,-394,-995,378,386.0,312.0,15.0,412.0
240,3693,營邦,535.0,-29.0,-5.14,1420,06/09,-7,-134,-184,-391,-420,-1286,189.0,2348.0,2688.0,2467.0
241,2606,裕民,69.1,0.9,1.32,4124,06/09,-168,-185,-357,-389,-833,-1566,-3639.0,-6944.0,-3653.0,-6192.0
242,3701,大眾控,52.1,0.5,0.97,876,06/09,-20,-419,-538,-388,-318,-1097,559.0,6471.0,5709.0,-979.0
243,6134,萬旭,34.15,0.0,0.0,1475,06/09,-76,-260,-392,-386,40,104,501.0,924.0,1167.0,503.0
244,3016,嘉晶,112.0,8.0,7.69,6130,06/09,-22,13,-280,-385,34,1907,3617.0,4362.0,5332.0,4084.0
245,1524,耿鼎,30.95,0.9,3.0,982,06/09,-15,-179,-309,-375,47,35,-196.0,-1549.0,-3225.0,-1324.0
246,8227,巨有科技,189.5,-0.5,-0.26,816,06/09,-105,-257,-236,-375,29,-72,1088.0,797.0,968.0,861.0
247,4306,炎洲,15.1,0.15,1.0,2632,06/09,144,272,73,-374,-528,-720,-140.0,-507.0,-1854.0,-388.0
248,3217,優群,177.0,-2.5,-1.39,1773,06/09,-190,-301,-332,-372,-772,-200,379.0,311.0,673.0,326.0
249,6719,力智,223.5,4.0,1.82,1061,06/09,-230,-432,-426,-371,122,1933,2286.0,2081.0,750.0,2201.0
250,8097,常珵,57.7,-0.3,-0.52,21,06/09,-1,-28,-33,-363,-374,-508,-929.0,-583.0,2070.0,-760.0
251,2342,茂矽,41.35,2.45,6.3,5212,06/09,-106,-466,-221,-362,-533,-1174,1046.0,376.0,815.0,566.0
252,2204,中華,55.3,0.5,0.91,1270,06/09,-8,34,-120,-360,-495,-385,-1943.0,-2395.0,-2663.0,-2258.0
253,4541,晟田,47.0,0.5,1.08,670,06/09,20,-2,-39,-360,-133,2,-86.0,-874.0,-1770.0,-933.0
254,3055,蔚華科,87.8,-3.2,-3.52,3100,06/09,-104,-308,-445,-359,-1232,368,2149.0,1621.0,948.0,1303.0
255,5340,建榮,92.0,0.2,0.22,1648,06/09,-182,-545,-560,-359,-208,44,386.0,517.0,3490.0,1087.0
256,8431,匯鑽科,50.8,-0.5,-0.97,556,06/09,-4,-266,-311,-358,-422,-601,-754.0,-2765.0,218.0,-3891.0
257,1307,三芳,34.6,0.05,0.14,2279,06/09,-213,-327,-313,-353,-462,-664,-1148.0,-1018.0,-278.0,-845.0
258,2329,華泰,56.2,4.1,7.87,9398,06/09,298,232,-298,-348,-2558,-5432,81.0,2988.0,-11696.0,1717.0
259,6695,芯鼎,52.1,2.6,5.25,608,06/09,-27,-107,-101,-348,150,-379,814.0,43.0,-470.0,218.0
260,3437,榮創,22.0,0.5,2.33,950,06/09,3,-41,-168,-347,-121,-99,978.0,1148.0,538.0,1221.0
261,3444,利機,99.8,0.0,0.0,740,06/09,-41,-147,-241,-343,110,679,1159.0,1075.0,1396.0,471.0
262,00981D,主動中信非投等債,10.32,0.0,0.0,3363,06/09,-10,-593,-456,-342,-878,-173,-12924.0,-660.0,,-1357.0
263,3380,明泰,34.7,0.25,0.73,3975,06/09,37,-30,-216,-340,-1081,-1244,-451.0,245.0,383.0,13.0
264,3645,達邁,99.0,2.6,2.7,2616,06/09,44,-273,-273,-337,-2926,-2275,-3595.0,136.0,-307.0,497.0
