排名,代號,名稱,成交,漲跌 價,漲跌 幅,成交 張數,更新 日期,當日 增減 (%),2日 增減 (%),3日 增減 (%),5日 增減 (%),10日 增減 (%),1個月 增減 (%),3個月 增減 (%),半年 增減 (%),1年 增減 (%),今年 增減 (%)
161,8071,能率網通,22.7,1.15,5.34,11200,06/10,-23.2,-20.7,-21.6,-18.6,-27.2,-27.4,-27.8,-26.9,-33.9,-27.9
162,3444,利機,92.1,-7.7,-7.72,1495,06/10,-7.19,-9.2,-14.0,-18.5,-26.5,57.1,138.0,118.0,277.0,24.5
163,00795B,中信美國公債20年,26.69,0.13,0.49,5529,06/10,-0.64,-8.48,-18.7,-18.5,-31.0,-30.5,-34.2,-49.7,-58.1,-48.4
164,3564,其陽,47.3,-2.3,-4.64,426,06/10,-5.17,-0.44,-4.37,-18.4,-20.3,-11.7,-37.4,-42.2,-64.9,-39.4
165,6719,力智,213.0,-10.5,-4.7,1217,06/10,-6.03,-12.0,-16.6,-18.3,-9.91,115.0,186.0,142.0,20.0,164.0
166,7723,築間,22.8,-0.2,-0.87,82,06/10,-5.8,-7.14,-11.6,-18.2,-16.1,17.1,60.5,165.0,,80.6
167,2820,華票,17.6,0.2,1.15,5340,06/10,4.37,-14.8,-9.07,-18.2,-24.3,-20.6,13.6,271.0,68.8,222.0
168,5548,安倉,23.4,0.1,0.43,67,06/10,-15.6,-15.6,-15.6,-18.2,-18.2,-18.2,125.0,5.88,-66.7,1.89
169,6909,創控,43.45,-3.4,-7.26,802,06/10,-9.53,-9.1,-14.1,-18.1,-18.1,-18.0,55.7,2614.0,,328.0
170,2342,茂矽,38.85,-2.5,-6.05,7075,06/10,-1.31,-3.44,-10.0,-18.0,-12.5,-23.5,23.7,7.74,19.2,11.9
171,4915,致伸,75.4,-1.6,-2.08,5171,06/10,-5.18,-6.94,-11.0,-17.8,-14.3,-2.97,25.0,63.3,99.2,54.2
172,8016,矽創,286.5,-9.0,-3.05,1535,06/10,-1.98,-3.88,-6.94,-17.8,-10.3,-18.6,24.6,-12.3,4.34,-9.77
173,3217,優群,171.0,-6.0,-3.39,1112,06/10,-4.35,-11.9,-15.8,-17.7,-26.0,-12.3,17.4,11.9,36.2,12.2
174,6706,惠特,163.0,-13.5,-7.65,3632,06/10,-3.36,-1.46,-6.68,-17.7,-22.6,3.6,13.7,-18.3,63.9,-30.7
175,8070,長華*,57.6,-1.8,-3.03,15991,06/10,-12.3,-12.6,-27.8,-17.7,42.1,50.2,36.9,10.0,14.1,8.44
