排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
126,3059,華晶科,51.0,4.55,9.8,06/02,151,-498,-385,-1115,835,2127.0,968.0,9964.0,7699.0,9080.0
127,00894,中信小資高價30,49.75,-0.8,-1.58,06/02,0,-500,-500,-1113,-1097,-580.0,-58.0,-855.0,82.0,-115.0
128,8932,智通*,102.5,-1.0,-0.97,06/02,-14,-464,-564,-1112,-1522,107.0,7255.0,3251.0,6406.0,2818.0
129,3022,威強電,77.7,1.8,2.37,06/02,-22,-393,-665,-1107,-1144,-1057.0,-905.0,-486.0,1318.0,264.0
130,8069,元太,224.0,-1.0,-0.44,06/02,-343,-2019,-232,-1098,-3522,-3009.0,13095.0,22049.0,26295.0,19682.0
131,1722,台肥,47.05,0.0,0.0,06/02,-624,-1799,-1957,-1045,-183,9408.0,23446.0,24477.0,25289.0,24203.0
132,8086,宏捷科,168.0,2.0,1.2,06/02,-13,-943,-1012,-1029,-1256,-2621.0,-3601.0,-855.0,-5514.0,-1678.0
133,00713,元大台灣高息低波,58.9,0.95,1.64,06/02,0,0,-529,-1005,-637,829.0,2132.0,-13572.0,-35582.0,-13299.0
134,5351,鈺創,92.9,3.2,3.57,06/02,-624,-908,-1324,-1004,-2275,-8595.0,-305.0,-160.0,209.0,-6949.0
135,00924,復華S&P500成長,33.07,0.13,0.39,06/02,0,-1000,-1000,-1000,-1598,-1778.0,-4183.0,-235.0,-700.0,-1051.0
136,6789,采鈺,522.0,-25.0,-4.57,06/02,-389,-463,-624,-1000,-1193,-411.0,3701.0,3170.0,8956.0,2908.0
137,00980A,主動野村臺灣優選,24.7,-0.2,-0.8,06/02,-19,-19,-1020,-971,-5845,1583.0,1405.0,-245.0,4616.0,782.0
138,2404,漢唐,1150.0,-25.0,-2.13,06/02,-167,-307,-364,-967,-780,1200.0,6487.0,6704.0,6088.0,6098.0
139,6202,盛群,57.7,-0.4,-0.69,06/02,54,54,-166,-967,-727,-3159.0,-789.0,-913.0,893.0,-839.0
140,6005,群益證,41.25,1.65,4.17,06/02,-1459,-1631,-1043,-963,3,-5742.0,41356.0,36797.0,-33011.0,31132.0
141,2385,群光,143.5,2.0,1.41,06/02,391,462,321,-920,-1758,1670.0,23086.0,34740.0,41562.0,34984.0
142,00951,台新日本半導體,16.94,-0.03,-0.18,06/02,0,-1125,-1125,-873,-873,-1052.0,-1235.0,-208.0,-8290.0,82.0
