排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 (%),2日 增減 (%),3日 增減 (%),5日 增減 (%),10日 增減 (%),1個月 增減 (%),3個月 增減 (%),半年 增減 (%),1年 增減 (%),今年 增減 (%)
280,00653L,富邦印度正2,46.44,0.02,0.04,06/18,0.0,0.0,0.0,6.28,8.15,39.3,46.3,2382.0,195.0,2382.0
281,4967,十銓,278.5,3.5,1.27,06/18,1.55,5.17,11.7,6.26,0.16,8.32,35.1,108.0,74.6,89.2
282,6435,大中,317.5,28.5,9.86,06/18,0.0,0.4,5.08,6.21,3.33,9.73,78.4,50.3,77.8,22.5
283,6209,今國光,97.1,1.4,1.46,06/18,1.1,2.9,4.89,6.2,21.4,13.5,11.3,19.5,161.0,17.1
284,1712,興農,39.3,-0.35,-0.88,06/18,1.9,2.86,5.07,6.2,9.72,63.9,157.0,207.0,141.0,218.0
285,3716,中化控股,34.7,0.0,0.0,06/18,0.61,1.96,3.62,6.13,18.4,6.27,126.0,156.0,43.0,153.0
286,4535,至興,27.5,0.3,1.1,06/18,1.96,4.0,4.0,6.12,8.33,13.0,15.6,48.6,15.6,48.6
287,8462,柏文,139.0,2.0,1.46,06/18,0.65,5.41,6.12,6.12,4.0,16.0,-14.5,26.3,32.8,20.9
288,6517,保勝光學,78.1,-0.5,-0.64,06/18,-2.43,-1.49,5.01,6.09,18.8,20.8,29.5,29.8,82.4,5.85
289,2912,統一超,223.5,-5.5,-2.4,06/18,2.9,3.99,4.68,6.0,20.0,90.6,69.1,86.3,200.0,72.2
290,1315,達新,62.3,0.6,0.97,06/18,1.92,10.4,10.4,6.0,23.3,51.4,60.6,112.0,76.7,121.0
291,4426,利勤,7.98,-0.03,-0.37,06/18,1.24,1.6,3.44,5.93,19.3,13.3,26.5,17.7,-44.8,18.3
292,4166,友霖,25.0,0.1,0.4,06/18,0.32,-0.94,0.0,5.89,32.7,83.9,482.0,,,
293,2614,東森,18.85,0.0,0.0,06/18,-0.17,0.68,2.63,5.85,4.69,15.8,43.6,39.5,123.0,45.9
294,2317,鴻海,268.5,-3.5,-1.29,06/18,0.73,4.66,7.49,5.83,2.3,-19.9,-48.6,28.3,-34.9,54.0
295,1102,亞泥,35.8,0.25,0.7,06/18,3.52,4.15,5.15,5.82,8.06,-67.3,-49.9,191.0,247.0,101.0
296,3312,弘憶股,62.8,1.2,1.95,06/18,35.0,36.6,31.7,5.78,11.1,-16.0,-31.7,-5.17,-14.1,-2.04
297,6951,青新-創,78.8,0.2,0.25,06/18,4.55,-2.13,2.22,5.75,16.5,15.0,21.1,130.0,171.0,119.0
298,6187,萬潤,1235.0,80.0,6.93,06/18,-1.67,-7.6,-4.46,5.68,55.1,89.4,28.2,-61.5,-70.7,-59.2
299,6505,台塑化,53.5,0.9,1.71,06/18,-3.35,1.51,3.56,5.64,3.53,25.6,-31.6,25.7,-45.4,31.4
300,2881,富邦金,138.0,2.5,1.85,06/18,2.58,-0.87,0.58,5.58,15.0,-57.0,-51.7,-59.2,-54.2,-47.9
