排名,代號,名稱,成交,漲跌 價,漲跌 幅,成交 張數,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
208,2462,良得電,24.95,0.35,1.42,2635,06/05,13,15,14,15,13,16.0,17.0,10.0,15.0,18.0
209,2478,大毅,150.0,12.5,9.09,4349,06/05,15,28,20,15,-380,84.0,85.0,106.0,134.0,98.0
210,2548,華固,103.5,3.7,3.71,5323,06/05,0,-11,-12,15,11,-15.0,4.0,-24.0,-23.0,-40.0
211,5452,佶優,35.6,-0.55,-1.52,8442,06/05,-54,23,36,15,26,29.0,-39.0,34.0,-36.0,-12.0
212,5508,永信建,55.9,1.3,2.38,1354,06/05,-1,-2,6,15,-3,23.0,-114.0,-342.0,-124.0,-136.0
213,5871,中租-KY,118.0,-1.0,-0.84,21924,06/05,-6,5,5,15,15,16.0,3.0,9.0,-98.0,-111.0
214,6761,穩得,219.0,6.5,3.06,1291,06/05,16,16,16,15,16,3.0,5.0,7.0,2.0,19.0
215,1477,聚陽,228.0,-2.0,-0.87,2479,06/05,-7,-3,7,14,24,40.0,35.0,22.0,-4.0,37.0
216,1711,永光,47.45,-0.6,-1.25,12252,06/05,40,60,14,14,-50,40.0,1109.0,1615.0,1630.0,1618.0
217,3537,堡達,83.6,7.6,10.0,8543,06/05,15,13,14,14,13,36.0,11.0,0.0,35.0,2.0
218,6684,安格,48.95,4.45,10.0,1231,06/05,14,14,14,14,13,5.0,0.0,-50.0,-32.0,-14.0
219,2612,中航,57.4,1.7,3.05,1972,06/05,7,7,7,13,13,-8.0,3.0,-118.0,13.0,4.0
220,2634,漢翔,46.55,0.0,0.0,4754,06/05,17,17,18,13,14,6.0,-111.0,-478.0,-849.0,-283.0
221,3511,矽瑪,25.5,-1.5,-5.56,2987,06/05,-11,5,8,13,21,11.0,21.0,10.0,8.0,15.0
222,6409,旭隼,928.0,84.0,9.95,2103,06/05,5,13,13,13,15,20.0,19.0,21.0,24.0,20.0
223,6727,亞泰金屬,472.5,-17.0,-3.47,2307,06/05,2,14,15,13,-23,12.0,12.0,,,
224,8076,伍豐,28.2,-0.4,-1.4,6443,06/05,3,12,13,13,14,15.0,15.0,16.0,9.0,15.0
225,2534,宏盛,18.4,0.35,1.94,760,06/05,0,0,4,12,57,57.0,57.0,52.0,56.0,57.0
226,6505,台塑化,55.3,-2.2,-3.83,10995,06/05,-49,-23,-17,12,22,18.0,-280.0,-356.0,-158.0,-148.0
227,00664R,國泰臺灣加權反1,1.67,0.04,2.45,35773,06/05,1,2,6,11,-39,11.0,-252.0,-203.0,-214.0,-51.0
228,2231,為升,100.5,-1.5,-1.47,406,06/05,1,0,-3,11,1,2.0,-43.0,-154.0,-66.0,-121.0
229,3047,訊舟,16.15,-0.2,-1.22,2189,06/05,-3,-14,-7,11,9,10.0,-34.0,-67.0,-624.0,-99.0
230,3290,東浦,50.2,0.1,0.2,5265,06/05,4,15,15,11,14,19.0,13.0,17.0,20.0,16.0
231,4147,中裕,55.4,-3.2,-5.46,1945,06/05,-12,2,9,11,11,14.0,-2.0,-12.0,21.0,-1.0
232,5531,鄉林,8.05,-0.05,-0.62,780,06/05,0,2,6,11,11,4.0,11.0,11.0,-19.0,11.0
233,6418,詠昇,34.25,-0.25,-0.72,971,06/05,0,11,11,11,0,8.0,-23.0,-33.0,10.0,-48.0
234,6442,光聖,2055.0,-90.0,-4.2,4582,06/05,36,43,51,11,23,-18.0,-265.0,-359.0,-135.0,-283.0
235,6689,伊雲谷,73.5,-0.8,-1.08,461,06/05,2,2,6,11,17,22.0,13.0,20.0,19.0,21.0
236,6885,全福生技,26.55,2.4,9.94,1454,06/05,5,8,6,11,8,11.0,11.0,10.0,,10.0
237,8924,大田,57.9,-0.3,-0.52,104,06/05,0,0,0,11,10,8.0,11.0,-12.0,8.0,-3.0
238,00919,群益台灣精選高息,30.67,0.15,0.49,163636,06/05,-69,-23,-3,10,29,115.0,118.0,-78.0,34.0,48.0
239,2103,台橡,21.7,-0.55,-2.47,7038,06/05,-1,-2,1,10,5,12.0,-72.0,-13.0,13.0,-16.0
240,2104,國際中橡,10.9,-0.3,-2.68,4102,06/05,0,10,10,10,32,30.0,2.0,32.0,29.0,13.0
241,2528,皇普,23.35,2.1,9.88,2961,06/05,9,9,6,10,10,10.0,10.0,10.0,-16.0,10.0
242,3528,安馳,138.0,-2.0,-1.43,533,06/05,3,8,8,10,14,13.0,11.0,-11.0,-286.0,-12.0
243,3704,合勤控,47.7,0.0,0.0,6564,06/05,3,0,8,10,16,76.0,46.0,-108.0,-182.0,-82.0
244,4157,太景*-KY,9.12,0.09,1.0,3104,06/05,2,7,5,10,8,-3.0,-8.0,-17.0,-34.0,-31.0
245,4540,全球傳動,69.6,-1.3,-1.83,8620,06/05,-2,-12,-41,10,-32,-28.0,-73.0,-419.0,-163.0,42.0
246,4908,前鼎,226.5,-8.0,-3.41,1936,06/05,-21,-26,-27,10,-62,-410.0,-64.0,-14.0,21.0,6.0
247,8027,鈦昇,293.0,0.5,0.17,1661,06/05,0,0,3,10,-1146,-63.0,56.0,-16.0,-73.0,-118.0
248,8182,加高,44.9,1.85,4.3,2197,06/05,6,9,11,10,11,15.0,23.0,20.0,23.0,20.0
249,2641,正德,19.55,-0.35,-1.76,16725,06/05,-335,-425,-301,9,8,1.0,-1337.0,-3112.0,-171.0,-1869.0
250,3555,博士旺,226.0,-7.0,-3.0,1424,06/05,1,9,9,9,8,4.0,10.0,10.0,10.0,10.0
251,3712,永崴投控,18.3,-0.2,-1.08,980,06/05,5,3,0,9,-551,-7.0,-241.0,-45.0,-38.0,-25.0
252,4741,泓瀚,62.9,-0.9,-1.41,3650,06/05,0,11,13,9,17,12.0,20.0,21.0,21.0,20.0
253,6112,邁達特,50.0,2.3,4.82,4739,06/05,1,-35,5,9,9,10.0,-6.0,9.0,-224.0,4.0
254,00687B,國泰20年美債,27.87,0.05,0.18,21160,06/05,-2,-2,3,8,8,5.0,9.0,-65.0,-1474.0,-14.0
255,009816,凱基台灣TOP50,15.19,-0.29,-1.87,232855,06/05,-20,-552,-17,8,50,161.0,392.0,,,
256,00995A,主動中信台灣卓越,17.62,-0.35,-1.95,7263,06/05,4,2,2,8,8,10.0,21.0,,,
257,1340,勝悅-KY,5.95,0.02,0.34,352,06/05,8,8,8,8,8,8.0,8.0,8.0,8.0,8.0
258,1442,名軒,27.3,-0.45,-1.62,812,06/05,0,0,0,8,8,14.0,1.0,-314.0,-37.0,-3.0
259,3311,閎暉,39.75,-0.4,-1.0,6032,06/05,3,4,7,8,14,17.0,17.0,16.0,17.0,17.0
