排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 成交,2日 買賣超 佔 成交,3日 買賣超 佔 成交,5日 買賣超 佔 成交,10日 買賣超 佔 成交,1個月 買賣超 佔 成交,3個月 買賣超 佔 成交,半年 買賣超 佔 成交,1年 買賣超 佔 成交,3年 買賣超 佔 成交,10年 買賣超 佔 成交,今年 買賣超 佔 成交
124,6491,晶碩,311.0,0.0,0.0,06/16,49.6,22.4,20.3,31.4,31.0,16.7,15.5,10.0,7.21,0.95,,11.8
125,020020,元大台股領航N,28.9,0.29,1.01,06/16,55.6,74.2,67.6,31.3,18.9,18.5,13.8,33.3,44.5,37.2,,30.8
126,2890,永豐金,35.3,0.1,0.28,06/16,26.4,35.6,40.1,31.3,37.4,23.0,14.2,10.5,8.78,2.97,1.64,11.8
127,009811,統一美國50,12.95,0.09,0.7,06/16,23.9,21.3,20.1,31.2,34.6,38.7,47.0,34.9,,,,36.4
128,00851,台新全球AI,73.85,1.35,1.86,06/16,34.8,40.4,53.4,31.0,9.61,5.27,20.8,17.0,3.91,-3.12,,16.8
129,00949,復華日本龍頭,20.46,-0.05,-0.24,06/16,55.4,59.4,43.6,31.0,37.6,49.5,34.2,13.4,24.4,,,13.7
130,00897,富邦基因免疫生技,9.89,-0.06,-0.6,06/16,63.6,81.1,75.7,30.6,28.2,39.1,39.4,35.8,30.6,21.4,,35.8
131,009815,大華美國MAG7+,11.36,0.14,1.25,06/16,0.0,31.8,34.1,30.5,30.0,40.3,33.7,,,,,
132,1234,黑松,35.0,-0.15,-0.43,06/16,50.6,42.2,34.1,30.4,9.18,5.16,1.18,-1.36,-2.93,-5.23,-2.41,-1.03
133,00799B,國泰A級醫療債,29.72,-0.14,-0.47,06/16,-49.7,-20.7,12.7,30.4,15.7,20.3,-3.82,-11.5,-18.5,-13.1,,-10.6
134,00651R,復華香港反1,5.42,0.09,1.69,06/16,80.0,59.0,62.9,30.2,36.5,26.9,14.1,8.73,9.58,-0.57,-0.63,9.56
135,00661,元大日經225,89.8,0.5,0.56,06/16,-18.6,11.9,40.4,30.2,41.4,34.5,23.9,-1.7,-0.48,-3.89,-3.7,-1.47
136,3413,京鼎,326.5,4.5,1.4,06/16,23.9,49.2,50.4,29.7,23.1,7.6,4.6,0.53,-2.21,-0.17,0.28,1.97
