排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 (%),2日 增減 (%),3日 增減 (%),5日 增減 (%),10日 增減 (%),1個月 增減 (%),3個月 增減 (%),半年 增減 (%),1年 增減 (%),今年 增減 (%)
193,7709,榮田,116.0,-1.0,-0.85,06/09,0.0,0.0,-14.3,-12.4,-25.0,-42.2,550.0,,,
194,3189,景碩,714.0,16.0,2.29,06/09,-3.21,-3.78,-4.81,-12.2,-27.1,-49.9,-80.5,-41.1,-61.0,-36.9
195,6727,亞泰金屬,468.0,42.5,9.99,06/09,-17.1,-17.7,-16.1,-12.2,31.4,-13.3,2.45,135.0,0.0,143.0
196,5522,遠雄,76.0,1.8,2.43,06/09,-6.46,-8.44,-13.2,-11.9,-17.9,-14.2,50.0,-68.1,-64.1,-24.6
197,2454,聯發科,4475.0,405.0,9.95,06/09,-3.02,-11.3,-14.8,-11.9,-9.61,-32.9,-9.08,-27.6,-69.9,-62.7
198,8932,智通*,101.5,1.0,1.0,06/09,0.5,0.19,-1.05,-11.7,-23.5,-18.1,33605.0,58.4,754.0,44.3
199,5309,系統電,74.1,0.1,0.14,06/09,7.91,10.6,5.06,-11.7,-16.1,-35.0,-10.6,-18.8,48.2,2.19
200,6640,均華,1075.0,-75.0,-6.52,06/09,-11.7,-13.3,-21.6,-11.7,-7.55,-6.67,-43.0,-67.5,-58.5,-68.4
201,9105,泰金寶-DR,9.71,-0.64,-6.18,06/09,-1.79,-6.27,-5.93,-11.6,-19.1,-30.2,-27.3,-34.9,4.12,-33.8
202,2015,豐興,61.9,1.0,1.64,06/09,-0.34,-0.43,-1.58,-11.5,-12.6,-20.9,2.1,28.0,171.0,12.3
203,8163,達方,42.9,3.9,10.0,06/09,0.37,-2.51,-11.9,-11.4,-17.6,-14.1,-25.0,22.6,89.8,-6.42
204,3357,臺慶科,298.0,15.0,5.3,06/09,-2.28,-3.14,-2.07,-11.4,3.12,29.3,58.2,-3.41,231.0,-6.92
205,2881,富邦金,125.0,9.0,7.76,06/09,1.89,3.63,-0.17,-11.4,-59.9,-70.7,-54.4,-66.3,-19.8,-54.8
206,2890,永豐金,34.25,2.35,7.37,06/09,5.26,0.36,3.18,-11.4,-31.6,-12.9,22.0,-33.3,-90.2,-38.1
207,3167,大量,951.0,86.0,9.94,06/09,0.28,0.19,-9.57,-11.4,-25.6,-26.5,-44.3,-78.1,-62.9,-66.9
208,4541,晟田,47.0,0.5,1.08,06/09,-1.65,-5.7,-7.67,-11.0,-5.32,15.6,-26.0,-53.0,-33.2,-51.3
209,2905,三商,14.45,0.55,3.96,06/09,0.09,-11.3,-11.6,-10.9,-18.8,-26.0,-16.6,-48.1,-50.6,-35.1
210,6741,91APP*-KY,63.0,0.0,0.0,06/09,-3.26,-4.81,-5.17,-10.9,10.5,37.3,40.9,63.0,52.3,91.0
211,1591,駿吉-KY,34.6,-2.3,-6.23,06/09,-0.4,-5.92,-7.33,-10.9,-11.3,-32.0,-35.2,-35.0,-46.9,-36.3
212,2038,海光,13.75,0.15,1.1,06/09,0.37,-10.7,-11.3,-10.8,-6.8,9.0,-5.18,61.6,-18.1,61.0
213,9927,泰銘,69.3,0.4,0.58,06/09,-1.78,-10.8,-10.8,-10.8,-5.48,22.1,74.1,836.0,-46.1,202.0
214,1527,鑽全,33.2,0.15,0.45,06/09,-10.9,-10.8,-10.8,-10.8,-11.2,-12.7,3.87,24.8,22.7,34.2
215,3535,晶彩科,134.5,11.5,9.35,06/09,-0.05,-1.42,-1.54,-10.7,-15.7,-12.5,112.0,61.0,73.2,44.5
216,2233,宇隆,305.5,10.5,3.56,06/09,4.94,3.6,-0.56,-10.7,-12.0,-46.0,-61.9,-65.8,-19.7,-65.4
217,2103,台橡,21.05,-0.1,-0.47,06/09,-5.7,-12.2,-12.9,-10.6,-7.59,-31.4,0.28,92.7,82.0,75.9
218,6720,久昌,152.5,2.0,1.33,06/09,0.36,-5.07,-10.8,-10.5,13.3,48.0,59.5,33.0,50.1,27.0
219,3171,炎洲流通,79.4,7.2,9.97,06/09,0.88,0.44,0.0,-10.5,-20.4,-15.8,248.0,105.0,369.0,105.0
220,00646,元大S&P500,73.7,0.35,0.48,06/09,-4.15,-5.02,-12.6,-10.4,-9.12,9.21,115.0,122.0,81.4,135.0
221,2723,美食-KY,63.0,0.0,0.0,06/09,-2.11,-4.46,-8.0,-10.2,-8.84,8.24,-2.96,7.7,131.0,16.4
222,9934,成霖,10.6,-0.15,-1.4,06/09,-4.81,-4.19,1.43,-10.1,-13.2,-14.7,-2.42,-26.8,-41.7,-26.3
223,9955,佳龍,27.85,0.45,1.64,06/09,-0.16,-6.56,-10.4,-10.1,-8.37,-1.0,-22.2,-31.5,-48.6,-33.0
