代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,外資 連續 買賣 日數,外資 連續 買賣 張數,外資 連續 買賣 佔 成交 (%),外資 連續 買賣 佔發 行量 (%),投信 連續 買賣 日數,投信 連續 買賣 張數,投信 連續 買賣 佔 成交 (%),投信 連續 買賣 佔發 行量 (%),自營 商 連續 買賣 日數,自營 商 連續 買賣 張數,自營 商 連續 買賣 佔 成交 (%),自營 商 連續 買賣 佔發 行量 (%),三大 法人 連續 買賣 日數,三大 法人 連續 買賣 張數,三大 法人 連續 買賣 佔 成交 (%),三大 法人 連續 買賣 佔發 行量 (%)
5471,松翰,48.0,-3.2,-6.25,06/08,2,279,8.71,0.17,0,0,0.0,0.0,-1,-47,-2.43,-0.03,2,233,7.27,0.14
5475,德宏,255.5,-25.0,-8.91,06/08,2,103,2.23,0.08,0,0,0.0,0.0,-1,-7,-0.35,-0.01,2,123,2.67,0.1
5483,中美晶,141.0,-11.5,-7.54,06/08,2,892,3.09,0.14,-2,-6446,-22.3,-1.01,-3,-829,-2.04,-0.13,-3,-8028,-19.8,-1.25
5488,松普,12.55,-0.45,-3.46,06/08,2,181,10.3,0.2,0,0,0.0,0.0,0,0,0.0,0.0,2,180,10.2,0.2
5493,三聯,94.1,1.0,1.07,06/08,2,154,14.0,0.35,0,0,0.0,0.0,1,2,0.34,0.0,2,148,13.5,0.34
5498,凱崴,57.6,-4.2,-6.8,06/08,2,481,7.13,0.25,0,0,0.0,0.0,-9,-72,-0.17,-0.04,2,479,7.11,0.25
5521,工信,10.2,0.05,0.49,06/08,2,1292,9.85,0.26,0,0,0.0,0.0,-2,-92,-0.7,-0.02,2,1200,9.15,0.24
5522,遠雄,74.2,-1.9,-2.5,06/08,2,272,13.6,0.03,0,0,0.0,0.0,6,405,4.88,0.05,10,3466,26.9,0.44
5534,長虹,76.8,-0.6,-0.78,06/08,2,1501,23.6,0.48,0,0,0.0,0.0,1,12,0.51,0.0,2,1801,28.3,0.57
5548,安倉,23.3,-0.05,-0.21,06/08,2,6,7.03,0.01,0,0,0.0,0.0,0,0,0.0,0.0,2,6,7.03,0.01
5701,劍湖山,6.13,-0.3,-4.67,06/08,2,42,0.39,0.03,0,0,0.0,0.0,0,0,0.0,0.0,2,41,0.39,0.03
6108,競國,18.9,-0.7,-3.57,06/08,2,495,17.2,0.32,0,0,0.0,0.0,-1,-5,-0.29,0.0,2,494,17.2,0.32
6117,迎廣,79.7,-3.3,-3.98,06/08,2,163,8.78,0.18,0,0,0.0,0.0,-3,-72,-2.4,-0.08,2,103,5.53,0.11
6120,達運,14.35,-0.95,-6.21,06/08,2,876,9.32,0.15,1,28,0.72,0.0,-3,-439,-2.78,-0.07,2,479,5.09,0.08
6125,廣運,63.1,-1.7,-2.62,06/08,2,346,7.04,0.13,0,0,0.0,0.0,-3,-330,-4.41,-0.13,1,188,6.64,0.07
6155,鈞寶,77.3,-2.0,-2.52,06/08,2,2796,3.48,3.18,0,0,0.0,0.0,-1,-88,-0.14,-0.1,2,2798,3.48,3.18
6161,捷波,51.0,-2.8,-5.2,06/08,2,192,22.3,0.34,0,0,0.0,0.0,1,0,0.07,0.0,2,192,22.3,0.34
6173,信昌電,209.5,-14.0,-6.26,06/08,2,249,14.6,0.14,0,0,0.0,0.0,5,736,13.3,0.43,4,620,16.8,0.36
6186,新潤,40.2,-0.65,-1.59,06/08,2,34,1.54,0.02,0,0,0.0,0.0,-1,-1,-0.14,0.0,2,35,1.57,0.02
