排名,代號,名稱,市 場,股價 日期,K 線,成交,漲跌 價,漲跌 幅,成交 張數,成交額 (百萬),昨收,開盤,最高,最低,振幅 (%),PER,PBR,1個月 走勢圖,3個月 走勢圖,1年 走勢圖,3年 走勢圖,10年 走勢圖
1181,00727B,國泰優選非投等債,櫃,09/18,,39.17,-0.15,-0.38,137,5.35,39.32,39.28,39.28,39.17,0.28,,0.9985,,,,,
1182,3207,耀勝,櫃,09/18,,39.15,2.0,5.38,297,11.6,37.15,37.5,40.65,37.5,8.48,,1.53,,,,,
1183,4160,訊聯基因,櫃,09/18,,39.15,0.1,0.26,6,0.24,39.05,39.05,39.15,38.95,0.51,57.6,2.12,,,,,
1184,1235,興泰,市,09/18,,39.1,1.6,4.27,19,0.74,37.5,39.3,39.4,37.6,4.8,,0.67,,,,,
1185,6609,瀧澤科,櫃,09/18,,39.1,0.1,0.26,60,2.33,39.0,39.1,39.2,38.85,0.9,,1.19,,,,,
1186,7821,神數,市,09/18,,39.1,0.35,0.9,107,4.17,38.75,39.0,39.1,38.45,1.68,11.9,1.77,,,,,
1187,020025,統一亞洲半導體N,櫃,09/18,,38.96,1.26,3.34,20,0.77,37.7,38.52,38.96,38.47,1.3,,0.9928,,,,,
1188,6103,合邦,櫃,09/18,,38.95,3.5,9.87,149,5.73,35.45,37.95,38.95,36.8,6.06,97.4,3.54,,,,,
1189,2748,雲品,市,09/18,,38.9,0.15,0.39,46,1.77,38.75,38.9,39.0,38.75,0.65,15.4,1.39,,,,,
1190,6887,寶綠特-KY,市,09/18,,38.9,0.6,1.57,16,0.61,38.3,38.3,38.9,37.6,3.39,8.86,0.96,,,,,
1191,00947,台新臺灣IC設計,市,09/18,,38.88,1.78,4.8,9901,380.0,37.1,38.04,38.88,37.91,2.61,,0.9936,,,,,
1192,00877,復華中國5G,櫃,09/18,,38.87,0.67,1.75,2955,114.0,38.2,38.4,39.02,38.07,2.49,,0.999,,,,,
1193,6168,宏齊,市,09/18,,38.85,3.5,9.9,32665,1237.0,35.35,37.15,38.85,35.85,8.49,121.0,2.23,,,,,
1194,2348A,海悅甲特,市,09/18,,38.8,0.05,0.13,26,0.99,38.75,38.75,38.9,38.75,0.39,,,,,,,
1195,8473,山林水,市,09/18,,38.75,0.6,1.57,284,10.9,38.15,38.55,38.75,38.35,1.05,11.2,1.01,,,,,
1196,00927,群益半導體收益,市,09/18,,38.73,1.13,3.01,17845,687.0,37.6,38.28,38.77,38.17,1.6,,0.9933,,,,,
1197,3311,閎暉,市,09/18,,38.7,1.7,4.59,1411,53.7,37.0,37.0,38.8,36.75,5.54,21.5,1.06,,,,,
1198,1436,華友聯,市,09/18,,38.65,1.95,5.31,645,25.0,36.7,38.1,39.4,38.1,3.54,13.4,1.35,,,,,
1199,1809,中釉,市,09/18,,38.6,1.3,3.49,2482,95.4,37.3,38.0,39.1,37.5,4.29,184.0,2.2,,,,,
1200,6234,高僑,櫃,09/18,,38.5,3.5,10.0,1263,47.3,35.0,35.0,38.5,35.0,10.0,37.7,1.38,,,,,
