" "," ","#","股票代號/名稱","類別","20260424","0430","0508","0515","0522","0529"," ","走 勢","總增減"," ","上週持有%","今日收盤價","今日漲跌"," "
" "," ","44","4722國精化","化學","0.42","0.09","2.18","1.01","1.30","-0.50"," ","30","4.50"," ","59.32","285.00","13.00"," "
" "," ","45","2363矽統","半導體","1.16","-0.56","0.34","3.40","0.35","-0.22"," ","10","4.47"," ","37.18","66.90","2.20"," "
" "," ","46","6834天二科技","電子零組件","1.27","-0.05","0.93","-0.08","3.89","-1.49"," ","30","4.47"," ","70.64","75.20","4.70"," "
" "," ","47","2049上銀","電機","2.97","0.04","0.21","1.61","-0.36","-0.10"," ","31","4.37"," ","70.37","389.00","1.00"," "
" "," ","48","3661世芯-KY","半導體","3.34","0.67","2.31","0.20","-0.64","-1.57"," ","10","4.31"," ","37.28","4415.00","115.00"," "
" "," ","49","2404漢唐","其他電子","1.42","-1.48","-0.90","0.56","2.00","2.70"," ","50","4.30"," ","53.84","1155.00","-5.00"," "
" "," ","50","3231緯創","電腦週邊","2.18","0.53","1.26","-1.42","0.25","1.48"," ","50","4.28"," ","62.60","158.50","14.00"," "
" "," ","51","1516川飛","其他","1.11","0.00","1.49","0.74","-0.11","0.95"," ","31","4.18"," ","64.05","20.70","-0.30"," "
" "," ","52","3189景碩","半導體","1.90","-0.81","-1.46","2.07","1.69","0.77"," ","10","4.16"," ","72.81","729.00","48.00"," "
" "," ","53","4555氣立","電機","0.51","-0.03","-1.24","0.82","1.38","2.59"," ","50","4.03"," ","71.96","58.10","0.30"," "
" "," ","54","6215和椿","其他電子","0.16","-0.44","0.05","1.15","2.52","0.55"," ","30","3.99"," ","36.20","127.50","3.00"," "
" "," ","55","2317鴻海","其他電子","0.77","0.26","1.63","0.17","0.35","0.69"," ","50","3.87"," ","70.46","289.00","26.00"," "
" "," ","56","3209全科","電子通路","0.61","0.35","1.01","1.11","-0.18","0.95"," ","31","3.85"," ","49.62","76.10","-2.40"," "
" "," ","57","2406國碩","光電","0.75","0.34","3.21","-0.53","-0.75","0.70"," ","31","3.72"," ","37.12","34.55","1.25"," "
" "," ","58","6414樺漢","電腦週邊","2.14","0.03","1.65","0.90","-0.89","-0.13"," ","31","3.70"," ","65.03","360.50","8.00"," "
" "," ","59","3376新日興","電子零組件","4.18","-2.19","0.71","-3.90","2.76","2.10"," ","30","3.66"," ","53.36","202.50","-2.50"," "
" "," ","60","2438翔耀","光電","0.00","0.01","-0.02","3.85","-0.01","-0.19"," ","10","3.64"," ","58.33","28.20","0.40"," "
" "," ","61","2376技嘉","電腦週邊","1.20","-0.04","1.85","0.71","-0.18","0.05"," ","31","3.59"," ","69.95","370.00","32.50"," "
" "," ","62","1563巧新","汽車","-0.05","0.37","0.56","0.63","0.14","1.92"," ","31","3.57"," ","44.72","66.70","5.60"," "
" "," ","63","2606裕民","航運","0.39","-0.16","0.70","0.61","0.12","1.89"," ","31","3.55"," ","76.85","69.00","-1.90"," "
" "," ","64","3024憶聲","光電","1.12","0.96","0.67","-0.37","0.78","0.26"," ","30","3.42"," ","51.13","14.80","-0.75"," "
" "," ","65","2401凌陽","半導體","2.00","-1.08","0.54","0.33","2.68","-1.11"," ","30","3.36"," ","39.76","30.00","-0.05"," "
" "," ","66","2338光罩","半導體","-0.64","0.09","2.32","-2.37","1.61","2.23"," ","50","3.24"," ","50.87","57.90","2.00"," "
" "," ","67","8016矽創","半導體","0.44","-0.53","1.80","2.15","-0.40","-0.25"," ","31","3.21"," ","44.82","306.00","6.00"," "
" "," ","68","4526東台","電機","-0.23","-0.43","1.76","-1.29","2.04","1.32"," ","30","3.17"," ","49.91","38.95","0.50"," "
" "," ","69","7795長廣","電子零組件","1.94","0.16","-0.76","0.40","0.05","1.37"," ","31","3.16"," ","77.96","407.50","7.00"," "
" "," ","70","3019亞光","光電","-0.30","-0.66","0.36","2.08","-0.49","2.13"," ","31","3.12"," ","39.59","154.00","4.50"," "
" "," ","71","5284jpp-KY","其他","-0.25","0.78","0.60","0.72","-0.51","1.71"," ","31","3.05"," ","59.84","451.50","-8.50"," "
" "," ","72","8105凌巨","光電","0.52","-0.05","0.28","0.60","0.51","1.16"," ","31","3.02"," ","64.69","17.55","0.95"," "
" "," ","73","6831邁科","電腦週邊","1.77","-1.72","-2.20","4.60","0.59","-0.04"," ","10","3.00"," ","62.58","742.00","-48.00"," "
" "," ","74","2603長榮","航運","0.14","0.32","0.93","0.29","0.28","0.97"," ","31","2.93"," ","70.64","213.00","2.00"," "
" "," ","75","3135凌航","半導體","0.91","-1.08","-2.81","4.15","-1.03","2.74"," ","31","2.88"," ","58.71","260.50","10.50"," "
" "," ","76","6715嘉基","電子零組件","-0.72","0.03","2.82","0.91","0.72","-0.92"," ","10","2.84"," ","79.72","436.00","6.50"," "
