"代號","名稱","成交","漲跌價","漲跌幅","法人買賣週別","更新日期","外資連續買賣週數","外資連續買賣張數","外資連續買賣佔成交(%)","外資連續買賣佔發行量(%)","投信連續買賣週數","投信連續買賣張數","投信連續買賣佔成交(%)","投信連續買賣佔發行量(%)","自營商連續買賣週數","自營商連續買賣張數","自營商連續買賣佔成交(%)","自營商連續買賣佔發行量(%)","三大法人連續買賣週數","三大法人連續買賣張數","三大法人連續買賣佔成交(%)","三大法人連續買賣佔發行量(%)"
"0050","元大台灣50","95.5","-1.35","-1.39","26W20","05/13","-3","-278,000","-19.7","-1.5","+15","+103,408","1.1","0.56","-5","-173,790","-7.04","-0.94","-3","-382,556","-27.1","-2.06"
"2455","全新","374","-1","-0.27","26W20","05/13","+1","+4,867","55","2.63","+8","+8,819","1.59","4.77","-4","-1,542","-0.9","-0.83","+1","+4,305","48.6","2.33"
"6640","均華","1425","-50","-3.39","26W20","05/13","-1","-97","-7.16","-0.34","+7","+731","3","2.56","+2","+15","0.46","0.05","-1","-50","-3.67","-0.17"
"9910","豐泰","71.6","-1.9","-2.59","26W20","05/13","-2","-3,219","-15.2","-0.33","+7","+6,535","9.92","0.66","-4","-221","-0.51","-0.02","-2","-1,104","-5.22","-0.11"
"1785","光洋科","154","-4.5","-2.84","26W20","05/13","-3","-45,534","-9.71","-7.64","+6","+1,568","0.21","0.26","-1","-183","-0.19","-0.03","-3","-44,551","-9.5","-7.48"
"6679","鈺太","320","-4.5","-1.39","26W20","05/13","-1","-43","-2.58","-0.08","+6","+140","0.75","0.25","-1","-64","-3.84","-0.12","-1","-74","-4.45","-0.14"
"2059","川湖","5250","-195","-3.58","26W20","05/13","-1","-52","-1.63","-0.05","+5","+1,606","7.54","1.69","-1","-7","-0.21","-0.01","-1","-31","-0.97","-0.03"
"3711","日月光投控","548","-7","-1.26","26W20","05/13","-5","-33,177","-5.83","-0.75","+5","+22,447","3.95","0.51","-1","-42","-0.06","0","+1","+3,545","4.73","0.08"
"6531","愛普*","1040","-15","-1.42","26W20","05/13","-3","-1,962","-3.89","-1.2","+5","+2,163","1.3","1.33","+1","+27","0.11","0.02","+1","+288","1.2","0.18"
"6669","緯穎","5580","-210","-3.63","26W20","05/13","-4","-5,162","-9.71","-2.78","+5","+7,576","12.1","4.08","+4","+372","0.7","0.2","-1","-557","-5.99","-0.3"
"8210","勤誠","1520","-30","-1.94","26W20","05/13","-3","-3,992","-8.03","-3.19","+5","+6,601","7.5","5.27","-1","-104","-0.85","-0.08","+2","+3,070","8.59","2.45"
"2308","台達電","2165","-30","-1.37","26W20","05/13","-4","-14,847","-6.83","-0.57","+4","+3,694","1.7","0.14","-3","-988","-0.64","-0.04","-4","-12,133","-5.58","-0.47"
"2330","台積電","2220","-35","-1.55","26W20","05/13","-3","-117,743","-20.7","-0.45","+4","+31,495","4.13","0.12","-1","-171","-0.12","0","-1","-24,861","-17.7","-0.1"
"2548","華固","124.5","+1","+0.81","26W20","05/13","-3","-3,463","-14.4","-1.08","+4","+2,223","7.46","0.7","+2","+60","0.32","0.02","-1","-1,113","-16.9","-0.35"
"2855","統一證","41.65","-0.15","-0.36","26W20","05/13","-2","-4,629","-4.54","-0.29","+4","+2,972","1.77","0.19","0","0","0","0","-2","-2,970","-2.91","-0.19"
"3026","禾伸堂","325","-5","-1.52","26W20","05/13","+2","+2,636","2.22","1.59","+4","+10,373","5.87","6.25","+1","+50","0.14","0.03","+2","+12,273","10.4","7.4"
"4958","臻鼎-KY","442.5","+35.5","+8.72","26W20","05/13","+1","+21,745","14.1","2.27","+4","+19,321","1.76","2.02","+1","+1,091","0.71","0.11","+1","+25,002","16.2","2.61"
"1477","聚陽","229","+0.5","+0.22","26W20","05/13","-2","-6,110","-25.5","-2.48","+3","+2,223","7.05","0.9","-3","-156","-0.49","-0.06","-2","-4,000","-16.7","-1.62"
"1560","中砂","633","-35","-5.24","26W20","05/13","+1","+345","2.4","0.24","+3","+507","1.29","0.35","-2","-195","-0.65","-0.13","+1","+383","2.66","0.26"
"2204","中華","52.9","-1.1","-2.04","26W20","05/13","-6","-8,125","-23.4","-1.47","+3","+2,159","13","0.39","-1","-64","-1.04","-0.01","-1","-2,573","-41.8","-0.46"
"2313","華通","237","-23","-8.85","26W20","05/13","-1","-27,221","-10.1","-2.28","+3","+2,809","0.27","0.24","-2","-1,851","-0.25","-0.16","-1","-27,339","-10.1","-2.29"
"2327","國巨*","420","+0.5","+0.12","26W20","05/13","-1","-15,362","-9.13","-0.74","+3","+25,596","4.23","1.24","+3","+4,908","0.81","0.24","+3","+40,806","6.74","1.97"
"2344","華邦電","122","+0.5","+0.41","26W20","05/13","+4","+219,196","6.77","4.87","+3","+43,892","1.76","0.98","+4","+8,570","0.26","0.19","+4","+259,998","8.03","5.78"
