"代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","外資連續買賣日數","外資連續買賣張數","外資連續買賣佔成交(%)","外資連續買賣佔發行量(%)","投信連續買賣日數","投信連續買賣張數","投信連續買賣佔成交(%)","投信連續買賣佔發行量(%)","自營商連續買賣日數","自營商連續買賣張數","自營商連續買賣佔成交(%)","自營商連續買賣佔發行量(%)","三大法人連續買賣日數","三大法人連續買賣張數","三大法人連續買賣佔成交(%)","三大法人連續買賣佔發行量(%)"
"4923","力士","37.5","+0.1","+0.27","05/12","+2","+16","2.92","0.05","0","0","0","0","-1","-2","-0.5","-0.01","+2","+15","2.73","0.04"
"4930","燦星網","17.75","-0.1","-0.56","05/12","+2","+11","7.47","0.01","0","0","0","0","0","0","0","0","+2","+8","5.44","0.01"
"4952","凌通","51","-0.6","-1.16","05/12","+2","+567","15.8","0.52","0","0","0","0","-3","-5","-0.11","0","+2","+562","15.6","0.52"
"4976","佳凌","29.4","+0.4","+1.38","05/12","+2","+245","26","0.17","0","0","0","0","-3","-11","-0.65","-0.01","+2","+235","25","0.17"
"4977","眾達-KY","270.5","+24.5","+9.96","05/12","+2","+1,784","4.49","2.22","-1","-6","-0.03","-0.01","+1","+39","0.17","0.05","+2","+1,652","4.16","2.06"
"5220","萬達光電","20.8","+0.35","+1.71","05/12","+2","+13","7","0.03","0","0","0","0","0","0","0","0","+2","+13","7","0.03"
"5225","東科-KY","71.6","-1.8","-2.45","05/12","+2","+266","21.7","0.34","0","0","0","0","-3","-7","-0.36","-0.01","+2","+261","21.3","0.33"
"5230","雷笛克光學","16.6","+0.15","+0.91","05/12","+2","+43","11.7","0.08","0","0","0","0","-2","0","-0.04","0","+2","+43","11.6","0.08"
"5287","數字","150","-1","-0.66","05/12","+2","+9","4.82","0.01","0","0","0","0","0","0","0","0","+2","+9","4.82","0.01"
"5321","美而快","22.5","+0.15","+0.67","05/12","+2","+6","1.53","0.01","0","0","0","0","0","0","0","0","+2","+6","1.53","0.01"
"5351","鈺創","83.8","+3.7","+4.62","05/12","+2","+5,281","6.22","1.61","+2","+40","0.05","0.01","+1","+37","0.07","0.01","+2","+5,358","6.31","1.63"
"5452","佶優","33.5","-0.1","-0.3","05/12","+2","+1,167","23.8","0.78","0","0","0","0","-1","-14","-0.72","-0.01","+2","+1,186","24.2","0.8"
"5457","宣德","35.7","-0.7","-1.92","05/12","+2","+24","2.03","0.01","0","0","0","0","-1","-5","-0.73","0","+2","+46","3.9","0.02"
"5474","聰泰","163.5","-1","-0.61","05/12","+2","+134","15.1","0.34","0","0","0","0","+1","+5","1.37","0.01","+3","+139","9.25","0.35"
"5484","慧友","39","+0.8","+2.09","05/12","+2","+131","14.8","0.2","-1","-4","-0.71","-0.01","0","0","0","0","+2","+127","14.4","0.19"
"5508","永信建","49.35","-0.4","-0.8","05/12","+2","+110","20.3","0.05","0","0","0","0","+1","0","0","0","+2","+101","18.7","0.05"
"5512","力麒","6.91","-0.01","-0.14","05/12","+2","+53","2.19","0.01","0","0","0","0","0","0","0","0","+2","+53","2.19","0.01"
"5516","雙喜","10.8","-0.1","-0.92","05/12","+2","+6","4.61","0.01","0","0","0","0","0","0","0","0","+2","+6","4.61","0.01"
"5608","四維航","15.05","-0.1","-0.66","05/12","+2","+249","6.41","0.06","0","0","0","0","-4","-19","-0.25","0","+2","+232","5.98","0.06"
"5876","上海商銀","40.1","+0.25","+0.63","05/12","+2","+20,618","55.4","0.42","-11","-6,578","-6.04","-0.14","-12","-4,237","-3.57","-0.09","+2","+19,065","51.2","0.39"
"5878","台名","40.7","+0.05","+0.12","05/12","+2","+4","14.9","0.02","0","0","0","0","0","0","0","0","+2","+4","14.9","0.02"
"6005","群益證","31.7","-0.55","-1.71","05/12","+2","+9,669","21.2","0.45","-2","-3,755","-8.23","-0.17","0","0","0","0","-1","-1,361","-6.92","-0.06"
"6023","元大期","99.8","+0.3","+0.3","05/12","+2","+68","13.7","0.02","-1","-77","-23","-0.02","0","0","0","0","-1","-74","-22.1","-0.02"
"6126","信音","33.15","+0.15","+0.45","05/12","+2","+328","17.2","0.25","0","0","0","0","+2","+31","1.65","0.02","+2","+359","18.9","0.28"
"6146","耕興","215","+1.5","+0.7","05/12","+2","+92","12.2","0.09","0","0","0","0","+1","+3","1.3","0","+2","+80","10.6","0.08"
"6154","順發","12.85","+0.05","+0.39","05/12","+2","+10","6.18","0.01","0","0","0","0","0","0","0","0","+2","+10","6.18","0.01"
"6166","凌華","101.5","+8.8","+9.49","05/12","+2","+913","8.86","0.42","0","0","0","0","+3","+222","1.51","0.1","+5","+2,685","11.5","1.23"
"6168","宏齊","26.85","+0.35","+1.32","05/12","+2","+898","14.4","0.44","0","0","0","0","-3","-14","-0.13","-0.01","+2","+885","14.2","0.43"
