排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 賣出 佔 成交,2日 賣出 佔 成交,3日 賣出 佔 成交,5日 賣出 佔 成交,10日 賣出 佔 成交,1個月 賣出 佔 成交,3個月 賣出 佔 成交,半年 賣出 佔 成交,1年 賣出 佔 成交,3年 賣出 佔 成交,10年 賣出 佔 成交,今年 賣出 佔 成交
269,1612,宏泰,35.7,-0.1,-0.28,05/18,47.7,43.5,43.7,37.7,27.9,27.2,32.5,33.3,27.4,26.4,21.8,29.6
270,6464,台數科,77.8,0.2,0.26,05/18,54.5,47.2,43.7,46.1,29.0,22.3,24.5,10.6,9.7,10.8,10.2,23.6
271,00761B,國泰A級公司債,34.19,-0.15,-0.44,05/18,20.3,49.9,43.6,31.7,24.2,25.9,9.9,9.68,9.94,12.7,,10.3
272,1614,三洋電,30.55,-0.45,-1.45,05/18,27.5,41.4,43.6,34.8,30.5,29.1,29.8,23.4,19.1,18.6,12.7,25.2
273,2712,遠雄來,15.5,-0.15,-0.96,05/18,32.4,31.2,43.5,29.2,17.4,9.22,13.3,10.5,8.81,13.0,10.4,10.8
274,1808,潤隆,29.25,0.2,0.69,05/18,43.9,48.3,43.5,47.6,43.8,44.3,45.4,47.3,45.9,39.8,32.3,46.1
275,1217,愛之味,9.33,-0.17,-1.79,05/18,23.7,40.5,43.4,40.6,35.3,34.0,27.0,21.6,22.5,20.7,14.4,23.3
276,6415,矽力*-KY,514.0,46.0,9.83,05/18,37.2,45.6,43.4,45.1,43.6,43.2,43.1,47.2,52.1,52.9,54.7,43.1
277,1319,東陽,80.0,1.4,1.78,05/18,48.8,44.0,43.4,46.0,51.1,50.6,53.1,45.2,47.3,35.7,32.3,45.5
278,6550,北極星藥業-KY,16.15,-0.75,-4.44,05/18,60.0,40.7,43.3,32.5,30.7,28.3,26.6,26.1,25.8,28.4,,27.0
279,1104,環泥,27.35,0.0,0.0,05/18,51.3,37.0,43.1,40.7,40.4,45.1,37.8,36.3,27.2,32.4,29.6,37.2
280,2890,永豐金,30.0,-0.2,-0.66,05/18,45.4,40.1,43.1,45.3,43.9,48.0,55.3,53.0,48.6,51.2,45.4,53.2
281,3706,神達,80.1,0.2,0.25,05/18,49.3,49.4,43.1,47.0,35.6,31.5,29.4,27.6,23.9,23.1,22.5,28.5
282,6722,輝創,37.2,-0.7,-1.85,05/18,32.2,40.2,42.9,42.7,25.4,17.8,19.3,,,,,
283,5434,崇越,400.5,-2.5,-0.62,05/18,32.2,40.1,42.9,52.0,46.6,41.9,36.8,40.5,39.5,37.8,28.4,36.5
284,6177,達麗,45.4,-0.2,-0.44,05/18,46.8,48.5,42.9,42.4,35.5,35.8,38.6,36.2,34.7,31.0,25.6,39.0
285,9911,櫻花,82.2,-0.2,-0.24,05/18,51.9,39.6,42.8,45.7,30.6,37.7,19.4,13.3,8.27,1.68,0.46,18.0
286,6235,華孚,40.5,0.35,0.87,05/18,48.3,51.7,42.7,44.3,40.0,35.5,34.8,31.6,27.1,23.2,16.5,32.9
287,4958,臻鼎-KY,388.5,-12.5,-3.12,05/18,41.2,42.2,42.6,36.2,36.0,35.6,37.2,38.7,40.1,42.6,39.4,37.2
288,1604,聲寶,23.1,0.3,1.32,05/18,39.5,44.5,42.5,37.2,29.8,32.1,26.6,25.0,29.9,24.3,20.3,26.4
289,2404,漢唐,1005.0,5.0,0.5,05/18,40.6,49.6,42.5,40.4,37.6,37.5,39.3,37.6,37.0,35.3,27.8,38.2
290,1110,東泥,14.2,0.0,0.0,05/18,43.2,42.6,42.4,34.2,27.7,25.2,27.5,19.8,22.3,20.9,15.4,22.0
291,9958,世紀鋼,105.5,1.0,0.96,05/18,41.5,48.6,42.4,41.9,37.3,37.3,24.7,16.0,4.31,0.85,0.17,25.8
292,1307,三芳,31.8,-0.05,-0.16,05/18,54.6,42.6,42.4,38.5,37.9,37.7,35.8,34.1,42.9,31.6,26.6,33.9
293,1598,岱宇,20.1,0.0,0.0,05/18,53.6,49.0,42.4,42.6,31.5,31.6,27.0,26.5,27.3,27.6,,26.1
294,6541,泰福-KY,38.7,0.35,0.91,05/18,32.6,32.8,42.3,37.6,35.3,34.6,33.7,31.8,29.2,25.8,,36.4
295,2450,神腦,29.15,-0.2,-0.68,05/18,38.7,36.9,42.3,40.2,23.3,24.4,24.7,23.0,34.4,25.2,22.6,23.5
296,8150,南茂,82.3,1.4,1.73,05/18,39.3,40.5,42.2,43.9,38.3,34.1,24.0,10.7,7.27,5.64,2.06,22.7
297,2348,海悅,69.3,-0.2,-0.29,05/18,41.9,45.8,42.2,39.1,36.6,31.3,29.4,35.8,34.4,30.8,24.4,32.9
298,2059,川湖,4765.0,-95.0,-1.95,05/18,56.4,41.3,42.2,52.4,40.4,43.9,46.3,43.6,44.9,35.0,34.4,43.6
299,1773,勝一,166.5,-9.0,-5.13,05/18,49.6,43.7,42.2,36.9,31.6,28.5,30.2,29.4,29.3,29.0,22.6,29.2
300,1558,伸興,90.3,0.7,0.78,05/18,39.5,45.8,42.1,35.4,22.6,23.4,24.8,20.4,21.8,18.1,21.8,23.4
