"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股超過600張(%)","超過600張增減","持股超過800張(%)","超過800張增減","持股超過1千張(%)","超過1千張增減"
"601","1907","永豐餘","25.7","-0.4","-1.53","26W21","05/22","82.7","+0.03","81.6","+0.07","80.3","-0.1"
"602","6492","生華科","43.4","+0.3","+0.7","26W21","05/22","26.8","+0.11","26.8","+0.11","25.8","+0.11"
"603","6672","騰輝電子-KY","213.5","-5","-2.29","26W21","05/22","27.1","-0.77","19.5","-2.55","16.2","-1.6"
"604","4119","旭富","42.3","-0.65","-1.51","26W21","05/22","44.2","+0.15","42.5","+0.15","42.5","+0.15"
"605","6461","益得","15.65","-0.25","-1.57","26W21","05/22","58.9","-0.32","55.8","+0.01","53.8","+0.01"
"606","4538","大詠城","18.45","+0.05","+0.27","26W21","05/22","76.7","+0.01","73","+0.01","71.4","+0.01"
"607","2107","厚生","25.85","0","0","26W21","05/22","58.2","+0.42","56.7","+0.2","56.1","+0.47"
"608","5523","豐謙","30.4","0","0","26W21","05/22","90.3","+0.21","89.5","+0.21","88.3","+0.21"
"609","1104","環泥","29","0","0","26W21","05/22","70.6","-0.23","69.1","+0.17","68","-0.09"
"610","3062","建漢","24.9","-0.4","-1.58","26W21","05/22","22.9","+1.1","20.1","+1.3","17.4","-0.16"
"611","8040","九暘","96.5","+1.6","+1.69","26W21","05/22","51.1","+1.8","48.4","+1.86","46.5","+1.88"
"612","5263","智崴","102","+0.5","+0.49","26W21","05/22","48.3","-0.14","45.5","-0.09","45.5","-0.09"
"613","4108","懷特","12.2","-0.05","-0.41","26W21","05/22","27.1","+0.09","25.6","+0.09","23.8","+0.09"
"614","1584","精剛","19.5","-0.05","-0.26","26W21","05/22","38.7","+0.2","37.8","+0.2","36.3","+0.6"
"615","6661","威健生技","16","-0.5","-3.03","26W21","05/22","61.5","+0.04","61.5","+0.04","61.5","+0.04"
"616","2231","為升","92.4","-0.6","-0.65","26W21","05/22","63.3","-0.51","62.7","-0.04","62.7","-0.04"
"617","9935","慶豐富","19.2","+0.3","+1.59","26W21","05/22","57","+0.36","52.4","-0.02","50.1","-0.02"
"618","4171","瑞基","17.3","-0.2","-1.14","26W21","05/22","31.4","+0.02","30.2","+0.02","27.4","+0.02"
"619","4178","永笙-KY","17.95","-0.25","-1.37","26W21","05/22","74.7","+0.36","71.8","+0.36","71.4","+0.36"
"620","8404","百和興業-KY","17.25","-0.2","-1.15","26W21","05/22","75.6","-0.2","74.1","-0.06","72.8","-0.06"
"621","6283","淳安","23.15","-1.25","-5.12","26W21","05/22","58.9","+0.01","58.4","+0.01","56.6","+0.01"
"622","8255","朋程","159.5","-3","-1.85","26W21","05/22","51.7","-0.47","50.3","-0.47","49.5","-0.47"
"623","5439","高技","346","-9.5","-2.67","26W21","05/22","46.4","-4.91","42.5","-2.14","38.7","-2.08"
"624","2605","新興","30.4","+0.1","+0.33","26W21","05/22","51.8","-0.17","50.5","-0.26","49.6","+0.03"
"625","4706","大恭","31.95","+0.55","+1.75","26W21","05/22","78.9","+0.06","78","+0.06","76.8","+0.06"
"626","2230","泰茂","26","-1","-3.7","26W21","05/22","41.7","+0.36","36.7","+1.4","28.7","+0.02"
"627","8935","邦泰","21.2","-0.3","-1.4","26W21","05/22","47.7","+0.33","46.5","+1.01","42.7","+1.01"
"628","1452","宏益","10.95","+0.15","+1.39","26W21","05/22","45.5","+0.11","40.9","+0.09","37.7","+0.06"
"629","4183","福永生技","13.65","0","0","26W21","05/22","51.8","0","46.1","0","42.6","0"
"630","00850","元大臺灣ESG永續","85.9","-0.3","-0.35","26W21","05/22","16.6","-0.82","15.7","-0.83","14.6","-1.05"
"631","3630","新鉅科","30.1","-0.3","-0.99","26W21","05/22","52.6","-0.47","51.5","-0.43","51.1","0"
