"代號","名稱","成交","漲跌價","漲跌幅","法人買賣週別","更新日期","外資連續買賣週數","外資連續買賣張數","外資連續買賣佔成交(%)","外資連續買賣佔發行量(%)","投信連續買賣週數","投信連續買賣張數","投信連續買賣佔成交(%)","投信連續買賣佔發行量(%)","自營商連續買賣週數","自營商連續買賣張數","自營商連續買賣佔成交(%)","自營商連續買賣佔發行量(%)","三大法人連續買賣週數","三大法人連續買賣張數","三大法人連續買賣佔成交(%)","三大法人連續買賣佔發行量(%)"
"00696B","富邦美債20年","28.81","-0.01","-0.03","26W20","05/11","+52","+616,975","43.2","88.4","0","0","0","0","-50","-328,810","-23.6","-47.1","+18","+273,059","46.4","39.1"
"00717","富邦美國特別股","15.15","+0.01","+0.07","26W20","05/11","+46","+19,749","56.8","14.1","0","0","0","0","+1","+48","7.29","0.03","+11","+9,126","75","6.54"
"00857B","永豐20年美公債","23.1","-0.03","-0.13","26W20","05/11","+27","+141,459","42.2","23.2","0","0","0","0","-1","-139","-4.68","-0.02","+27","+140,553","42","23.1"
"2637","慧洋-KY","74.5","-0.1","-0.13","26W20","05/11","+21","+72,835","23.9","9.76","-3","-577","-2.47","-0.08","-1","-14","-0.86","0","+13","+29,614","18.7","3.97"
"00733","富邦臺灣中小","68.3","+3.25","+5","26W20","05/11","+20","+27,470","17.6","35.5","0","0","0","0","-1","-519","-14","-0.67","+35","+83,774","36.8","108"
"00893","國泰智能電動車","45.05","+1.45","+3.33","26W20","05/11","+20","+33,312","22.8","8.83","0","0","0","0","+5","+7,141","21","1.89","+20","+47,244","32.3","12.5"
"3209","全科","60.5","+5.5","+10","26W20","05/11","+19","+34,060","14.8","14.5","-3","-77","-0.17","-0.03","+1","+52","0.79","0.02","+2","+2,639","11.4","1.12"
"00931B","統一美債20年","13.38","0","0","26W20","05/11","+17","+236,110","55.4","10.6","0","0","0","0","+2","+2,902","11.6","0.13","+17","+273,583","64.2","12.3"
"6234","高僑","54","-3.8","-6.57","26W20","05/11","+17","+6,161","3.15","6.14","0","0","0","0","+1","+9","0.28","0.01","+1","+439","13.4","0.44"
"1463","強盛新","18.25","0","0","26W20","05/11","+15","+3,342","45.8","1.93","0","0","0","0","0","0","0","0","+15","+3,341","45.8","1.93"
"006205","富邦上証","41.82","+0.59","+1.43","26W20","05/11","+14","+3,899","9.95","3.83","0","0","0","0","+2","+393","14.5","0.39","+14","+6,692","17.1","6.56"
"00898","國泰基因免疫革命","8.06","-0.04","-0.49","26W20","05/11","+14","+18,136","47.6","11.2","0","0","0","0","+2","+368","12.7","0.23","+14","+18,168","47.7","11.3"
"910322","康師傅-DR","24.85","-0.15","-0.6","26W20","05/11","+14","+798","66","3.77","0","0","0","0","0","0","0","0","+14","+798","66","3.77"
"00694B","富邦美債1-3","41.3","-0.04","-0.1","26W20","05/11","+13","+8,662","31.6","5.02","0","0","0","0","-15","-10,203","-32.2","-5.91","-2","-540","-14.3","-0.31"
"00746B","富邦A級公司債","35.35","+0.07","+0.2","26W20","05/11","+12","+31,651","53.2","1.28","0","0","0","0","-12","-30,518","-51.3","-1.23","+3","+15","0.1","0"
"00763U","期街口道瓊銅","33.81","+0.66","+1.99","26W20","05/11","+11","+6,943","11.4","12","0","0","0","0","+7","+13,015","41.2","22.4","+11","+22,522","37","38.8"
"00902","中信電池及儲能","17.26","0","0","26W20","05/11","+10","+34,735","27.2","14.4","0","0","0","0","+1","+416","23.9","0.17","+10","+65,421","51.3","27"
"00897","富邦基因免疫生技","9.79","+0.04","+0.41","26W20","05/11","+9","+9,648","30.2","6.29","0","0","0","0","+2","+820","13.7","0.53","+22","+29,580","33.9","19.3"
"00901","永豐智能車供應鏈","42.36","+0.96","+2.32","26W20","05/11","+9","+3,524","19","5.31","0","0","0","0","+1","+33","5.69","0.05","+9","+3,033","16.4","4.57"
"00943","兆豐電子高息等權","19.33","+0.47","+2.49","26W20","05/11","+9","+10,100","54.9","23.5","0","0","0","0","-5","-2,426","-28.6","-5.66","+10","+9,019","47.3","21"
"00962","台新AI優息動能","13.8","+0.22","+1.62","26W20","05/11","+9","+2,774","11.3","5.67","0","0","0","0","-2","-72","-1.35","-0.15","-1","-15","-5.32","-0.03"
"009817","國泰日本不動產","9.2","-0.05","-0.54","26W20","05/11","+9","+29,574","20","10.2","+1","+330","9.59","0.11","+6","+9,882","14.3","3.4","+7","+27,639","31.4","9.52"
"00982B","FT投資級債20+","9.81","+0.01","+0.1","26W20","05/11","+9","+1,144","30.2","3.83","0","0","0","0","-4","-494","-26.1","-1.65","+2","+302","39.9","1.01"
"00984B","大華優利美A債15","16.28","+0.03","+0.18","26W20","05/11","+9","+64,686","39.3","32.7","0","0","0","0","-3","-5,939","-17.2","-3","+2","+11,456","52.4","5.79"
"2379","瑞昱","584","-8","-1.35","26W20","05/11","+9","+34,747","23.2","6.74","-5","-5,641","-6.3","-1.09","-1","-121","-1.23","-0.02","+9","+19,551","13","3.79"
"8440","綠電","20.7","+0.5","+2.48","26W20","05/11","+9","+267","5.74","0.53","0","0","0","0","0","0","0","0","+3","+56","3.78","0.11"
"00885","富邦越南","19.58","+0.29","+1.5","26W20","05/11","+8","+48,511","26.5","7.12","0","0","0","0","+7","+33,291","20.8","4.89","+7","+81,710","51","12"
"00896","中信綠能及電動車","27.14","+0.51","+1.92","26W20","05/11","+8","+13,187","14.7","4.85","0","0","0","0","+6","+21,493","30.8","7.91","+6","+34,012","48.8","12.5"
"00915","凱基優選高股息30","26.67","+0.18","+0.68","26W20","05/11","+8","+52,189","18","7.87","0","0","0","0","+62","+923,421","45.2","139","+62","+1,068,719","52.3","161"
"1303","南亞","91.5","+2.9","+3.27","26W20","05/11","+8","+224,690","7.74","2.83","-5","-40,232","-2.26","-0.51","+1","+123","0.23","0","+7","+198,208","7.59","2.5"
"2049","上銀","351","+31.5","+9.86","26W20","05/11","+8","+25,067","8.92","7.09","+1","+161","1.31","0.05","+1","+182","1.47","0.05","+8","+25,397","9.04","7.18"
"2072","世紀風電","179.5","-1","-0.55","26W20","05/11","+8","+1,639","6.85","0.85","0","0","0","0","+1","+6","1","0","+8","+2,219","9.27","1.16"
"2301","光寶科","224","+20","+9.8","26W20","05/11","+8","+175,795","17.7","7.59","-5","-22,062","-2.83","-0.95","+2","+1,751","0.51","0.08","+8","+156,743","15.8","6.77"
