排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 發行 張數,2日 買賣超 佔 發行 張數,3日 買賣超 佔 發行 張數,5日 買賣超 佔 發行 張數,10日 買賣超 佔 發行 張數,1個月 買賣超 佔 發行 張數,3個月 買賣超 佔 發行 張數,半年 買賣超 佔 發行 張數,1年 買賣超 佔 發行 張數,3年 買賣超 佔 發行 張數,10年 買賣超 佔 發行 張數,今年 買賣超 佔 發行 張數
221,2458,義隆,145.0,2.5,1.75,05/18,0.16,-0.15,0.5,0.61,2.34,4.99,12.3,8.74,-5.16,-1.29,30.8,12.3
222,0053,元大電子,218.2,-3.1,-1.4,05/18,0.54,0.6,0.6,0.6,0.22,0.06,-0.01,0.18,0.5,-3.16,0.87,0.25
223,3349,寶德,19.1,0.1,0.53,05/18,0.1,0.28,0.26,0.6,0.9,0.45,0.19,1.08,1.31,1.31,,0.73
224,00945B,凱基美國非投等債,14.44,0.01,0.07,05/18,0.28,-0.11,-0.11,0.59,0.34,1.56,7.76,13.8,31.2,,,7.74
225,2413,環科,47.5,4.3,9.95,05/18,0.78,0.65,0.75,0.59,0.28,-0.52,0.56,0.59,-0.18,1.29,2.45,0.57
226,1904,正隆,19.1,-1.25,-6.14,05/18,-0.17,0.13,0.38,0.59,0.47,0.41,0.29,0.41,0.26,0.37,0.46,0.6
227,6243,迅杰,34.45,0.85,2.53,05/18,0.24,0.27,0.52,0.59,0.74,0.37,0.15,-0.44,0.0,-3.99,-6.95,1.06
228,3147,大綜,176.0,4.0,2.33,05/18,0.34,0.52,0.61,0.59,0.64,0.65,0.67,-0.08,-10.1,-3.54,,0.41
229,3437,榮創,23.7,-0.15,-0.63,05/18,0.23,0.43,0.7,0.58,-0.07,-2.03,-1.51,-2.2,-2.6,-3.25,-6.48,-2.66
230,00661,元大日經225,78.9,-0.5,-0.63,05/18,0.08,0.03,0.25,0.58,0.75,1.03,1.12,1.21,3.97,12.0,,1.01
231,00700,富邦恒生國企,17.32,-0.19,-1.09,05/18,-0.02,-0.02,0.37,0.58,0.62,2.11,22.2,34.2,51.8,59.1,,31.9
232,00958B,永豐ESG銀行債15+,9.19,-0.02,-0.22,05/18,0.02,-0.09,-0.02,0.58,1.55,4.76,9.18,10.0,11.2,,,9.16
233,2340,台亞,34.9,0.1,0.29,05/18,0.11,0.11,0.5,0.58,-0.71,-0.72,1.58,2.01,-1.14,-3.61,-5.18,0.97
234,5484,慧友,41.4,0.8,1.97,05/18,-0.4,0.57,0.54,0.57,0.69,0.68,1.16,1.1,0.22,0.93,1.37,1.09
235,2727,王品,233.0,-3.5,-1.48,05/18,-0.04,0.13,0.24,0.57,2.04,1.73,6.23,5.04,3.37,-9.13,16.0,5.98
236,4960,誠美材,33.5,-0.75,-2.19,05/18,0.49,0.51,0.82,0.57,-2.59,-2.47,2.68,2.77,3.36,11.8,-19.9,2.15
237,009803,玉山市值動能50,19.7,-0.15,-0.76,05/18,0.29,0.16,1.18,0.57,0.07,-1.13,1.18,3.42,4.19,,,1.69
238,009813,貝萊德標普卓越50,11.3,-0.09,-0.79,05/18,0.01,0.01,0.39,0.57,0.99,5.65,10.4,12.3,,,,12.3
239,00757,統一FANG+,127.45,-1.35,-1.05,05/18,0.11,0.11,0.16,0.56,1.37,3.88,5.72,10.4,25.3,25.1,,8.65
240,6229,研通,26.3,-0.8,-2.95,05/18,0.13,0.38,0.33,0.56,0.07,0.34,0.27,0.01,-0.31,0.36,-2.91,0.05
241,6658,聯策,203.0,9.0,4.64,05/18,-0.03,0.36,0.4,0.56,0.86,4.35,6.02,4.8,2.4,,,7.04
242,1810,和成,18.4,-0.4,-2.13,05/18,-0.17,0.44,0.41,0.56,0.43,0.6,0.98,-0.06,1.88,0.53,0.14,1.39
243,6219,富旺,11.95,-0.05,-0.42,05/18,0.27,0.26,0.35,0.56,0.68,1.05,0.03,0.29,-0.64,-0.9,0.19,0.15
244,00733,富邦臺灣中小,67.2,0.5,0.75,05/18,0.15,-0.04,0.08,0.55,6.47,11.4,26.3,36.9,47.7,23.7,,36.4
245,3416,融程電,168.5,5.5,3.37,05/18,0.07,0.13,0.2,0.54,0.1,0.02,0.4,-1.72,-2.88,-3.94,0.28,-0.58
246,6138,茂達,296.0,11.5,4.04,05/18,-0.25,-0.28,0.6,0.53,2.36,3.2,0.46,1.02,12.1,21.7,29.9,1.7
247,4555,氣立,41.85,0.05,0.12,05/18,-0.02,0.58,0.47,0.53,0.16,-0.01,-0.92,-2.21,-1.05,1.31,-6.95,-1.45
248,8234,新漢,69.9,-0.9,-1.27,05/18,-0.06,0.37,0.42,0.53,-0.02,-0.4,-0.03,0.34,-1.28,0.63,-0.14,-0.51
249,6510,精測,3720.0,-15.0,-0.4,05/18,0.44,-0.11,0.53,0.53,0.07,-1.0,4.87,-0.2,3.91,15.1,15.1,2.97
250,2881,富邦金,95.2,-0.9,-0.94,05/18,0.0,0.43,0.48,0.52,0.95,1.32,0.26,0.21,-2.3,-2.91,-9.19,0.87
