代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,外資 連續 買賣 日數,外資 連續 買賣 張數,外資 連續 買賣 佔 成交 (%),外資 連續 買賣 佔發 行量 (%),投信 連續 買賣 日數,投信 連續 買賣 張數,投信 連續 買賣 佔 成交 (%),投信 連續 買賣 佔發 行量 (%),自營 商 連續 買賣 日數,自營 商 連續 買賣 張數,自營 商 連續 買賣 佔 成交 (%),自營 商 連續 買賣 佔發 行量 (%),三大 法人 連續 買賣 日數,三大 法人 連續 買賣 張數,三大 法人 連續 買賣 佔 成交 (%),三大 法人 連續 買賣 佔發 行量 (%)
935,野村臺灣新科技50,62.1,2.1,3.5,05/27,-2,-4119,-7.47,-0.66,3,746,0.75,0.12,-9,-59358,-32.8,-9.46,-15,-64578,-24.8,-10.3
1519,華城,878.0,27.0,3.17,05/27,1,219,3.51,0.07,3,34,0.29,0.01,5,248,1.65,0.08,1,341,5.45,0.11
1560,中砂,727.0,-15.0,-2.02,05/27,-1,-561,-27.2,-0.38,3,82,1.29,0.06,-1,-4,-0.18,0.0,-1,-506,-24.5,-0.35
2301,光寶科,246.0,6.5,2.71,05/27,1,1802,3.13,0.08,3,5980,3.86,0.26,-1,-345,-0.6,-0.01,4,15026,8.56,0.65
2308,台達電,2520.0,170.0,7.23,05/27,3,10174,26.7,0.39,3,659,1.73,0.03,-1,-3,-0.02,0.0,3,11293,29.6,0.43
2344,華邦電,155.0,14.0,9.93,05/27,4,185181,14.0,4.12,3,20287,1.79,0.45,5,6482,0.42,0.14,4,209580,15.8,4.66
2379,瑞昱,605.0,15.0,2.54,05/27,1,647,10.7,0.13,3,1426,10.8,0.28,1,79,1.31,0.02,3,2266,17.2,0.44
2412,中華電,137.0,1.0,0.74,05/27,-6,-39313,-43.1,-0.51,3,3488,7.73,0.04,6,1259,1.38,0.02,-6,-34996,-38.4,-0.45
3034,聯詠,485.0,-6.5,-1.32,05/27,-2,-951,-8.38,-0.16,3,937,5.78,0.15,4,411,1.68,0.07,-1,-146,-2.1,-0.02
5880,合庫金,22.75,0.05,0.22,05/27,-6,-34081,-36.7,-0.22,3,320,0.66,0.0,4,393,0.61,0.0,-6,-34022,-36.7,-0.22
6446,藥華藥,877.0,-1.0,-0.11,05/27,7,3626,18.1,0.95,3,63,0.62,0.02,-1,-4,-0.11,0.0,7,3031,15.1,0.8
9803,玉山市值動能50,21.92,0.56,2.62,05/27,-1,-3,-0.23,0.0,2,470,19.2,0.35,1,139,10.7,0.1,1,256,19.8,0.19
1907,永豐餘,24.0,-0.5,-2.04,05/27,-1,-871,-48.6,-0.05,2,19,0.67,0.0,3,28,0.72,0.0,-1,-838,-46.8,-0.05
2002,中鋼,19.1,-0.4,-2.05,05/27,-2,-51868,-13.7,-0.33,2,30,0.01,0.0,-1,-1769,-1.82,-0.01,-2,-53384,-14.1,-0.34
2049,上銀,409.0,-0.5,-0.12,05/27,1,440,5.64,0.12,2,634,3.57,0.18,3,437,1.71,0.12,3,3001,11.7,0.85
2356,英業達,62.0,-0.6,-0.96,05/27,-3,-61992,-15.2,-1.73,2,15781,5.79,0.44,1,509,0.64,0.01,-3,-47527,-11.7,-1.32
2441,超豐,136.0,0.0,0.0,05/27,-3,-4082,-5.27,-0.72,2,538,1.02,0.09,-2,-608,-1.15,-0.11,-2,-4025,-7.63,-0.71
2606,裕民,72.5,2.5,3.57,05/27,3,7809,23.3,0.92,2,673,2.6,0.08,4,609,1.58,0.07,3,8981,26.8,1.06
2891,中信金,59.2,1.6,2.78,05/27,-1,-508,-0.78,0.0,2,5327,4.55,0.03,1,833,1.28,0.0,2,4646,3.97,0.02
3017,奇鋐,2700.0,-25.0,-0.92,05/27,2,1330,12.5,0.34,2,886,8.34,0.23,-1,-113,-2.58,-0.03,2,2195,20.7,0.56
3037,欣興,1080.0,-5.0,-0.46,05/27,5,22132,13.8,1.39,2,4053,6.58,0.26,-1,-541,-1.98,-0.03,5,27392,17.0,1.72
3042,晶技,198.0,-5.0,-2.46,05/27,-4,-10088,-8.98,-2.94,2,8538,10.9,2.49,-2,-419,-0.53,-0.12,-1,-5426,-19.1,-1.58
3455,由田,255.5,-16.0,-5.89,05/27,-6,-2642,-16.0,-4.41,2,8,0.13,0.01,-1,0,-0.01,0.0,-7,-2635,-15.7,-4.4
4764,雙鍵,321.0,-17.0,-5.03,05/27,-2,-1372,-21.8,-1.6,2,545,8.64,0.64,1,4,0.13,0.0,-2,-840,-13.3,-0.98
4977,眾達-KY,221.0,-14.5,-6.16,05/27,-1,-900,-13.9,-1.12,2,182,1.45,0.23,-2,-121,-0.96,-0.15,-1,-864,-13.4,-1.08
5483,中美晶,162.0,-2.0,-1.22,05/27,-1,-3537,-11.2,-0.55,2,156,0.24,0.02,-1,-256,-0.81,-0.04,-1,-3787,-12.0,-0.59
5536,聖暉*,1110.0,75.0,7.25,05/27,-1,-328,-8.63,-0.26,2,1435,21.8,1.16,5,193,1.84,0.16,3,1881,24.5,1.52
6147,頎邦,265.0,4.5,1.73,05/27,3,20314,11.4,2.73,2,3073,2.47,0.41,-2,-451,-0.36,-0.06,3,22874,12.8,3.07
6182,合晶,90.2,5.8,6.87,05/27,1,16104,7.67,2.71,2,5789,2.49,0.98,-1,-487,-0.23,-0.08,12,39843,10.2,6.71
6196,帆宣,500.0,-6.0,-1.19,05/27,-1,-254,-7.28,-0.12,2,1106,11.3,0.5,-2,-122,-1.25,-0.06,8,3345,14.4,1.52
6285,啟碁,311.5,7.0,2.3,05/27,2,9169,18.0,1.9,2,1116,2.19,0.23,2,254,0.5,0.05,2,10539,20.6,2.18
6706,惠特,216.5,19.5,9.9,05/27,2,1456,5.31,1.85,2,2432,8.87,3.1,-1,-61,-0.47,-0.08,2,3924,14.3,5.0
