"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日賣出佔成交","2日賣出佔成交","3日賣出佔成交","5日賣出佔成交","10日賣出佔成交","1個月賣出佔成交","3個月賣出佔成交","半年賣出佔成交","1年賣出佔成交","3年賣出佔成交","10年賣出佔成交","今年賣出佔成交"
"154","8422","可寧衛*","27.1","-0.45","-1.63","05/13","0.9","0.98","2.25","1.68","1.98","3.51","2.27","1.57","1.56","1.58","1.58","1.56"
"155","3661","世芯-KY","4780","-530","-9.98","05/13","6.35","3.39","2.85","1.68","3.77","1.74","2.46","2.72","2.48","2.06","1.63","2.36"
"156","4766","南寶","386","+12.5","+3.35","05/13","2.66","2.93","1.99","1.62","1.71","3.42","2.89","4.1","5.25","4.59","","3.14"
"157","00953B","群益優選非投等債","9.56","+0.01","+0.1","05/13","0","0","0","1.6","0.78","0.95","0.52","0.73","1.56","","","0.83"
"158","2308","台達電","2165","-30","-1.37","05/13","3.05","2.18","1.97","1.56","1.18","1.44","1.21","1.45","1.72","2.22","1.8","1.25"
"159","3034","聯詠","486.5","-0.5","-0.1","05/13","1.71","2.08","1.96","1.54","2.42","5.22","8.68","11.2","15.3","8.97","4.02","9.75"
"160","5469","瀚宇博","81.2","-1.6","-1.93","05/13","5.63","2.15","1.18","1.51","1.35","2.24","1.88","0.64","0.35","2.35","1.15","1.17"
"161","7769","鴻勁","7440","+570","+8.3","05/13","0.21","0.22","0.2","1.5","1.82","4.71","3.85","","","","","3.38"
"162","5876","上海商銀","40.3","+0.2","+0.5","05/13","0.78","1.86","1.21","1.49","5.86","6.88","5.33","16.5","20.3","9.72","","8.58"
"163","6568","宏觀","220.5","-6","-2.65","05/13","0","0","0.93","1.48","0.58","0.19","0.06","0.04","0.04","0.1","","0.05"
"164","2454","聯發科","3495","-205","-5.54","05/13","2.9","2.03","1.75","1.46","1.03","1.12","2.22","2.1","4.95","4","2.08","2.29"
"165","3693","營邦","569","-24","-4.05","05/13","0","0","2.69","1.44","1","0.6","0.3","0.47","0.38","0.1","0.08","0.27"
"166","3680","家登","588","-14","-2.33","05/13","3.3","1.57","0.98","1.4","0.61","1.02","1.34","0.92","1.14","3.89","1.95","1.12"
"167","2753","八方雲集","178.5","0","0","05/13","0.46","0.84","0.86","1.35","0.95","0.52","0.2","0.5","0.89","2.22","","0.68"
