排名,代號,名稱,成交,漲跌 價,漲跌 幅,成交 張數,更新 日期,當日 增減 (%),2日 增減 (%),3日 增減 (%),5日 增減 (%),10日 增減 (%),1個月 增減 (%),3個月 增減 (%),半年 增減 (%),1年 增減 (%),今年 增減 (%)
160,3628,盈正,61.9,-0.4,-0.64,131,05/20,0.43,-3.06,-3.06,-14.9,-15.6,-24.0,-18.6,-25.1,123.0,-31.0
161,7714,創泓科技,123.5,0.0,0.0,30,05/20,-0.36,-4.2,-12.2,-14.9,-23.2,-31.0,-43.2,,,-30.6
162,6206,飛捷,131.0,1.5,1.16,1557,05/20,-2.42,-6.1,-3.03,-14.8,-19.0,-21.7,-29.8,-32.6,-53.7,-28.3
163,6223,旺矽,5680.0,-50.0,-0.87,1034,05/20,-4.0,-10.3,-7.48,-14.8,-14.8,-0.5,16.1,-18.1,-58.6,2.48
164,009812,野村日本東證,11.81,-0.2,-1.67,1080,05/20,7.41,7.41,7.41,-14.7,-17.1,-4.92,-81.9,-38.3,,28.9
165,5381,光譜,24.75,-0.55,-2.17,633,05/20,-3.91,-2.56,-1.48,-14.6,24.1,546.0,,,,
166,3645,達邁,103.0,-5.5,-5.07,10637,05/20,0.8,1.4,2.28,-14.6,2.49,-30.1,24.1,24.0,30.0,37.4
167,6195,詩肯,26.15,0.55,2.15,28,05/20,2.17,-4.08,0.0,-14.5,88.0,95.8,4.44,-7.84,6.82,-6.0
168,6788,華景電,393.0,-11.0,-2.72,582,05/20,0.91,0.28,-0.41,-14.5,-15.8,-27.0,5.33,-2.47,8.06,-40.5
169,1785,光洋科,138.0,-5.0,-3.5,17443,05/20,-4.06,-5.1,-9.61,-14.5,-18.2,-6.41,70.3,44.4,34.4,27.6
170,4949,有成精密,87.3,0.9,1.04,1349,05/20,-0.5,0.72,-2.66,-14.4,-16.8,6.86,65.8,26.0,10.8,21.4
171,6865,偉康科技,27.8,0.0,0.0,8,05/20,-0.59,-5.1,-11.6,-14.3,-19.9,-19.9,-56.1,,,-55.7
172,6581,鋼聯,107.0,-0.5,-0.47,22,05/20,-14.3,-14.3,-14.3,-14.3,-25.0,-36.8,-47.8,-53.8,-73.9,-47.8
173,1235,興泰,37.0,-3.5,-8.64,68,05/20,0.29,-2.52,-14.2,-14.2,-14.2,-16.2,-29.5,-30.8,-38.3,-29.2
174,3694,海華,71.2,6.4,9.88,12437,05/20,-18.4,-16.8,-15.1,-14.2,-10.1,-11.7,-17.3,0.38,28.2,-7.98
175,9906,欣巴巴,33.15,1.2,3.76,320,05/20,0.0,-13.8,-14.1,-14.1,-22.8,-18.6,-27.6,-31.8,-18.6,-35.3
176,00892,富邦台灣半導體,40.05,0.17,0.43,2748,05/20,4.99,-28.5,-31.8,-13.8,-16.8,-28.1,7267.0,514.0,87.3,3918.0
177,00996A,主動兆豐台灣豐收,13.26,0.07,0.53,9757,05/20,2.89,-0.07,-10.8,-13.8,-35.8,20.6,,,,
178,8105,凌巨,15.45,-0.25,-1.59,2929,05/20,0.03,-4.3,-2.8,-13.7,12.1,35.2,6.31,-31.0,-25.3,-28.5
179,1439,雋揚,25.5,0.05,0.2,54,05/20,-2.16,-13.8,-13.8,-13.7,-13.5,-12.3,-9.96,12.6,29.0,4.63
180,3716,中化控股,34.25,0.25,0.74,163,05/20,-4.22,-3.91,-3.12,-13.6,-16.0,-13.7,-26.0,-27.9,-40.9,-26.9
181,3093,港建*,47.8,-0.75,-1.54,780,05/20,0.44,-4.2,-7.54,-13.5,-20.5,-45.6,179.0,164.0,264.0,172.0
182,6640,均華,1250.0,-40.0,-3.1,310,05/20,0.0,-3.6,-12.5,-13.5,-9.8,-35.4,13.5,,,483.0
183,6419,京晨科,143.5,-14.5,-9.18,2047,05/20,-16.6,-18.9,-21.9,-13.4,14.7,-7.95,61.9,,,57.8
184,6115,鎰勝,47.0,0.35,0.75,68,05/20,3.51,1.72,0.0,-13.2,-39.8,-37.2,111.0,73.5,168.0,68.6
185,4127,天良,52.0,4.7,9.94,478,05/20,-2.52,0.14,4.55,-13.2,26.7,57.6,30.5,160.0,9.2,162.0
186,5498,凱崴,61.3,-4.1,-6.27,7188,05/20,-2.77,-3.94,-6.97,-13.2,-1.99,-33.3,1547.0,427.0,79.3,1058.0
187,2436,偉詮電,71.8,2.3,3.31,4790,05/20,-2.98,-4.49,-4.81,-13.1,-10.6,36.5,55.3,107.0,146.0,108.0
188,4905,台聯電,76.7,-1.2,-1.54,13,05/20,0.0,-3.37,-4.44,-13.1,8.86,43.3,34.4,6.17,-43.4,21.1
189,2458,義隆,153.0,6.0,4.08,5029,05/20,7.82,-11.2,-10.2,-13.0,-22.8,-19.2,27.1,12.3,84.5,31.6
190,6672,騰輝電子-KY,176.5,-2.5,-1.4,1485,05/20,0.67,1.55,4.19,-13.0,-9.71,-2.27,65.2,76.2,193.0,54.4
191,6531,愛普*,973.0,-52.0,-5.07,7418,05/20,-9.2,-14.0,-12.8,-12.9,-12.1,-0.45,141.0,49.1,62.1,26.2
192,00947,台新臺灣IC設計,33.16,0.18,0.55,10732,05/20,21.7,16.7,13.5,-12.7,11.6,409.0,4.08,1554.0,356.0,544.0
193,2404,漢唐,1025.0,-5.0,-0.49,5761,05/20,-4.58,-10.6,-12.9,-12.7,-11.4,-15.6,51.4,78.2,103.0,33.9
194,4951,精拓科,123.0,6.0,5.13,195,05/20,0.24,-2.5,-3.76,-12.5,-17.1,85.7,76.7,100.0,88.3,119.0
195,00958B,永豐ESG銀行債15+,9.15,-0.03,-0.33,1375,05/20,-12.5,-12.5,-12.5,-12.5,-12.5,16.7,-58.8,-79.4,-98.0,-61.1
196,1737,臺鹽,31.5,-0.05,-0.16,50,05/20,0.0,0.0,-12.5,-12.5,-14.6,-10.3,-16.7,-54.5,-69.6,-55.1
197,6456,GIS-KY,63.6,-4.5,-6.61,9669,05/20,-9.56,-8.19,-9.4,-12.5,-13.0,-45.8,257.0,305.0,293.0,236.0
198,1526,日馳,14.55,0.15,1.04,53,05/20,-0.17,-8.2,-9.79,-12.4,-15.0,-35.8,-46.2,-47.8,-48.4,-45.5
199,2357,華碩,640.0,-2.0,-0.31,3823,05/20,0.18,-1.88,-8.19,-12.3,-8.68,-1.93,-22.8,40.2,133.0,17.0
200,6669,緯穎,4910.0,20.0,0.41,1740,05/20,0.48,0.87,0.65,-12.3,2.3,-6.1,2.26,26.1,4.91,24.8
201,1725,元禎,30.15,-0.25,-0.82,104,05/20,1.88,-2.52,-7.51,-12.3,-0.73,23.2,43.4,-29.8,-20.1,22.1
202,2316,楠梓電,137.5,-1.5,-1.08,22940,05/20,-1.45,-2.33,0.99,-12.2,-12.4,-7.56,1.78,-17.2,73.5,-2.45
203,4551,智伸科,148.5,2.5,1.71,714,05/20,-2.22,-8.81,-9.17,-12.2,-23.2,-29.5,-28.7,-30.7,115.0,-33.3
204,6209,今國光,78.9,7.1,9.89,17711,05/20,-2.48,-13.1,-11.2,-12.0,-10.7,5.14,23.2,10.7,180.0,-2.86
205,6823,濾能,79.2,-0.3,-0.38,159,05/20,0.94,0.31,-1.43,-12.0,-25.1,22.1,449.0,,,
206,3581,博磊,205.0,-9.0,-4.21,206,05/20,-2.37,-4.06,-7.86,-12.0,-18.6,-55.4,-54.2,-42.8,1.26,-53.9
207,4576,大銀微系統,236.5,-15.5,-6.15,3870,05/20,-5.75,-14.3,-13.0,-12.0,-18.2,-22.3,11.8,15.6,14.8,19.3
208,2612,中航,54.8,0.1,0.18,255,05/20,-0.29,-4.04,-11.8,-11.9,-8.43,-17.2,-17.9,5.92,14.4,-39.0
209,6155,鈞寶,55.9,5.0,9.82,8528,05/20,1.66,0.65,-4.02,-11.8,12.6,7.41,19.9,24.6,191.0,13.8
210,6462,神盾,134.5,3.5,2.67,3617,05/20,-2.26,-2.04,-4.64,-11.8,-9.31,-16.3,-18.3,-24.6,-4.87,-24.4
211,2065,世豐,33.75,0.25,0.75,98,05/20,0.0,-0.62,-4.79,-11.7,-61.5,-77.4,12.0,-7.56,-31.8,8.16
