"排名","代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減(%)","2日增減(%)","3日增減(%)","5日增減(%)","10日增減(%)","1個月增減(%)","3個月增減(%)","半年增減(%)","1年增減(%)","今年增減(%)"
"1","00707R","期元大S&P日圓反1","31.86","+0.1","+0.31","21","05/18","-100","-100","-100","-100","-100","","-100","","",""
"2","00746B","富邦A級公司債","35","-0.14","-0.4","1,141","05/18","","","","-100","-100","-100","","-100","-100","-100"
"3","00788B","元大10年IG電能債","29.36","-0.15","-0.51","130","05/18","","","","-100","-100","-100","-100","-100","-100","-100"
"4","009810","玉山全球藍籌100","20.56","-0.24","-1.15","381","05/18","-100","-100","-100","-100","-100","-100","-100","-100","","-100"
"5","3049","精金","12.05","-0.15","-1.23","6,384","05/18","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"6","4987","科誠","81.5","-0.1","-0.12","11","05/18","","","","-100","-100","-100","-100","-100","-100","-100"
"7","00989B","台新美國非投等債","9.96","-0.01","-0.1","304","05/18","0","0","0","-96.4","-95.9","-97.7","","","",""
"8","00768B","復華20年美債","49.47","-0.44","-0.88","317","05/18","0","0","0","-83.3","0","0","-50","-87.5","","-80"
"9","00851","台新全球AI","64.2","-0.6","-0.93","14","05/18","0","0","0","-83.3","-85.7","-83.3","","-50","-85.7","-66.7"
"10","00726B","國泰新興投等債","32.46","-0.16","-0.49","182","05/18","0","0","0","-75","0","0","-83.3","-83.3","0","0"
"11","00875","國泰網路資安","43.52","+0.6","+1.4","324","05/18","0","0","0","-75","-83.3","-80","-66.7","-66.7","-93.3","-66.7"
"12","4205","中華食","72.9","-0.1","-0.14","27","05/18","0","0","-75","-75","-75","-75","0","-95.5","-98.7","-95.5"
"13","00661","元大日經225","78.9","-0.5","-0.63","234","05/18","-72.7","-73.9","-73.3","-73.3","-70","-69.2","-66.7","-71.4","-65.7","-69.2"
"14","00636","國泰中國A50","28.36","-0.32","-1.12","750","05/18","0","+11.8","+11.8","-70.8","-67","-66.7","-73.8","-83.6","-97.1","-80.6"
"15","00907","永豐優息存股","14.51","-0.1","-0.68","1,075","05/18","-12.1","-46.3","-73.4","-70.1","-75","-25.6","-12.1","-74.1","-95.5","-38.3"
"16","009809","富邦淨零ESG50","15.22","-0.19","-1.23","1,477","05/18","0","-33.3","-33.3","-66.7","0","+100","-33.3","-89.5","","-55.6"
"17","9926","新海","49.1","+0.1","+0.2","83","05/18","-13","-39.4","-39.4","-66.7","-67.7","-78.7","+1,900","+900","+900","+1,900"
"18","00926","凱基全球菁英55","25.27","-0.08","-0.32","1,676","05/18","-4","-4","-22.6","-64.7","-65.2","-66.7","-88.8","-70.4","-83.4","-90.7"
"19","8069","元太","219","+9","+4.29","5,323","05/18","+3.48","+4.42","-19","-64.3","-43.6","-36.2","-22","-14.6","+22.5","-3.92"
"20","1268","漢來美食","159","+1","+0.63","99","05/18","-5.26","-53.8","-57.1","-63.3","-64.7","-66.7","-82.2","-86","-58.1","-82.5"
"21","2729","瓦城","161","-3","-1.83","126","05/18","-58.3","-63","-63","-63","-77.8","-85.3","-28.6","0","-66.7","0"
"22","4430","耀億","16.65","-0.35","-2.06","20","05/18","0","-30","-33.3","-61.6","-75.2","-75.9","-75.4","-76.3","-84.9","-75.7"
"23","00859B","群益0-1年美債","41.12","+0.21","+0.51","3,467","05/18","0","0","0","-60","-60","-60","-83.3","","","-85.7"
"24","00714","群益道瓊美國地產","21.02","-0.25","-1.18","13","05/18","-57.1","-57.1","-57.1","-57.1","-57.1","-66.7","-99.1","-99.1","+200","-99"
"25","00917","中信特選金融","21.27","-0.16","-0.75","689","05/18","0","-11.9","-54.3","-56.5","-71.4","-59.1","-61.3","+1,800","+906","+714"
"26","0055","元大MSCI金融","33.49","-0.17","-0.51","220","05/18","-6.76","0","+1.47","-50.4","-15.9","+40.8","+123","+1,050","+165","-25"
"27","00682U","期元大美元指數","20.41","+0.24","+1.19","16","05/18","-40","-50","-50","-50","-50","-50","+50","-50","-81.2","-50"
"28","00703","台新MSCI中國","20.03","-0.18","-0.89","16","05/18","0","0","-50","-50","0","0","-83.3","-96.7","-98.4","-83.3"
"29","00897","富邦基因免疫生技","9.54","-0.14","-1.45","435","05/18","0","0","-34.6","-50","-56.4","-43.3","-70.7","-71.2","-91.2","-91.3"
"30","4506","崇友","118.5","0","0","33","05/18","0","0","0","-50","0","-66.7","-75","-95.7","-99.2","-75"
"31","4568","科際精密","40.35","+0.25","+0.62","13","05/18","0","0","-25","-46.1","-60.7","-14.3","-15.8","+71.4","+200","+2.13"
"32","00731","復華富時高息低波","74.45","-0.4","-0.53","593","05/18","0","0","-45.5","-45.5","-57.1","-57.1","-76","-93.5","-96.2","-92.5"
