"代號","名稱","成交","漲跌價","漲跌幅","法人買賣週別","更新日期","外資連續買賣週數","外資連續買賣張數","外資連續買賣佔成交(%)","外資連續買賣佔發行量(%)","投信連續買賣週數","投信連續買賣張數","投信連續買賣佔成交(%)","投信連續買賣佔發行量(%)","自營商連續買賣週數","自營商連續買賣張數","自營商連續買賣佔成交(%)","自營商連續買賣佔發行量(%)","三大法人連續買賣週數","三大法人連續買賣張數","三大法人連續買賣佔成交(%)","三大法人連續買賣佔發行量(%)"
"7811","民盛","81.4","+0.1","+0.12","26W20","05/14","+2","+16","2.53","0.05","0","0","0","0","-8","-347","-11.2","-1.04","-7","-321","-14.5","-0.96"
"8032","光菱","42","+0.85","+2.07","26W20","05/14","+2","+66","2.66","0.13","0","0","0","0","-1","-28","-3.2","-0.05","+2","+58","2.32","0.11"
"8040","九暘","87.9","+5.5","+6.67","26W20","05/14","+2","+1,681","4.55","1.74","0","0","0","0","-1","-31","-0.27","-0.03","+2","+1,660","4.49","1.72"
"8042","金山電","109","+3","+2.83","26W20","05/14","+2","+10,812","13.4","8.35","0","0","0","0","+3","+295","0.34","0.23","+4","+12,120","12","9.36"
"8043","蜜望實","103","+4.1","+4.15","26W20","05/14","+2","+1,076","0.93","1.35","0","0","0","0","+3","+400","0.34","0.5","+2","+1,467","1.27","1.84"
"8049","晶采","26.05","+0.25","+0.97","26W20","05/14","+2","+99","3.47","0.08","0","0","0","0","+1","0","0.01","0","+2","+99","3.46","0.08"
"8069","元太","226","+11","+5.12","26W20","05/14","+2","+45,195","19.8","3.92","+1","+9,239","5.87","0.8","+2","+769","0.34","0.07","+2","+55,177","24.2","4.78"
"8096","擎亞","97.1","+2.5","+2.64","26W20","05/14","+2","+4,711","3.05","3.15","0","0","0","0","+2","+472","0.31","0.32","+2","+5,183","3.36","3.47"
"8109","博大","113.5","-2.5","-2.16","26W20","05/14","+2","+66","2.42","0.08","0","0","0","0","+5","+18","0.23","0.02","+2","+71","2.59","0.09"
"8163","達方","32.3","+2.9","+9.86","26W20","05/14","+2","+2,780","12.9","0.99","0","0","0","0","+2","+667","3.09","0.24","+2","+2,866","13.3","1.02"
