排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
1,2356,英業達,51.7,-0.2,-0.39,05/19,-3706,-7968,-28078,-38787,-60681,-97536.0,-105724.0,-65807.0,-127127.0,-73724.0
2,2881,富邦金,97.2,2.0,2.1,05/19,-19599,-25309,-29522,-38469,-60903,-66382.0,66282.0,31467.0,181095.0,36997.0
3,2027,大成鋼,40.0,0.6,1.52,05/19,-5559,-16455,-18743,-31205,-49671,-40791.0,15578.0,72260.0,74648.0,36037.0
4,2891,中信金,55.4,0.6,1.09,05/19,-12090,-20475,-25990,-27835,-14660,-43768.0,229463.0,92867.0,201098.0,172544.0
5,2882,國泰金,77.8,1.0,1.3,05/19,-13074,-19830,-21714,-25729,-47857,-15123.0,100319.0,-130687.0,166394.0,29684.0
6,0050,元大台灣50,93.1,-1.8,-1.9,05/19,1832,-14866,-46690,-24724,-16940,-28301.0,-20761.0,-143963.0,63370.0,-30873.0
7,2317,鴻海,245.0,-3.5,-1.41,05/19,-4116,-4181,-2933,-19177,-52303,-46495.0,1454.0,32052.0,-7071.0,37250.0
8,2312,金寶,27.75,-0.7,-2.46,05/19,-1720,-1339,-1371,-17952,-24382,18861.0,19787.0,-7122.0,64887.0,-45769.0
9,6116,彩晶,10.15,-0.2,-1.93,05/19,972,1852,-14657,-16241,-24411,-28976.0,-3493.0,99126.0,81627.0,102651.0
10,2887,台新新光金,23.6,0.15,0.64,05/19,3834,-242,2830,-15629,-45498,-73859.0,108609.0,142956.0,-918816.0,-7458.0
11,00631L,元大台灣50正2,29.93,-0.98,-3.17,05/19,4424,4424,4669,-12259,5677,142860.0,341980.0,337819.0,333293.0,341385.0
12,1216,統一,74.8,0.1,0.13,05/19,-2881,-2835,-11133,-10210,-6122,8904.0,47716.0,141322.0,186551.0,87819.0
13,2363,矽統,60.5,-0.9,-1.47,05/19,-1040,-5276,-5951,-7035,-10332,-12422.0,-18161.0,-21350.0,13954.0,-18978.0
14,1605,華新,33.4,-1.3,-3.75,05/19,-937,-2772,-5337,-6857,1258,3249.0,-49112.0,-91477.0,65954.0,-108610.0
15,2542,興富發,43.7,-0.9,-2.02,05/19,-390,-3122,-4217,-6821,-6052,5223.0,13471.0,-7554.0,45198.0,7457.0
16,2344,華邦電,117.5,-13.0,-9.96,05/19,7603,-5381,-10091,-6193,10352,11559.0,164716.0,171633.0,102016.0,159374.0
17,6285,啟碁,292.0,6.0,2.1,05/19,-921,-1589,-2214,-5906,-7028,-7192.0,-1708.0,2072.0,-2132.0,-4900.0
18,00900,富邦特選高股息30,16.48,-0.13,-0.78,05/19,0,0,-259,-5719,-16994,-9953.0,12672.0,-47392.0,9499.0,-8792.0
19,8069,元太,222.0,3.0,1.37,05/19,-3098,-4054,-5974,-5560,-1027,7482.0,13384.0,32455.0,30896.0,23204.0
