20260320 大股東(>400張)持有張數成長率
" "," ","#","股票代號/名稱","類別","20260206","0211","0226","0306","0313","0320"," ","走 勢","總增減"," ","上週持有%","今日收盤價","今日漲跌"," "
" "," ","44","8464億豐","居家","0.18","0.51","0.09","2.78","-0.35","0.47"," ","31","3.68"," ","87.99","384.00","0.50"," "
" "," ","45","2461光群雷","其他電子","0.07","0.16","0.01","-0.14","2.24","1.26"," ","30","3.60"," ","43.27","16.75","0.15"," "
" "," ","46","3026禾伸堂","電子零組件","0.53","-0.27","2.84","0.21","-0.39","0.63"," ","31","3.55"," ","41.67","119.00","-2.50"," "
" "," ","47","2481強茂","半導體","-0.77","-1.83","0.71","-0.24","2.44","3.18"," ","50","3.49"," ","64.22","94.80","-6.20"," "
" "," ","48","3543州巧","光電","-0.91","-0.52","5.09","0.35","-0.22","-0.32"," ","10","3.47"," ","58.76","50.90","-1.00"," "
" "," ","49","4916事欣科","電腦週邊","-2.90","-0.94","4.10","-2.20","0.98","4.33"," ","50","3.37"," ","32.75","61.50","-2.40"," "
" "," ","50","4739康普","化學","-1.13","-0.01","1.05","0.48","0.09","2.87"," ","31","3.35"," ","46.48","82.80","-0.40"," "
" "," ","51","4564元翎","電機","0.31","-0.19","0.85","1.02","0.54","0.77"," ","31","3.30"," ","42.25","20.20","0.25"," "
" "," ","52","5234達興材料","光電","1.43","0.39","1.43","0.02","0.09","-0.06"," ","30","3.30"," ","64.87","378.50","0.00"," "
" "," ","53","4906正文","通信網路","-0.19","-0.55","0.11","-0.17","0.49","3.48"," ","50","3.17"," ","34.08","34.75","1.10"," "
" "," ","54","6405悅城","光電","0.67","0.56","0.84","0.45","0.27","0.35"," ","31","3.14"," ","54.30","30.25","-0.25"," "
" "," ","55","2316楠梓電","電子零組件","-0.15","0.33","1.28","-0.88","-1.27","3.70"," ","31","3.01"," ","62.65","113.00","5.00"," "
" "," ","56","2472立隆電","電子零組件","-1.14","-0.55","3.30","-0.57","-1.15","3.11"," ","31","3.00"," ","56.99","129.00","1.00"," "
" "," ","57","3702大聯大","電子通路","0.11","0.14","0.54","0.47","0.39","1.33"," ","31","2.98"," ","84.33","91.40","-1.60"," "
" "," ","58","2323中環","光電","-0.44","0.21","1.17","0.51","0.86","0.61"," ","30","2.92"," ","46.33","13.10","1.15"," "
" "," ","59","2236百達-KY","汽車","0.60","0.56","0.12","0.39","0.70","0.53"," ","30","2.90"," ","76.91","108.00","0.00"," "
" "," ","60","3665貿聯-KY","其他電子","-0.20","0.04","1.49","2.23","-1.02","0.34"," ","31","2.88"," ","62.45","1825.00","105.00"," "
" "," ","61","8039台虹","電子零組件","0.27","-0.46","0.66","2.27","3.47","-3.37"," ","30","2.84"," ","59.92","117.50","0.00"," "
" "," ","62","2340台亞","半導體","0.54","-0.25","0.11","0.48","0.32","1.62"," ","31","2.82"," ","38.84","28.85","0.30"," "
" "," ","63","1476儒鴻","紡織","0.17","0.46","-0.08","3.29","-0.57","-0.46"," ","31","2.81"," ","85.58","367.50","-5.00"," "
" "," ","64","2467志聖","電子零組件","-0.09","0.29","0.21","2.59","-0.33","0.10"," ","31","2.77"," ","71.24","367.50","-4.00"," "
" "," ","65","3017奇鋐","電腦週邊","2.00","-0.30","0.16","1.50","-0.22","-0.37"," ","10","2.77"," ","68.62","2050.00","35.00"," "
" "," ","66","3708上緯投控","綠能","1.44","-0.44","0.60","-2.69","2.80","1.06"," ","30","2.77"," ","55.29","122.00","3.00"," "
