" "," ","#","股票代號/名稱","類別","20260130","0206","0211","0226","0306","0313"," ","走 勢","總增減"," ","上週持有%","今日收盤價","今日漲跌"," "
" "," ","1","8271宇瞻","半導體","1.41","-0.84","4.08","-0.17","0.27","13.56"," ","50","18.31"," ","57.30","173.50","15.50"," "
" "," ","2","3167大量","電機","2.20","-0.41","15.66","1.43","-0.11","-0.57"," ","10","18.20"," ","64.91","390.50","35.50"," "
" "," ","3","2489瑞軒","光電","2.06","-0.08","5.10","4.10","4.85","-0.87"," ","30","15.16"," ","54.45","41.35","3.75"," "
" "," ","4","8112至上","電子通路","3.74","-2.32","0.76","0.94","-0.08","10.24"," ","31","13.28"," ","51.96","87.00","-2.20"," "
" "," ","5","1727中華化","化學","0.97","0.50","-0.38","4.53","1.50","4.65"," ","31","11.77"," ","61.79","60.80","5.50"," "
" "," ","6","8039台虹","電子零組件","4.01","0.27","-0.46","0.66","2.27","3.47"," ","50","10.22"," ","63.29","128.00","0.00"," "
" "," ","7","3645達邁","電子零組件","2.90","-1.52","-0.61","-0.63","-2.26","10.70"," ","31","8.58"," ","50.14","80.90","0.70"," "
" "," ","8","4927泰鼎-KY","電子零組件","1.99","0.84","1.05","9.36","-4.57","-0.13"," ","31","8.54"," ","36.18","44.60","0.65"," "
" "," ","9","3481群創","光電","0.60","-2.37","-0.14","3.20","0.30","6.53"," ","31","8.12"," ","50.78","29.70","-3.25"," "
" "," ","10","2486一詮","光電","10.86","1.10","-0.24","-4.36","-0.25","0.22"," ","50","7.33"," ","46.75","152.00","13.50"," "
" "," ","11","3450聯鈞","半導體","-0.07","1.42","-1.33","9.80","0.35","-3.60"," ","10","6.57"," ","32.50","281.00","6.50"," "
" "," ","12","3028增你強","電子通路","1.61","3.41","-0.79","2.37","-0.09","-0.96"," ","10","5.55"," ","44.38","50.60","0.90"," "
" "," ","13","6861睿生光電","生技醫療業","0.02","-0.15","-0.58","1.58","1.68","2.82"," ","50","5.37"," ","62.79","172.50","-5.00"," "
" "," ","14","3017奇鋐","電腦週邊","2.12","2.00","-0.30","0.16","1.50","-0.22"," ","30","5.26"," ","68.99","1865.00","-10.00"," "
" "," ","15","6213聯茂","電子零組件","-3.32","2.12","2.04","5.90","-2.41","0.75"," ","31","5.08"," ","61.33","137.50","5.00"," "
" "," ","16","2485兆赫","通信網路","1.68","-5.68","-1.24","-1.46","3.61","8.11"," ","50","5.02"," ","34.88","62.00","1.20"," "
" "," ","17","1582信錦","電子零組件","-0.07","-0.43","0.26","0.82","1.30","3.11"," ","50","4.99"," ","35.63","90.30","-1.10"," "
" "," ","18","2436偉詮電","半導體","0.90","-0.55","2.88","1.18","0.65","-0.09"," ","10","4.97"," ","28.24","60.80","2.00"," "
" "," ","19","4956光鋐","光電","0.27","1.02","-1.86","0.73","0.43","4.24"," ","31","4.83"," ","41.88","31.20","2.80"," "
" "," ","20","2355敬鵬","電子零組件","0.83","0.48","-0.07","0.89","1.09","1.59"," ","50","4.81"," ","41.23","42.30","-0.65"," "
" "," ","21","6672騰輝電子-KY","電子零組件","-1.32","6.52","-3.84","3.65","0.09","-0.66"," ","10","4.44"," ","29.99","97.50","1.90"," "
" "," ","22","2515中工","營建","-0.11","0.09","1.85","1.39","0.94","0.07"," ","10","4.23"," ","61.90","16.00","-0.10"," "
" "," ","23","4977眾達-KY","通信網路","-1.02","0.53","-1.31","10.40","-5.12","0.74"," ","31","4.22"," ","22.27","187.00","17.00"," "
" "," ","24","2458義隆","半導體","-0.34","0.46","0.39","-0.07","3.15","0.63"," ","30","4.22"," ","61.06","143.00","0.00"," "
" "," ","25","6202盛群","半導體","0.87","0.24","1.94","1.45","0.33","-0.63"," ","10","4.20"," ","36.57","53.90","-0.50"," "
" "," ","26","2426鼎元","光電","0.02","-0.49","0.08","0.41","-0.16","4.30"," ","31","4.16"," ","47.15","33.85","2.95"," "
" "," ","27","3413京鼎","半導體","2.50","-0.41","0.11","1.23","-0.34","0.76"," ","31","3.85"," ","40.91","305.00","0.00"," "
" "," ","28","2351順德","半導體","3.76","0.40","-0.37","-0.51","-0.78","1.34"," ","31","3.84"," ","64.32","88.90","1.30"," "
" "," ","29","6451訊芯-KY","半導體","-0.11","5.33","-3.09","2.36","-1.17","0.46"," ","31","3.78"," ","69.04","215.50","19.50"," "
" "," ","30","3563牧德","光電","-0.94","1.95","-0.29","0.61","3.70","-1.29"," ","30","3.74"," ","56.44","698.00","56.00"," "
" "," ","31","3060銘異","電腦週邊","3.19","-3.51","1.10","1.45","1.98","-0.76"," ","30","3.45"," ","15.62","27.65","-0.15"," "
" "," ","32","8261富鼎","半導體","-0.39","0.45","-1.02","2.44","0.34","1.61"," ","31","3.43"," ","41.75","111.00","10.00"," "
" "," ","33","3593力銘","電子零組件","3.42","0.00","0.00","0.00","0.00","0.00"," ","32","3.42"," ","61.84","13.00","-0.10"," "
" "," ","34","1466聚隆","紡織","0.21","0.27","1.46","0.04","1.99","-0.56"," ","30","3.41"," ","72.59","18.00","1.25"," "
" "," ","35","3209全科","電子通路","0.02","0.57","1.67","0.41","0.04","0.69"," ","31","3.40"," ","39.87","39.85","2.30"," "
" "," ","36","3030德律","其他電子","-0.77","1.02","-0.76","0.89","1.75","1.27"," ","30","3.40"," ","64.33","277.50","-0.50"," "
