排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 週別,更新 日期,持股 100張 以下 (%),100張 以下 增減,持股 200張 以下 (%),200張 以下 增減,持股 400張 以下 (%),400張 以下 增減,持股 600張 以下 (%),600張 以下 增減
2357,00836B,永豐10年A公司債,28.17,-0.05,-0.18,26W33,08/14,0.31,0.0,0.36,0.02,0.4,0.02,0.56,0.0
2358,00870B,元大15年EM主權債,27.82,-0.06,-0.22,26W33,08/14,0.39,0.0,0.39,0.0,0.39,0.0,0.57,-0.01
2359,00791B,復華信用債1-5,57.25,-0.2,-0.35,26W33,08/14,0.14,0.02,0.14,-0.01,0.32,0.0,0.32,0.0
2360,00750B,凱基科技債10+,32.13,0.0,0.0,26W33,08/14,0.27,0.06,0.27,-0.04,0.27,-0.04,0.68,0.0
2361,00754B,群益AAA-AA公司債,32.23,-0.06,-0.19,26W33,08/14,0.19,0.01,0.23,0.0,0.25,0.0,0.25,0.0
2362,00723B,群益投資級科技債,29.7,-0.07,-0.24,26W33,08/14,0.16,0.0,0.24,0.02,0.24,-0.01,0.3,-0.01
2363,00749B,凱基新興債10+,31.24,0.01,0.03,26W33,08/14,0.13,0.0,0.14,0.0,0.21,0.0,0.24,0.0
2364,00867B,台新A-BBB電信債,30.26,0.15,0.5,26W33,08/14,0.14,0.01,0.19,0.01,0.19,0.01,0.28,0.0
2365,00849B,中信EM主權債0-5,37.58,-0.18,-0.48,26W33,08/14,0.04,0.0,0.09,-0.04,0.18,0.0,0.39,0.0
2366,00785B,富邦金融投等債,34.4,-0.17,-0.49,26W33,08/14,0.09,0.0,0.12,0.0,0.16,0.0,0.29,0.0
2367,00775B,台新投等債15+,31.46,-0.34,-1.07,26W33,08/14,0.14,0.0,0.14,0.0,0.14,0.0,0.33,0.0
2368,00792B,群益A級公司債,31.02,-0.06,-0.19,26W33,08/14,0.1,0.0,0.12,0.0,0.12,0.0,0.12,0.0
2369,00778B,凱基金融債20+,33.7,-0.09,-0.27,26W33,08/14,0.04,0.0,0.04,0.0,0.07,0.0,0.07,0.0
2370,00777B,凱基AAA至A公司債,31.71,-0.01,-0.03,26W33,08/14,0.04,0.0,0.05,0.0,0.06,0.0,0.06,0.0
