排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 週別,更新 日期,持股 100張 以下 (%),100張 以下 增減,持股 200張 以下 (%),200張 以下 增減,持股 400張 以下 (%),400張 以下 增減,持股 600張 以下 (%),600張 以下 增減
601,4903,聯光通,34.7,0.0,0.0,26W34,08/21,49.9,0.26,53.6,0.51,57.4,0.33,61.8,0.7
602,2731,雄獅,146.5,1.5,1.03,26W34,08/21,47.6,0.35,51.2,-0.41,57.4,-0.14,60.2,-0.14
603,4946,辣椒,94.0,2.0,2.17,26W34,08/21,48.0,-0.21,49.6,0.0,57.4,0.0,57.4,0.0
604,2241,艾姆勒,35.1,1.55,4.62,26W34,08/21,38.3,0.15,46.0,0.37,57.4,0.7,63.8,-0.28
605,00679B,元大美債20年,25.84,-0.24,-0.92,26W34,08/21,41.4,0.09,51.0,0.15,57.4,0.22,60.0,0.29
606,6477,安集,37.0,-1.15,-3.01,26W34,08/21,49.9,1.42,53.4,1.12,57.3,0.85,59.4,-0.17
607,6167,久正,10.65,0.0,0.0,26W34,08/21,42.8,-0.24,50.0,-0.45,57.3,-0.09,58.9,-0.09
608,6425,易發,57.6,-1.4,-2.37,26W34,08/21,47.3,-0.11,50.6,0.25,57.3,-0.03,61.2,-0.06
609,00646,元大S&P500,76.75,-0.8,-1.03,26W34,08/21,50.0,-0.29,54.5,-0.47,57.3,-0.59,59.2,-0.69
610,8289,泰藝,46.45,0.45,0.98,26W34,08/21,43.8,0.18,49.9,0.0,57.2,0.05,61.9,0.04
611,1316,上曜,11.2,0.55,5.16,26W34,08/21,44.2,-0.19,51.4,-0.04,57.2,0.14,61.2,0.38
612,6259,百徽,29.65,-0.2,-0.67,26W34,08/21,48.3,1.28,52.4,1.33,57.2,1.67,58.9,0.0
613,4111,濟生,30.15,0.1,0.33,26W34,08/21,38.3,-0.06,46.8,0.2,57.1,-0.41,61.9,-0.39
614,00981D,主動中信非投等債,10.35,0.0,0.0,26W34,08/21,29.7,-0.07,44.4,0.31,57.1,0.43,64.3,0.94
615,3714,富采,57.3,0.3,0.53,26W34,08/21,47.2,0.02,52.8,-0.03,57.1,-0.16,59.8,-0.1
616,8050,廣積,56.9,-0.2,-0.35,26W34,08/21,49.0,0.5,52.7,0.26,57.0,0.28,59.7,-0.25
617,1760,寶齡富錦,59.0,0.2,0.34,26W34,08/21,45.2,0.02,50.2,-0.4,57.0,-0.09,62.4,-0.1
618,6158,禾昌,16.55,-0.05,-0.3,26W34,08/21,42.6,0.16,48.1,0.15,56.9,0.17,58.7,0.18
619,6486,互動,73.8,0.0,0.0,26W34,08/21,47.0,0.07,52.3,0.41,56.9,-0.01,56.9,-0.01
620,2636,台驊控股,73.3,2.1,2.95,26W34,08/21,47.2,-0.77,52.1,-1.14,56.8,-0.81,59.0,-1.45
621,00642U,期元大S&P石油,28.75,0.65,2.31,26W34,08/21,46.4,-1.53,51.2,-1.91,56.7,-1.52,59.3,-1.25
622,6123,上奇,43.1,0.15,0.35,26W34,08/21,44.1,0.21,50.2,0.03,56.7,0.04,63.9,0.0
623,3027,盛達,18.1,-0.1,-0.55,26W34,08/21,47.4,0.14,52.0,0.02,56.7,-0.1,61.8,0.02
624,5291,邑昇,57.2,0.1,0.18,26W34,08/21,40.0,0.44,45.8,1.18,56.7,1.37,66.9,-1.28
625,00965,元大航太防衛科技,25.67,-0.77,-2.91,26W34,08/21,48.0,0.45,54.1,0.37,56.6,0.41,57.7,0.43
626,3376,新日興,183.0,-5.5,-2.92,26W34,08/21,44.4,-0.06,49.0,0.16,56.6,0.67,62.2,0.99
