排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 週別,更新 日期,持股 100張 以下 (%),100張 以下 增減,持股 200張 以下 (%),200張 以下 增減,持股 400張 以下 (%),400張 以下 增減,持股 600張 以下 (%),600張 以下 增減
2101,5278,尚凡*,24.4,0.05,0.21,26W34,08/21,9.63,0.11,12.8,-0.01,17.2,0.02,19.4,0.18
2102,6240,松崗,20.75,-0.35,-1.66,26W34,08/21,11.0,-0.18,13.8,-0.3,17.2,-0.01,19.4,-0.01
2103,8917,欣泰,53.5,1.3,2.49,26W34,08/21,6.3,-0.02,10.8,0.0,17.1,0.0,24.5,0.0
2104,6901,鑽石投資,17.3,0.5,2.98,26W34,08/21,13.3,0.08,15.2,0.07,17.1,0.12,18.3,0.25
2105,7716,昱臺國際,24.0,0.1,0.42,26W34,08/21,10.1,-0.02,14.9,-0.02,17.1,-0.02,23.4,-0.02
2106,5530,龍巖,50.5,0.4,0.8,26W34,08/21,11.7,-0.13,14.3,-0.17,17.1,-0.11,18.5,-0.22
2107,1614,三洋電,30.8,0.1,0.33,26W34,08/21,7.89,-0.02,11.7,-0.05,17.1,-0.13,20.2,-0.36
2108,00666R,富邦恒生國企反1,8.87,-0.03,-0.34,26W34,08/21,10.1,0.01,12.8,0.06,17.0,0.21,17.0,0.21
2109,2024,志聯,13.4,0.1,0.75,26W34,08/21,13.2,0.0,15.6,0.0,17.0,0.0,18.5,0.0
2110,2064,晉椿,12.5,0.0,0.0,26W34,08/21,8.93,0.0,11.4,0.0,16.9,0.0,26.3,0.0
2111,6754,匯僑設計,42.4,0.65,1.56,26W34,08/21,13.9,-0.01,15.9,0.0,16.9,0.0,18.6,0.0
2112,00696B,富邦美債20年,28.13,-0.28,-0.99,26W34,08/21,14.0,-0.01,15.8,0.03,16.8,0.09,17.2,-0.05
2113,1234,黑松,33.4,-0.1,-0.3,26W34,08/21,11.0,0.04,13.4,0.04,16.8,-0.03,20.4,-0.02
2114,2886,兆豐金,46.95,0.55,1.19,26W34,08/21,13.9,0.04,15.5,0.04,16.7,0.04,17.3,0.04
2115,1438,三地開發,22.45,0.1,0.45,26W34,08/21,11.6,0.17,14.0,-0.03,16.7,-0.03,19.5,-0.04
2116,2897B,王道銀乙特,11.55,0.0,0.0,26W34,08/21,10.0,-0.04,12.8,-0.04,16.6,-0.13,19.4,0.05
2117,3666,光耀,25.15,0.0,0.0,26W34,08/21,12.8,-0.09,15.2,-0.03,16.6,-0.03,17.4,-0.02
2118,1423,利華,35.8,0.05,0.14,26W34,08/21,10.9,-0.01,13.1,-0.21,16.6,0.0,19.6,0.0
2119,3523,迎輝,15.2,0.5,3.4,26W34,08/21,11.3,-0.02,14.8,-0.01,16.6,-0.01,19.7,-0.01
2120,1236,宏亞,25.55,0.0,0.0,26W34,08/21,12.2,0.11,14.5,-0.1,16.6,-0.1,17.1,-0.1
2121,2028,威致,15.9,0.1,0.63,26W34,08/21,13.2,0.02,14.6,0.03,16.6,-0.02,17.3,-0.02
2122,8477,創業家,15.65,0.0,0.0,26W34,08/21,13.0,-0.72,15.4,-0.79,16.5,-0.85,16.5,-0.85
2123,2945,三商家購,40.3,0.5,1.26,26W34,08/21,13.7,-0.01,15.6,0.0,16.5,0.0,16.5,0.0
2124,8927,北基,20.4,0.4,2.0,26W34,08/21,10.2,-0.04,13.1,-0.07,16.5,-0.09,20.3,-0.09
2125,5347,世界,151.5,-2.0,-1.3,26W34,08/21,13.3,0.12,14.8,0.14,16.5,0.07,18.0,0.09
