排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 週別,更新 日期,持股 800張 以下 (%),800張 以下 增減,持股 1千張 以下 (%),1千張 以下 增減,持股 超過 1千張 (%),超過 1千張 增減
1426,6552,易華電,24.4,-0.2,-0.81,26W30,07/24,43.2,0.0,44.2,0.0,55.8,0.0
1427,3605,宏致,107.5,-0.5,-0.46,26W30,07/24,47.5,-5.56,49.5,-6.22,50.5,6.22
1428,6578,達邦蛋白,18.7,-0.1,-0.53,26W30,07/24,42.9,-0.03,44.2,-0.02,55.8,0.02
1429,5511,德昌,69.7,-0.4,-0.57,26W30,07/24,40.8,-0.23,44.0,-0.23,56.0,0.23
1430,1783,和康生,40.4,0.15,0.37,26W30,07/24,42.2,-0.12,44.2,-0.12,55.8,0.12
1431,6996,力領科技,185.0,-1.0,-0.54,26W30,07/24,44.2,0.0,44.2,0.0,55.8,0.0
1432,6843,進典,39.55,0.0,0.0,26W30,07/24,33.3,0.0,44.2,0.0,55.8,0.0
1433,1616,億泰,19.65,-0.05,-0.25,26W30,07/24,42.5,0.46,44.2,-0.01,55.8,0.01
1434,6175,立敦,74.9,-2.0,-2.6,26W30,07/24,42.9,2.71,44.1,3.24,55.9,-3.24
1435,3712,永崴投控,20.35,0.05,0.25,26W30,07/24,43.4,-0.72,44.5,-1.05,55.5,1.05
1436,6213,聯茂,389.0,14.0,3.73,26W30,07/24,42.8,1.74,45.3,2.0,54.7,-2.0
1437,7839,達人網,45.0,-0.75,-1.64,26W30,07/24,44.0,0.0,44.0,0.0,56.0,0.0
1438,6844,諾貝兒,60.5,0.0,0.0,26W30,07/24,41.6,0.0,44.0,0.0,56.0,0.0
1439,6120,達運,13.45,0.0,0.0,26W30,07/24,43.0,0.18,44.2,0.62,55.8,-0.62
1440,8044,網家,28.0,0.65,2.38,26W30,07/24,42.0,-0.51,45.2,-0.01,54.8,0.01
1441,6791,虎門科技,104.5,0.0,0.0,26W30,07/24,39.9,0.0,44.0,0.0,56.0,0.0
1442,3628,盈正,64.4,0.0,0.0,26W30,07/24,44.0,0.0,44.0,0.0,56.0,0.0
1443,6859,伯特光,99.2,-1.8,-1.78,26W30,07/24,41.6,-0.04,43.9,0.0,56.1,0.0
1444,3023,信邦,318.0,-5.0,-1.55,26W30,07/24,41.6,0.24,45.3,0.18,54.7,-0.18
1445,2059,川湖,11110.0,1010.0,10.0,26W30,07/24,41.8,0.11,43.7,0.09,56.3,-0.09
1446,6953,家碩,215.5,0.0,0.0,26W30,07/24,43.8,0.0,43.8,0.0,56.2,0.0
1447,2883B,凱基金乙特,8.15,0.01,0.12,26W30,07/24,41.4,-0.13,44.1,-0.08,55.9,0.08
1448,4502,健信,15.7,0.0,0.0,26W30,07/24,37.6,0.05,43.7,0.0,56.3,0.0
1449,6491,晶碩,373.0,4.0,1.08,26W30,07/24,43.8,0.05,46.2,0.05,53.8,-0.05
1450,6225,天瀚,25.95,0.75,2.98,26W30,07/24,44.8,0.0,44.8,0.0,55.2,0.0
1451,6535,順藥,91.1,1.0,1.11,26W30,07/24,41.2,0.04,43.4,0.03,56.6,-0.03
1452,8432,東生華,50.8,-0.2,-0.39,26W30,07/24,41.4,0.0,43.5,0.0,56.5,0.0
1453,6877,鏵友益,122.0,-3.0,-2.4,26W30,07/24,38.9,0.07,42.8,0.03,57.2,-0.03
1454,7788,松川精密,235.0,17.0,7.8,26W30,07/24,40.0,-0.67,44.3,1.43,55.7,-1.43
1455,4763,材料*-KY,49.9,0.25,0.5,26W30,07/24,42.6,-0.85,43.5,-0.91,56.5,0.91
1456,6671,三能-KY,22.75,-0.25,-1.09,26W30,07/24,38.9,0.0,43.4,0.0,56.6,0.0
1457,1451,年興,17.75,0.2,1.14,26W30,07/24,42.1,0.01,43.4,0.01,56.6,-0.01
1458,3494,誠研,7.05,0.1,1.44,26W30,07/24,42.7,-0.07,43.5,-0.07,56.5,0.07
1459,8450,霹靂,15.1,0.4,2.72,26W30,07/24,41.7,0.0,43.3,0.0,56.7,0.0
