單位名稱,買進金額,賣出金額,買賣差額
自營商(自行買賣),"11,597,453,985","12,101,822,477","-504,368,492"
自營商(避險),"42,673,477,800","57,395,643,101","-14,722,165,301"
投信,"28,295,129,492","14,297,716,759","13,997,412,733"
外資及陸資(不含外資自營商),"498,508,673,701","546,820,493,376","-48,311,819,675"
外資自營商,0,0,0
合計,"581,074,734,978","630,615,675,713","-49,540,940,735"
