項目,買進,賣出,現金(券)償還,前日餘額,今日餘額
融資(交易單位),372813,342105,6357,9590604,9614955
融券(交易單位),24248,24111,1979,205830,203714
融資金額(仟元),31178841,24806032,540287,613815722,619648244
