排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 賣出 佔 成交,2日 賣出 佔 成交,3日 賣出 佔 成交,5日 賣出 佔 成交,10日 賣出 佔 成交,1個月 賣出 佔 成交,3個月 賣出 佔 成交,半年 賣出 佔 成交,1年 賣出 佔 成交,3年 賣出 佔 成交,10年 賣出 佔 成交,今年 賣出 佔 成交
109,3528,安馳,80.8,-3.9,-4.6,07/28,59.1,59.3,56.4,55.2,46.8,42.5,24.0,24.6,25.8,18.8,16.2,24.4
110,2449,京元電子,236.0,-26.0,-9.92,07/28,55.7,55.5,56.2,48.5,49.3,44.3,37.9,39.2,36.6,38.3,34.9,38.6
111,3025,星通,53.4,-2.9,-5.15,07/28,55.4,52.8,56.0,52.8,48.8,48.3,31.6,30.7,25.4,19.9,17.1,27.7
112,2301,光寶科,194.0,-18.0,-8.49,07/28,66.5,63.3,56.0,45.5,47.3,44.2,44.8,43.1,39.4,41.5,47.3,42.2
113,2439,美律,81.9,-2.0,-2.38,07/28,57.7,53.4,55.7,56.7,54.4,45.3,36.8,42.8,39.1,35.1,22.9,41.3
114,3708,上緯投控,91.3,-7.1,-7.22,07/28,54.2,57.0,55.7,43.6,39.0,36.4,32.9,33.2,26.2,25.4,,31.7
115,2883,凱基金,29.6,-1.1,-3.58,07/28,74.4,68.5,55.7,42.7,44.0,38.9,47.9,46.7,45.0,43.3,36.8,45.4
116,2454,聯發科,3315.0,-365.0,-9.92,07/28,55.2,56.6,55.7,53.6,54.6,52.6,50.3,50.7,51.5,50.5,48.7,49.7
117,3169,亞信,97.3,-3.2,-3.18,07/28,65.6,64.8,55.6,39.0,43.2,37.5,28.8,26.4,25.3,20.8,14.6,25.9
118,5222,全訊,110.0,-5.0,-4.35,07/28,57.4,59.1,55.6,50.3,42.9,30.5,30.7,28.3,25.5,23.7,,27.3
119,2637,慧洋-KY,81.9,-0.4,-0.49,07/28,54.4,65.7,55.5,50.6,53.0,42.4,36.5,37.8,34.6,33.6,24.4,36.2
120,3545,敦泰,46.45,-1.5,-3.13,07/28,59.1,58.7,55.1,49.3,45.6,39.8,31.0,32.7,36.5,30.5,17.2,32.8
121,2912,統一超,237.5,-2.0,-0.84,07/28,55.1,57.2,55.0,63.5,50.0,45.6,62.1,58.9,60.2,62.6,67.1,58.7
122,4766,南寶,319.0,-9.5,-2.89,07/28,46.1,56.9,55.0,57.2,52.1,35.8,33.6,35.3,34.6,36.4,,35.9
123,2457,飛宏,22.3,-1.35,-5.71,07/28,56.0,56.0,55.0,50.2,49.2,40.1,31.2,29.7,26.4,27.0,17.2,26.2
124,8215,明基材,22.8,-1.0,-4.2,07/28,50.3,51.5,54.9,50.3,46.9,40.1,27.0,20.0,16.4,9.02,1.03,20.4
125,2474,可成,184.5,-4.0,-2.12,07/28,53.6,56.1,54.9,57.2,54.6,48.8,47.8,49.1,50.9,52.8,45.9,48.5
126,1313,聯成,10.95,-0.35,-3.1,07/28,55.8,54.8,54.8,46.0,45.5,33.5,35.2,34.3,33.6,35.2,25.2,34.1
127,3596,智易,177.0,-8.0,-4.32,07/28,53.3,50.3,54.7,43.5,51.5,44.4,44.0,50.6,53.5,40.1,22.1,51.6
128,3530,晶相光,53.2,-3.6,-6.34,07/28,56.7,56.8,54.5,50.0,55.2,49.9,32.5,31.3,24.9,22.3,,29.5
129,6411,晶焱,75.6,-4.2,-5.26,07/28,51.0,50.5,54.5,52.1,48.2,41.0,25.9,26.5,24.8,24.1,13.0,26.2
130,4142,國光生,16.75,-0.35,-2.05,07/28,56.8,53.8,54.5,53.7,50.4,40.6,36.8,36.7,30.4,28.0,12.2,34.3
131,6257,矽格,195.0,-20.5,-9.51,07/28,45.3,49.4,54.4,46.2,48.0,39.2,34.7,33.7,33.0,31.4,23.8,33.2
132,8081,致新,247.0,-12.0,-4.63,07/28,61.2,62.6,54.4,52.0,40.4,37.9,35.1,30.3,21.3,8.45,1.96,29.8
133,2331,精英,18.5,-0.7,-3.65,07/28,47.1,49.0,54.3,49.0,43.2,37.0,32.5,29.8,27.0,27.5,22.6,27.9
134,8034,榮群,19.55,-0.4,-2.01,07/28,66.3,59.4,54.3,48.5,40.6,43.3,28.4,13.7,3.25,0.86,0.42,16.2
135,3661,世芯-KY,3115.0,-345.0,-9.97,07/28,54.7,54.9,54.2,53.3,46.9,44.6,43.5,39.3,38.4,36.2,19.8,38.4
136,6756,威鋒電子,89.7,-5.3,-5.58,07/28,68.3,65.4,53.9,41.2,49.4,43.6,32.8,33.3,35.6,29.9,,33.2
137,1723,中碳,83.8,-2.6,-3.01,07/28,52.1,58.3,53.9,29.8,29.9,30.1,29.7,27.8,31.5,30.2,24.1,28.1
138,2536,宏普,17.9,-0.3,-1.65,07/28,51.9,47.0,53.8,59.8,54.9,42.0,36.6,34.0,30.9,28.8,25.4,33.5
139,4571,鈞興-KY,149.0,-4.5,-2.93,07/28,63.6,61.0,53.7,49.0,48.3,47.8,29.1,27.0,25.4,25.9,,26.4
140,1713,國化,47.6,-0.4,-0.83,07/28,47.1,53.8,53.4,39.2,37.0,40.6,26.0,26.8,22.8,22.1,15.1,21.9
141,3131,弘塑,2550.0,-230.0,-8.27,07/28,62.7,57.7,53.4,48.1,52.8,46.7,46.6,40.1,35.6,31.1,21.2,38.1
142,6698,旭暉應材,31.95,-1.75,-5.19,07/28,66.4,54.4,53.3,51.2,50.3,39.6,27.7,28.5,27.0,21.8,,28.1
143,9906,欣巴巴,39.95,-0.75,-1.84,07/28,51.5,58.5,53.2,59.2,49.0,46.7,35.2,22.1,11.4,1.61,0.94,19.9
144,3622,洋華,52.6,-1.7,-3.13,07/28,65.2,57.6,53.2,44.5,40.7,39.5,37.2,37.3,30.7,25.6,17.6,34.1
145,6510,精測,2480.0,-180.0,-6.77,07/28,65.6,60.6,53.1,53.4,44.6,37.8,37.9,36.4,34.6,31.8,20.2,36.7
146,2034,允強,18.85,-0.35,-1.82,07/28,55.6,55.8,53.1,48.3,42.1,40.1,35.0,34.5,35.1,31.5,21.0,34.3
147,7711,永擎,285.0,-17.0,-5.63,07/28,68.4,53.0,53.1,44.3,38.1,34.5,26.4,18.5,,,,18.3
148,6962,奕力-KY,30.5,-1.65,-5.13,07/28,48.1,52.8,53.1,53.3,50.5,42.0,31.0,23.6,13.4,,,23.7
149,3712,永崴投控,17.0,-1.55,-8.36,07/28,69.4,62.3,52.9,42.3,39.3,35.9,31.0,31.2,28.8,25.0,,31.4
150,1504,東元,63.0,-4.5,-6.67,07/28,59.6,53.2,52.9,43.6,38.8,38.2,41.4,41.6,34.0,35.5,39.1,40.1
151,3264,欣銓,185.5,-20.5,-9.95,07/28,48.4,56.9,52.7,46.8,48.4,41.6,34.4,33.8,31.2,27.8,22.1,34.2
152,4915,致伸,64.4,-0.7,-1.08,07/28,60.9,58.3,52.7,46.1,38.2,40.0,50.6,53.4,51.6,45.2,34.0,53.7
153,6807,峰源-KY,34.1,0.25,0.74,07/28,0.0,20.0,52.6,44.0,41.3,41.0,33.7,28.9,29.4,21.1,,27.2
154,1605,華新,30.6,-2.05,-6.28,07/28,57.2,54.8,52.6,44.5,41.7,42.7,32.6,32.2,28.6,32.7,27.6,29.8
155,6913,鴻呈,119.0,-4.0,-3.25,07/28,44.2,45.3,52.6,44.0,36.3,36.5,26.2,20.5,6.87,,,20.4
156,3205,佰研,47.55,-2.2,-4.42,07/28,46.1,51.2,52.6,46.7,35.3,27.8,21.8,22.2,23.6,16.9,9.51,22.3
157,2482,連宇,17.25,-0.75,-4.17,07/28,51.7,52.2,52.5,43.4,27.0,26.1,23.4,22.3,19.9,21.4,14.3,21.4
158,3034,聯詠,492.5,-25.5,-4.92,07/28,59.0,53.6,52.5,46.0,46.2,48.2,47.0,47.8,48.3,49.5,43.8,46.2
159,1304,台聚,11.4,-0.85,-6.94,07/28,49.9,53.3,52.5,44.5,43.1,36.8,33.6,31.5,32.4,35.0,25.8,31.6
160,2886,兆豐金,49.45,0.05,0.1,07/28,57.6,54.6,52.4,58.8,53.3,59.9,65.1,58.4,56.3,51.7,48.8,57.8
161,2387,精元,37.85,-0.65,-1.69,07/28,53.2,52.9,52.4,47.8,48.7,42.7,34.4,32.3,37.0,29.3,17.5,32.4
