"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日賣出佔成交","2日賣出佔成交","3日賣出佔成交","5日賣出佔成交","10日賣出佔成交","1個月賣出佔成交","3個月賣出佔成交","半年賣出佔成交","1年賣出佔成交","3年賣出佔成交","10年賣出佔成交","今年賣出佔成交"
"154","1533","車王電","36.05","-0.8","-2.17","07/13","53.9","48.4","52.5","48.3","39.6","34.1","24.7","24.4","21","21.7","12.5","23.8"
"155","3529","力旺","2550","-55","-2.11","07/13","67","58.8","52.5","49.9","50.6","50.9","44.4","42.5","43.6","43.4","31.8","42.1"
"156","6835","圓裕","33.75","-0.6","-1.75","07/13","46","49.2","52.4","49.1","48.8","47.7","31.1","23","16.2","3.26","","22.9"
"157","2032","新鋼","16.1","-0.3","-1.83","07/13","40.4","49.3","52.4","53.4","45","37.8","25.6","23.6","23.8","18.8","13.8","22.9"
"158","4545","銘鈺","36.35","-1.95","-5.09","07/13","58.6","50","52.4","37.7","36.8","33.6","27.6","28","23","23.1","16.4","27.7"
"159","8147","正淩","145","-3.5","-2.36","07/13","41.8","50.7","52.3","41.8","42.1","42.9","33","23","18.2","4.16","2.97","23"
"160","2880","華南金","39","+0.15","+0.39","07/13","62.2","66.3","52.1","47.7","52","54.2","63.8","63.8","62.3","56.6","48.2","63.7"
"161","3027","盛達","20","-0.4","-1.96","07/13","52.7","46.3","52.1","33.3","31.5","30.6","26.2","25.5","26.5","22.9","18","25.1"
"162","6409","旭隼","1055","-50","-4.52","07/13","48.3","48.6","52","45.6","38.9","37.6","48.3","52.9","60.1","65.9","68","52.6"
"163","2457","飛宏","27.65","-0.2","-0.72","07/13","43.1","52.8","52","37.8","32.5","31.5","29.8","25.7","26.2","26.7","17.1","25.6"
"164","9924","福興","40.1","+0.2","+0.5","07/13","43.3","56.2","52","56.6","41.4","34.7","32.7","24.3","8.92","1.43","0.91","24.8"
"165","3530","晶相光","62.3","-2.9","-4.45","07/13","59.3","53","51.9","48.7","41.8","25.1","29.9","29.6","24.3","22.2","","28.4"
"166","3131","弘塑","3210","-95","-2.87","07/13","62.5","57.7","51.9","45.4","42.5","43","44.5","39","35.1","31","21.1","37.6"
"167","6670","復盛應用","259.5","-2","-0.76","07/13","46.7","37.8","51.9","39.3","39.6","42.8","46.3","45.7","46.5","46.1","","45.3"
"168","9945","潤泰新","25.4","-0.45","-1.74","07/13","59.3","45.3","51.8","44.1","47.6","47.1","45.2","33.5","17.2","4.76","1.93","33.5"
"169","8431","匯鑽科","48.85","-0.5","-1.01","07/13","63.3","56.4","51.8","45.8","37.3","26.6","26.6","15.4","5.74","4.21","1.46","15.9"
"170","6223","旺矽","6640","-440","-6.21","07/13","61.7","45.8","51.7","49.1","45.2","44.8","49","44","36.9","27.5","17.9","43.7"
"171","00772B","中信高評級公司債","33.54","-0.17","-0.5","07/13","61","43.4","51.7","30.9","18.6","9.78","6.54","7.07","7.79","12.4","","6.95"
