"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股100張以下(%)","100張以下增減","持股200張以下(%)","200張以下增減","持股400張以下(%)","400張以下增減","持股600張以下(%)","600張以下增減"
"366","3587","閎康","252.5","-1.5","-0.59","26W30","07/24","55.2","-0.25","60.2","-0.98","67.4","+0.88","69.4","+1.06"
"367","3260","威剛","412","-3.5","-0.84","26W30","07/24","59.5","+0.23","64.9","+0.31","69.5","-0.43","72.4","+0.58"
"368","0061","元大寶滬深","24.37","-0.11","-0.45","26W30","07/24","48.6","+0.03","56.6","-0.17","66.6","-0.12","71.8","-0.1"
"369","6231","系微","220.5","+4.5","+2.08","26W30","07/24","52.3","-0.06","58.8","+0.05","68.3","+1.01","70.6","+1.01"
"370","8049","晶采","24.45","-0.05","-0.2","26W30","07/24","56.9","+0.16","62.6","+0.16","66.9","-0.03","70.2","-0.01"
"371","5274","信驊","15630","+325","+2.12","26W30","07/24","43.2","+0.8","54.9","-0.94","67.6","+1.54","78.1","+3.38"
"372","5289","宜鼎","1470","-20","-1.34","26W30","07/24","49.3","-0.22","55.4","-0.33","65","+0.54","71","+0.06"
"373","3095","及成","35.5","-0.5","-1.39","26W30","07/24","49.4","+0.99","58.9","0","66.9","0","76.8","0"
"374","4721","美琪瑪","74.8","-0.2","-0.27","26W30","07/24","56.5","+0.27","60","-0.44","64.8","+0.41","70.8","-0.05"
"375","3607","谷崧","14.15","-0.2","-1.39","26W30","07/24","49.3","+0.46","58","+0.14","67.6","+0.03","70.5","+0.03"
"376","6244","茂迪","24.4","+0.15","+0.62","26W30","07/24","57.6","+0.52","62.8","+0.46","67.1","+0.74","70.1","+0.33"
"377","4966","譜瑞-KY","584","-6","-1.02","26W30","07/24","45.6","+0.42","53.5","+0.37","64.3","+2.52","68.9","+1.67"
"378","3056","富華新","14.2","-0.2","-1.39","26W30","07/24","53.7","+0.41","61.4","+0.54","67.7","+0.72","70.1","+0.55"
"379","00633L","富邦上証正2","48.77","+0.07","+0.14","26W30","07/24","37.5","-1.19","50.2","-1.47","63.5","-2.62","69.4","-3.08"
"380","009810","玉山全球藍籌100","21.25","+0.03","+0.14","26W30","07/24","56","-0.45","61.2","-1.42","69.1","-3.24","73.9","-0.93"
"381","6532","瑞耘","89.2","-1.4","-1.55","26W30","07/24","55.5","-0.06","59.4","-0.06","66.8","+1.21","74.2","+0.04"
"382","1527","鑽全","32.7","-0.05","-0.15","26W30","07/24","57.3","-0.15","63.3","+0.04","67.5","-0.1","69.6","-0.09"
"383","2439","美律","78.5","+0.2","+0.26","26W30","07/24","56.7","-0.03","61.7","+0.39","66.5","+0.36","69.5","+0.04"
"384","5251","天鉞電","25.95","+0.1","+0.39","26W30","07/24","57.2","+0.28","60.8","+0.13","66.5","0","68.3","0"
"385","3430","奇鈦科","115","-1.5","-1.29","26W30","07/24","52.7","+0.59","59","+1.05","66.7","+0.13","66.7","+0.13"
"386","3455","由田","254","-0.5","-0.2","26W30","07/24","54.9","-0.13","62.9","+0.21","69.9","-1.01","76.3","-1.21"
"387","4749","新應材","790","+1","+0.13","26W30","07/24","50.9","+0.47","56.7","+0.33","66","+0.68","70.4","+0.19"
"388","8104","錸寶","31.5","-0.3","-0.94","26W30","07/24","55.9","+0.11","60.9","+0.18","66.1","+0.49","67.5","+0.63"
"389","3234","光環","181.5","+1.5","+0.83","26W30","07/24","55.7","+1.26","62.4","+1.29","68.3","-0.35","73.2","+0.4"
"390","3051","力特","23.15","-0.45","-1.91","26W30","07/24","51.8","-0.03","58.5","0","66.8","+0.86","70","-0.13"
"391","5410","國眾","36.25","-0.35","-0.96","26W30","07/24","55.5","+0.6","59.8","+0.77","63.9","+0.62","66","+0.06"
"392","3546","宇峻","71.8","+0.1","+0.14","26W30","07/24","53.7","+0.14","61.8","+0.52","66.3","+0.07","72.4","0"
"393","4768","晶呈科技","313","-16","-4.86","26W30","07/24","49.4","+0.02","53.1","+1.27","65.7","+0.02","72.7","+1.26"
"394","7402","邑錡","112.5","-5","-4.26","26W30","07/24","50.7","+1.49","57.6","+1.8","64.5","+3.01","70.8","0"
"395","1536","和大","50.3","-0.8","-1.57","26W30","07/24","56.8","-0.26","60.8","-0.19","65.7","-0.03","68.7","+0.35"
"396","3491","昇達科","1510","+85","+5.96","26W30","07/24","46.1","-0.03","55.2","+0.82","65.7","-0.79","76.2","+1.54"
"397","3268","海德威","17.7","-0.1","-0.56","26W30","07/24","50.3","-0.17","57.4","-0.08","67.2","-0.07","71.6","-0.07"
"398","3057","喬鼎","17.3","+0.2","+1.17","26W30","07/24","53","+0.19","60.8","+0.06","65.9","-0.01","66.5","0"
"399","5309","系統電","54.2","-0.5","-0.91","26W30","07/24","56.3","+0.21","61","+0.43","64.4","+0.87","67.9","+0.81"
"400","00989B","台新美國非投等債","10.03","-0.04","-0.4","26W30","07/24","32.8","-0.34","39.5","-0.13","41.8","-0.43","43.1","-0.37"
"401","00990A","主動元大AI新經濟","15.37","-0.19","-1.22","26W30","07/24","48","-0.15","57.5","+0.09","64.1","+0.06","68","-0.06"
"402","1340","勝悅-KY","5.23","-0.02","-0.38","26W30","07/24","51.9","+0.02","59.4","+0.06","65.6","+0.13","69","+0.12"
"403","4934","太極","14.55","+0.05","+0.34","26W30","07/24","54","+0.39","60.7","+0.56","64.9","+0.37","66.8","+0.82"
"404","8054","安國","84.6","+0.6","+0.71","26W30","07/24","53","-0.56","57.6","-1.23","62.6","-0.77","67.3","-0.75"
"405","6657","華安","30.3","-0.1","-0.33","26W30","07/24","43.7","-0.07","55","+0.23","64.8","0","71.5","0"
"406","5425","台半","96.3","+1.1","+1.16","26W30","07/24","54.1","+1.25","57.2","+1.25","61","+1.04","62.6","+1.15"
"407","6411","晶焱","80.1","+0.6","+0.75","26W30","07/24","51.5","+0.06","57.5","-0.09","65.9","+0.71","71.7","+1.39"
"408","912000","晨訊科-DR","2.42","0","0","26W30","07/24","42.5","-0.31","54.5","+0.07","65.4","+0.46","71.6","+0.52"
"409","1540","喬福","19.35","0","0","26W30","07/24","55.6","+0.06","59.2","-0.53","63.4","+0.34","69.6","-1.01"
"410","8076","伍豐","23.25","-0.15","-0.64","26W30","07/24","51.3","-0.1","58.1","-0.16","65.4","-0.14","68.6","-0.01"
"411","4716","大立","19.15","+1.7","+9.74","26W30","07/24","45","-0.46","52.5","-0.28","63.6","+0.4","67.2","+0.4"
"412","6189","豐藝","48.15","0","0","26W30","07/24","56.4","-0.33","61.1","-0.05","65.8","-0.19","68.7","-0.4"
"413","6148","驊宏資","28.3","+0.05","+0.18","26W30","07/24","52.5","+0.19","59.1","+0.05","63","+0.07","64.8","0"
"414","4939","亞電","92.8","+6.2","+7.16","26W30","07/24","53.1","+0.74","57.5","+0.34","64.8","+1.34","70.9","+3.45"
"415","6643","M31","437","-5.5","-1.24","26W30","07/24","54.5","+0.33","58.8","-0.87","63.5","-0.13","66.2","0"
"416","3322","建舜電","11.2","-0.05","-0.44","26W30","07/24","49.1","+0.15","57.4","+0.13","64","+0.45","66.5","+0.15"
"417","2363","矽統","51.8","+1.1","+2.17","26W30","07/24","56","+0.56","60.1","+0.76","64","+0.79","65.5","+0.87"
"418","2332","友訊","20.4","+0.1","+0.49","26W30","07/24","48.4","+1.71","54.4","+1.79","60.4","+1.8","63.9","+2.15"
"419","8111","立碁","62.4","-2","-3.11","26W30","07/24","53.9","+0.15","61.7","+1.21","64.7","+0.65","69.1","-0.19"
"420","6125","廣運","51","-0.3","-0.58","26W30","07/24","57.8","+0.16","60.7","+0.11","63.7","+0.29","65.8","0"
"421","5498","凱崴","58.1","+4.8","+9.01","26W30","07/24","59.4","-0.41","62.7","-0.48","65.8","-0.99","67.8","-0.53"
"422","6742","澤米","44.55","-0.75","-1.66","26W30","07/24","49.9","-0.24","57.8","-0.36","65.2","-0.06","70.7","-0.06"
"423","6547","高端疫苗","65","+1.9","+3.01","26W30","07/24","48.6","+0.38","57.4","+0.32","65","+0.42","69.7","+0.9"
"424","911868","同方友友-DR","1.17","0","0","26W30","07/24","40.6","-0.15","51.3","+0.13","64.4","-0.05","69.2","-0.05"
"425","5386","青雲","258.5","+23.5","+10","26W30","07/24","55.4","+2.8","59.3","+2.59","65.7","+3.23","67.3","+1.69"
"426","6190","萬泰科","70.6","+1.8","+2.62","26W30","07/24","55.5","+0.67","59.3","+0.7","64.2","+0.85","68","+1.73"
"427","00982D","主動富邦動態入息","9.71","-0.03","-0.31","26W30","07/24","47.5","-0.15","57.6","-0.46","64.3","-0.1","71.1","-0.84"
"428","3011","今皓","10.6","0","0","26W30","07/24","49.3","-0.08","56.6","+0.24","64.1","+0.16","68.2","+0.21"
"429","3541","西柏","21.9","-0.05","-0.23","26W30","07/24","45.2","-0.1","52.3","-0.06","64.2","-0.01","65.8","-0.01"
"430","3661","世芯-KY","4065","+195","+5.04","26W30","07/24","42.4","+1.77","53.4","+0.53","63.8","+1.2","71.5","-0.31"
"431","3176","基亞","38.9","+0.8","+2.1","26W30","07/24","49.9","-0.03","57.7","+0.15","65.6","+1.01","68.9","+0.02"
"432","3158","嘉實","83","0","0","26W30","07/24","34.2","0","46.9","0","62.6","0","67.2","0"
"433","6512","啟發電","20.6","+0.1","+0.49","26W30","07/24","32.3","+0.03","41.6","+0.02","63.9","+0.02","72.3","+0.02"
"434","6229","研通","24.1","+0.4","+1.69","26W30","07/24","48.5","-0.13","56.3","+0.12","63.8","+0.25","64.9","0"
"435","5392","能率","48.3","+1.2","+2.55","26W30","07/24","57.3","+0.28","60.8","+0.31","64.6","+0.05","67.2","+0.06"
"436","3518","柏騰","27.85","+0.2","+0.72","26W30","07/24","41.5","-0.03","51.5","-0.09","63.4","+0.59","67.7","+0.15"
"437","6290","良維","248","-2.5","-1","26W30","07/24","53.9","+0.85","57.3","+0.88","61.8","+0.82","65.7","+1.06"
"438","00981T","平衡凱基雙核收息","11.81","-0.02","-0.17","26W30","07/24","42.2","-1.61","54.3","-2.58","65.3","-2.12","70.5","-3.07"
"439","3481","群創","48.6","+2.35","+5.08","26W30","07/24","51.2","+0.93","56.7","+0.95","60.8","+0.91","63","+0.89"
"440","6684","安格","47.3","+0.3","+0.64","26W30","07/24","56.2","-0.09","59.9","-0.11","63.9","-1.12","68.5","0"
"441","00984B","大華優利美A債15","15.85","-0.08","-0.5","26W30","07/24","42.8","+1.08","56.2","+1.53","64","+1.28","70.7","+1.19"
"442","2342","茂矽","40.55","+0.4","+1","26W30","07/24","56.4","+0.74","58.9","+0.7","62.8","+1.04","64.6","+0.86"
"443","00709","富邦歐洲","40.83","-0.53","-1.28","26W30","07/24","49.8","-0.65","54.5","-0.52","64.2","+1.07","79.9","+1.04"
"444","6126","信音","29.85","0","0","26W30","07/24","54.7","-0.13","58.8","+0.03","63.8","+0.33","65","+0.36"
"445","4510","高鋒","45.75","0","0","26W30","07/24","56.7","+0.05","60.2","+0.38","63.9","+0.1","66.9","+0.07"
"446","5490","同亨","28.15","-0.25","-0.88","26W30","07/24","48","-0.92","54.2","-0.83","63.2","-1.32","68.5","-1.29"
"447","2380","虹光","19","+0.25","+1.33","26W30","07/24","54","+0.01","60.6","-0.03","63.5","-0.03","65.9","0"
"448","6151","晉倫","36.3","-0.1","-0.27","26W30","07/24","46.7","-0.02","54.1","-0.38","62.5","-0.76","68.7","-0.01"
"449","4754","國碳科","38.75","+0.1","+0.26","26W30","07/24","49.8","-0.04","57.7","0","63.3","0","63.3","0"
"450","4533","協易機","26.5","+0.5","+1.92","26W30","07/24","62.5","+0.2","66.3","+0.3","70.7","+0.14","72.5","+0.12"
"451","00982T","平衡兆豐台美動能","15.52","+0.19","+1.24","26W30","07/24","62","-0.57","63.9","-0.47","63.9","-0.47","63.9","-0.47"
"452","3356","奇偶","61.9","+0.1","+0.16","26W30","07/24","53.8","-0.14","59.2","-0.51","66.8","-0.22","68.8","-0.72"
"453","6509","聚和","46.45","+1","+2.2","26W30","07/24","50.7","+0.27","57","+0.46","62.9","+0.7","65.3","+0.73"
"454","3717","聯嘉投控","23.25","+0.25","+1.09","26W30","07/24","50.4","+0.85","57.6","+1.46","62.7","+2.03","66.1","+1.78"
"455","8222","寶一","38.9","-1.9","-4.66","26W30","07/24","53.6","+1.01","57.6","+1.7","63.1","+1.73","66.5","+0.45"
"456","3169","亞信","102","+1","+0.99","26W30","07/24","49.6","-1.13","55.9","-0.72","63.4","-1.37","66.4","+0.01"
"457","1558","伸興","102","0","0","26W30","07/24","48.7","-0.17","54.5","-0.37","64.4","-0.53","72.3","-2"
"458","3118","進階","31.5","-0.05","-0.16","26W30","07/24","43.6","-0.16","51.8","-0.14","62.9","-0.07","70.3","-0.07"
"459","1526","日馳","16.45","+0.05","+0.3","26W30","07/24","50.5","-0.22","56.3","+0.04","62.8","-0.12","68.8","0"
"460","2340","台亞","34.25","+0.05","+0.15","26W30","07/24","53.2","+0.23","58.9","+0.36","62.5","+0.35","64.7","+0.14"
"461","6294","智基","28.85","0","0","26W30","07/24","54.3","-0.01","59.3","-0.01","62.8","-0.01","66.5","0"
"462","3687","歐買尬","63.6","+0.4","+0.63","26W30","07/24","55.1","+0.02","59.2","+1.43","62.7","0","62.7","0"
"463","00980D","主動聯博投等入息","20.08","-0.06","-0.3","26W30","07/24","40.5","+0.08","51.1","+0.77","59.7","-0.24","65.5","+0.26"
"464","1721","三晃","20.4","+0.2","+0.99","26W30","07/24","54","-0.06","58.2","-0.1","63","+0.27","64.8","-0.01"
"465","2353","宏碁","30.85","-0.35","-1.12","26W30","07/24","54","+0.31","59.5","+0.48","63.3","+0.55","65.4","+0.55"
"466","3592","瑞鼎","227","-1","-0.44","26W30","07/24","51.7","+0.22","57.8","+1.36","63.7","+0.83","69.5","+0.78"
