排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 賣出 佔 成交,2日 賣出 佔 成交,3日 賣出 佔 成交,5日 賣出 佔 成交,10日 賣出 佔 成交,1個月 賣出 佔 成交,3個月 賣出 佔 成交,半年 賣出 佔 成交,1年 賣出 佔 成交,3年 賣出 佔 成交,10年 賣出 佔 成交,今年 賣出 佔 成交
1,6805,富世達,1395.0,75.0,5.68,07/15,25.9,11.6,8.23,20.6,15.8,12.0,10.8,7.91,6.13,,,9.42
2,3090,日電貿,225.0,-7.5,-3.23,07/15,14.0,24.5,26.7,18.7,18.3,5.8,1.89,2.08,1.56,1.5,0.77,2.24
3,3131,弘塑,3205.0,160.0,5.25,07/15,12.2,20.7,15.6,18.3,14.0,8.26,6.04,4.49,4.68,4.65,4.09,4.33
4,2368,金像電,1025.0,10.0,0.99,07/15,25.7,15.5,14.5,17.6,11.4,14.1,7.76,5.39,4.24,4.17,2.14,5.73
5,6535,順藥,96.4,0.8,0.84,07/15,22.1,15.0,16.6,16.8,10.1,10.6,3.43,1.91,0.53,0.35,,1.78
6,7751,竑騰,1210.0,75.0,6.61,07/15,21.2,23.1,18.1,16.6,9.11,5.93,7.33,3.88,,,,3.37
7,5274,信驊,13900.0,915.0,7.05,07/15,1.23,15.1,14.3,15.7,13.7,11.5,8.27,5.51,4.81,4.29,4.6,5.19
8,5289,宜鼎,1470.0,25.0,1.73,07/15,1.22,9.79,13.2,15.6,11.5,8.01,3.42,2.74,2.34,3.32,2.52,2.53
9,6670,復盛應用,262.5,2.5,0.96,07/15,13.5,18.1,18.8,15.4,20.2,4.73,6.2,5.73,11.8,6.07,,6.17
10,3529,力旺,2530.0,115.0,4.76,07/15,8.87,7.1,7.77,12.2,16.0,10.1,8.94,5.06,5.31,5.43,4.23,5.29
11,2610,華航,21.2,0.8,3.92,07/15,31.0,29.0,20.4,12.0,6.03,2.23,2.55,3.19,4.04,2.09,1.0,3.41
