單位名稱,買進金額,賣出金額,買賣差額
自營商(自行買賣),"10,464,808,345","20,539,666,870","-10,074,858,525"
自營商(避險),"65,243,630,271","137,348,265,912","-72,104,635,641"
投信,"39,831,457,268","30,328,502,591","9,502,954,677"
外資及陸資(不含外資自營商),"369,530,278,618","558,569,087,675","-189,038,809,057"
外資自營商,0,0,0
合計,"485,070,174,502","746,785,523,048","-261,715,348,546"
