排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 (%),2日 增減 (%),3日 增減 (%),5日 增減 (%),10日 增減 (%),1個月 增減 (%),3個月 增減 (%),半年 增減 (%),1年 增減 (%),今年 增減 (%)
93,5519,隆大,28.45,-0.2,-0.7,07/16,0.05,6.78,14.0,28.1,54.3,26.7,110.0,119.0,8.84,130.0
94,5230,雷笛克光學,19.3,-0.5,-2.53,07/16,0.72,8.25,15.4,28.0,48.9,46.9,28.4,-21.5,-42.5,-30.5
95,009819,中信數據及電力,10.07,-0.1,-0.98,07/16,-0.53,27.9,27.9,27.9,-13.2,-55.8,,,,
96,3594,磐儀,52.1,-0.8,-1.51,07/16,3.07,10.4,25.3,27.7,32.8,56.6,114.0,226.0,59.5,232.0
97,3071,協禧,27.5,-0.9,-3.17,07/16,0.56,1.89,11.6,27.5,19.0,-51.3,-37.4,-35.7,96.4,-38.4
98,1725,元禎,29.95,-0.25,-0.83,07/16,0.0,3.7,21.7,27.3,32.3,-26.0,-30.9,15.9,15.1,20.9
99,6754,匯僑設計,42.45,-1.1,-2.53,07/16,1.82,3.7,5.66,27.3,12.0,-5.08,-20.0,14.3,-32.5,14.3
100,006208,富邦台50,242.5,0.65,0.27,07/16,0.11,4.51,20.5,27.3,29.7,-5.5,-30.0,28.8,-55.8,14.4
101,6115,鎰勝,45.7,-0.25,-0.54,07/16,3.08,16.0,21.0,27.1,28.1,26.0,87.0,190.0,78.0,190.0
102,3232,昱捷,21.4,-0.45,-2.06,07/16,0.73,2.22,16.0,26.6,26.6,36.6,91.6,23.2,-31.7,23.2
103,2356,英業達,60.7,-0.4,-0.65,07/16,0.29,2.73,5.46,26.1,31.0,39.3,-15.9,-9.42,4.03,-6.35
104,6170,統振,47.2,0.0,0.0,07/16,0.0,1.19,14.6,25.8,35.0,-33.1,-30.6,11.0,-15.9,15.8
105,3037,欣興,882.0,-54.0,-5.77,07/16,-3.89,-2.23,0.85,25.3,121.0,52.6,268.0,152.0,-72.7,149.0
106,8358,金居,439.0,-23.5,-5.08,07/16,-8.7,-6.3,15.2,25.1,32.3,22.5,-3.66,-32.7,-41.5,-29.4
107,2464,盟立,157.5,-2.0,-1.25,07/16,6.36,9.71,11.6,25.0,1.89,73.6,-8.0,-42.4,-10.1,-39.9
108,3356,奇偶,59.6,-0.7,-1.16,07/16,0.9,17.6,23.9,25.0,7.56,-39.0,2.29,-39.3,-75.5,-47.7
109,2340,台亞,34.9,-1.15,-3.19,07/16,1.68,4.5,14.9,25.0,49.1,-0.07,51.6,-14.2,15.9,-5.9
110,6708,天擎,38.75,-0.95,-2.39,07/16,3.45,3.45,11.1,25.0,57.9,233.0,,,,
111,1514,亞力,106.5,-4.0,-3.62,07/16,0.53,6.63,20.4,24.7,11.4,25.2,140.0,23.0,12.7,53.3
112,5291,邑昇,54.7,1.7,3.21,07/16,4.38,8.01,15.7,24.5,70.8,71.3,182.0,665.0,377.0,749.0
113,00927,群益半導體收益,38.7,-0.71,-1.8,07/16,0.0,1.13,25.0,24.3,48.3,141.0,145.0,162.0,281.0,457.0
114,4722,國精化,253.0,-21.5,-7.83,07/16,0.58,8.35,18.2,24.1,42.0,11.5,-21.8,-58.2,-34.2,-59.5
115,6591,動力-KY,45.35,0.0,0.0,07/16,1.98,4.54,10.7,23.9,21.4,22.5,101.0,102.0,103.0,132.0
116,2451,創見,247.5,-5.5,-2.17,07/16,5.48,8.15,14.9,23.2,38.5,77.9,235.0,322.0,147.0,284.0
117,2501,國建,22.9,0.45,2.0,07/16,-0.05,-3.36,0.34,23.2,48.0,23.3,185.0,117.0,19.7,123.0
118,1218,泰山,16.7,0.45,2.77,07/16,-2.01,1.62,7.04,23.1,41.4,81.9,60.6,-13.2,116.0,-21.0
119,4924,欣厚-KY,10.25,-0.65,-5.96,07/16,0.0,3.23,6.67,23.1,39.1,300.0,,,,
120,8032,光菱,39.0,0.0,0.0,07/16,-1.54,-1.54,4.07,23.1,13.3,-56.6,-52.1,-63.6,-57.2,-64.1
121,1727,中華化,91.0,-2.9,-3.09,07/16,0.17,0.17,5.38,23.0,75.2,-9.38,90.5,-15.7,57.3,-5.52
122,2317,鴻海,242.5,3.5,1.46,07/16,2.68,6.17,22.2,22.9,-0.72,18.6,-45.4,86.0,-50.9,74.5
123,3303,岱稜,57.4,-5.3,-8.45,07/16,13.9,22.6,20.9,22.9,33.3,50.5,76.4,82.6,80.6,86.6
124,3078,僑威,53.5,-0.6,-1.11,07/16,3.35,6.46,11.7,22.8,33.2,36.4,88.9,77.3,138.0,26.2
125,6269,台郡,61.1,-0.5,-0.81,07/16,5.19,7.25,14.6,22.6,66.0,58.0,141.0,157.0,12.0,158.0
126,00991A,主動復華未來50,18.53,-0.6,-3.14,07/16,-1.3,-2.37,17.3,22.6,30.2,42.4,30.1,1407.0,,1577.0
127,8487,愛爾達-創,76.9,0.8,1.05,07/16,0.0,-2.0,2.08,22.5,25.6,36.1,44.1,69.0,345.0,69.0
128,6570,維田,49.7,-0.2,-0.4,07/16,8.97,12.9,12.9,22.5,12.1,29.5,-22.9,-51.8,-71.6,-54.1
129,00932,兆豐永續高息等權,17.64,0.02,0.11,07/16,0.0,22.4,22.4,22.4,21.8,21.8,-5.02,-3.53,-88.4,-3.53
130,00990A,主動元大AI新經濟,17.19,-0.97,-5.34,07/16,6.07,9.4,17.1,22.3,45.0,16.1,54.6,-51.8,,-77.0
131,1590,亞德客-KY,1350.0,-15.0,-1.1,07/16,2.56,12.9,16.6,22.3,60.9,196.0,60.7,58.3,7.97,46.0
132,1410,南染,27.0,-0.05,-0.18,07/16,0.83,15.1,16.2,22.0,34.1,-7.58,71.8,139.0,35.6,130.0
133,3546,宇峻,72.8,1.0,1.39,07/16,2.08,4.81,13.7,22.0,20.5,-5.92,-50.5,-54.4,-58.2,-48.9
134,00998A,主動復華金融股息,17.63,0.22,1.26,07/16,-8.68,4.64,21.9,21.9,21.7,-34.2,,,,
135,00657,國泰日經225,78.4,-1.95,-2.43,07/16,0.0,21.9,21.9,21.9,23.8,23.8,-29.7,-29.7,-58.9,-19.6
136,6957,裕慶-KY,249.5,11.5,4.83,07/16,9.02,10.7,14.2,21.8,3.57,1.4,13.3,26.1,-52.6,33.0
137,5452,佶優,28.85,-0.75,-2.53,07/16,7.83,16.2,28.2,21.8,16.7,-21.0,-14.7,-25.1,-14.9,-18.3
138,4912,聯德控股-KY,87.5,0.5,0.57,07/16,1.14,0.62,11.6,21.7,31.2,49.1,-1.71,403.0,114.0,334.0
