項目,買進,賣出,現金(券)償還,前日餘額,今日餘額
融資(交易單位),406961,340331,7923,9531898,9590605
融券(交易單位),29930,25013,3097,213844,205830
融資金額(仟元),29802251,25689116,1242652,610945242,613815725
