項目,買進,賣出,現金(券)償還,前日餘額,今日餘額
融資(交易單位),842705,389206,10552,8701432,9144379
融券(交易單位),49599,35573,1864,204214,188324
融資金額(仟元),33783271,18478346,1707937,493865783,507462771
