"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股100張以下(%)","100張以下增減","持股200張以下(%)","200張以下增減","持股400張以下(%)","400張以下增減","持股600張以下(%)","600張以下增減"
"1","00793B","群益AAA-A醫療債","29.72","-0.28","-0.93","26W29","07/17","57.9","-1.44","57.9","-1.44","85.5","-14.5","100","0"
"2","00643K","群益深証中小+R","3.91","0","0","26W29","07/17","100","0","100","0","100","0","100","0"
"3","00657K","國泰日經225+U","24.8","+0.14","+0.57","26W29","07/17","100","0","100","0","100","0","100","0"
"4","00668K","國泰美國道瓊+U","19.63","+0.06","+0.31","26W29","07/17","100","0","100","0","100","0","100","0"
"5","00636K","國泰中國A50+U","8.79","+0.01","+0.11","26W29","07/17","100","0","100","0","100","0","100","0"
"6","006204","永豐臺灣加權","230.7","+0.9","+0.39","26W29","07/17","68","+0.02","86.6","+0.02","100","0","100","0"
"7","0057","富邦摩台","319.55","+0.6","+0.19","26W29","07/17","56","-6.37","100","0","100","0","100","0"
"8","00625K","富邦上証+R","8.57","0","0","26W29","07/17","65.5","0","100","0","100","0","100","0"
"9","00860B","群益1-5Y投資級債","37.66","-0.24","-0.63","26W29","07/17","74.8","-0.35","79.6","-0.35","79.6","-0.35","79.6","-0.35"
"10","00728","第一金工業30","69.2","+0.95","+1.39","26W29","07/17","88.7","+1.16","94.7","+1.78","98.6","+1.84","100","+3.23"
"11","009818","華南永昌NASDAQxT","19.9","+0.15","+0.76","26W29","07/17","79.1","-0.53","87.6","-0.95","93.6","-0.77","93.6","-0.77"
"12","00899","FT潔淨能源","23.41","-0.01","-0.04","26W29","07/17","83.3","-2.3","90.8","-4.2","90.8","-4.2","90.8","-4.2"
"13","00701","國泰股利精選30","38.3","+0.6","+1.59","26W29","07/17","87.7","+0.09","89.6","-0.1","91.3","+0.22","93.4","+0.53"
"14","00861","元大全球未來通訊","85.4","-0.6","-0.7","26W29","07/17","90.1","-0.86","92.2","-0.85","94.8","-0.77","95.6","-1.52"
"15","00939","統一台灣高息動能","22.79","+0.07","+0.31","26W29","07/17","81.4","+0.12","89.7","+0.19","92.7","+0.15","93.6","+0.19"
"16","00905","FT臺灣Smart","26.57","+0.22","+0.83","26W29","07/17","83.6","+1.17","90.3","+1.32","93.5","+1.51","94.8","+1.51"
"17","00893","國泰智能電動車","42.89","+0.16","+0.37","26W29","07/17","83.5","-0.04","88.4","-0.02","91.2","-0.01","92.4","-0.01"
"18","00930","永豐ESG低碳高息","23.89","-0.05","-0.21","26W29","07/17","85.4","+0.03","88.4","+0.01","91","+0.23","91","+0.23"
"19","00896","中信綠能及電動車","28.04","+0.25","+0.9","26W29","07/17","81.5","+0.45","88.2","+0.18","90.2","+0.05","91.2","+0.05"
"20","009822","華南永昌未來金融","9.87","+0.01","+0.1","26W29","07/17","75.1","+1.03","82.5","+1.2","88.9","+1.44","91.3","+1.55"
