"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超佔成交","2日買賣超佔成交","3日買賣超佔成交","5日買賣超佔成交","10日買賣超佔成交","1個月買賣超佔成交","3個月買賣超佔成交","半年買賣超佔成交","1年買賣超佔成交","3年買賣超佔成交","10年買賣超佔成交","今年買賣超佔成交"
"118","6282","康舒","58","+0.4","+0.69","07/13","+1.17","+1.09","+1.42","+1.5","+1.41","+0.61","+0.05","+0.05","+0.04","+0.02","+0.02","+0.06"
"119","5483","中美晶","231.5","+21","+9.98","07/13","+3.24","+3.77","+2.63","+1.49","+1.96","+2.45","+1.09","+0.37","+0.91","+1.07","+0.26","+0.68"
"120","2897","王道銀行","10.5","-0.05","-0.47","07/13","+0.46","+1.02","+1.76","+1.47","+6.41","+2.74","+0.1","+0.01","-0.13","+0.06","","+0.02"
"121","8016","矽創","327","-36","-9.92","07/13","+3.64","+2.02","+2.54","+1.32","-0.29","-0.56","+0.4","+0.01","+0.22","+0.2","-0.03","-0.65"
"122","2072","世紀風電","144.5","-2.5","-1.7","07/13","0","0","0","+1.28","-2.41","-4.23","+1.92","","","","",""
"123","2408","南亞科","423","-12.5","-2.87","07/13","+1.07","+2.15","+1.7","+1.28","-0.92","+3.27","+1.15","+0.25","+0.49","+0.12","+0.21","+0.3"
"124","8150","南茂","115","-2","-1.71","07/13","+3.2","+1.98","+1.69","+1.27","+2.6","+0.81","+0.96","+0.63","+0.43","+0.36","+0.16","+0.58"
"125","3189","景碩","819","+24","+3.02","07/13","+12.2","+7.42","+4.34","+1.21","+2.92","+3.52","+0.73","+0.88","+0.6","+0.16","+0.14","+0.95"
"126","00646","元大S&P500","76.05","+0.3","+0.4","07/13","0","+1.9","+0.88","+1.2","+1.53","+0.85","+0.8","+1.07","+0.27","+0.11","+0.08","+0.99"
"127","2455","全新","329","-1.5","-0.45","07/13","-0.33","+0.35","+2.14","+1.17","-0.96","+1.66","+1.71","+0.6","+0.08","-0.13","-0.02","+0.75"
"128","2441","超豐","137.5","-7","-4.84","07/13","+2.56","+1.36","+1.96","+1.16","+1.28","-6.14","-2.21","-2.51","-0.55","+0.24","-0.54","-2.09"
"129","0056","元大高股息","52.4","-0.25","-0.47","07/13","+0.42","+0.51","+2.46","+1.14","-0.55","-0.28","+0.18","+0.11","+0.1","-0.01","+0.19","+0.1"
"130","6023","元大期","105","-3","-2.78","07/13","+0.32","+0.56","+1","+1.14","+4.8","+2.8","-0.26","+0.63","+0.61","+0.19","+0.07","+0.51"
"131","6182","合晶","189.5","+17","+9.86","07/13","+2.72","+2.43","+1.87","+1.14","+1.43","+1.73","+1.08","+0.87","+0.65","+0.29","+0.08","+0.84"
"132","3526","凡甲","315","+2.5","+0.8","07/13","0","+4.16","+2.38","+1.13","+0.18","-3.62","+0.29","-0.1","-0.16","+0.42","-0.02","-0.06"
"133","6446","藥華藥","1250","-35","-2.72","07/13","+1.57","-0.53","-0.11","+1.11","+1.05","+1.88","-0.1","+0.17","-1.19","-0.04","","+0.17"
"134","1590","亞德客-KY","1320","+40","+3.12","07/13","0","-0.05","+1.57","+1.11","+0.78","+2.17","+1.58","+0.98","+0.52","-0.08","-0.11","+0.95"
"135","1102","亞泥","34.9","-0.8","-2.24","07/13","+0.43","+0.84","+1.17","+1.09","-30.5","-28.3","-13.2","-11.3","-3.86","-1.43","-0.63","-9.21"
"136","6505","台塑化","63.1","+4.3","+7.31","07/13","+2.66","+2.04","+1.57","+1","+0.24","-0.49","-0.8","-0.22","-0.61","-0.13","-0.05","-0.22"
"137","3081","聯亞","1990","-15","-0.75","07/13","+4.23","+4.04","+3.72","+0.97","-6.03","-5.72","-3.43","+0.14","+0.38","+0.45","+0.22","+0.16"
"138","2646","星宇航空","21.2","+0.05","+0.24","07/13","+0.32","+0.69","+1.05","+0.93","+3.65","+1.21","+0.43","+0.31","+0.17","","","+0.3"
"139","2912","統一超","239.5","-1.5","-0.62","07/13","+0.17","+0.28","+0.53","+0.9","+2.48","+11.3","+19.3","+7.34","+5.04","+5.99","+2.09","+6.77"
"140","3661","世芯-KY","4135","-75","-1.78","07/13","+0.82","+1.3","+1.5","+0.82","+0.88","-0.16","+0.4","-0.42","-0.34","-0.4","+0.05","-0.02"
"141","9914","美利達","75.4","+2.6","+3.57","07/13","+0.21","+0.42","+0.7","+0.67","+1.41","+0.82","+0.25","+0.09","+0.05","+0.01","-0.01","+0.08"
"142","2880","華南金","39","+0.15","+0.39","07/13","+11.5","+6.83","+4.51","+0.66","+2.55","+19.2","+15.5","+12.3","+13.2","+8.6","+3.51","+12"
"143","1216","統一","78.5","+0.1","+0.13","07/13","+0.57","+0.41","+0.46","+0.65","+3.48","+18.2","+7.38","+2.01","+7.59","+7.29","+2.71","+1.11"
"144","2204","中華","57.1","+0.1","+0.18","07/13","+0.51","+0.01","+0.78","+0.65","+15","+8.2","+2.88","+0.1","-0.28","-0.73","+0.17","+0.08"
"145","2615","萬海","79.2","-1.2","-1.49","07/13","-0.01","-0.09","+0.03","+0.65","+0.88","+0.6","+1.11","-2.39","-6.52","-0.14","0","-2.36"
"146","2395","研華","536","-4","-0.74","07/13","+1.01","+0.36","+0.21","+0.58","+0.71","+0.9","+0.1","+0.52","-0.48","+0.18","+0.17","+0.51"
"147","2478","大毅","163.5","-10.5","-6.03","07/13","+0.07","+0.08","+0.09","+0.58","+0.5","+0.17","+0.04","+0.03","+0.02","+0.02","0","+0.03"
"148","1907","永豐餘","27.05","+0.3","+1.12","07/13","+0.51","+0.21","+0.67","+0.58","+6.46","+2.35","+0.78","+0.36","+0.72","-5.55","+0.02","+0.42"
"149","8096","擎亞","158.5","-8","-4.8","07/13","+0.01","+0.03","+0.6","+0.53","+0.47","+0.22","+0.04","+0.02","+0.01","0","0","+0.02"
"150","3042","晶技","193.5","-6.5","-3.25","07/13","0","0","+0.99","+0.5","+0.53","-0.97","0","-0.16","-0.67","-0.05","+0.03","-0.35"
"151","2501","國建","23.5","-0.4","-1.67","07/13","+0.07","+0.27","+0.5","+0.47","+2.46","+0.97","+0.11","-0.34","+0.12","+0.02","+0.02","-0.36"
"152","5475","德宏","179.5","-13","-6.75","07/13","0","+0.26","+0.6","+0.45","+0.33","+0.19","-0.31","+0.78","+0.31","+0.23","+0.08","+0.74"
"153","1229","聯華","40.3","+0.2","+0.5","07/13","+0.19","+0.57","+0.8","+0.44","+1.69","+0.89","+0.3","+0.21","+0.11","+0.03","+0.01","+0.2"
"154","3443","創意","4270","-70","-1.61","07/13","-9.84","+3.82","+1.62","+0.41","+1.69","+6.53","+2.99","+2.15","+1.12","+0.08","+0.16","+2.08"
"155","6739","竹陞科技","1050","-5","-0.47","07/13","+4.16","+1.98","+0.99","+0.38","+0.21","+0.16","-1.34","-0.1","+0.07","","","-0.12"
"156","2211","長榮鋼","95.3","+0.3","+0.32","07/13","0","-0.32","-0.2","+0.38","+0.04","+4.36","-3.15","-0.67","+4.02","+1.32","","-0.66"
"157","1513","中興電","168","-0.5","-0.3","07/13","-2.49","-1.26","-0.59","+0.37","+3.98","+11.1","+3.12","+1.51","+1.35","0","+0.14","+1.27"
"158","3491","昇達科","1260","-10","-0.79","07/13","+2.67","+1.32","+0.52","+0.37","+0.2","-1.66","-0.72","-0.57","-0.34","+0.19","+0.03","-0.52"
