證券代號,證券名稱,交易別,成交價,成交股數,成交金額
1436,華友聯,配對交易,44.75,"2,700,000","120,825,000"
2308,台達電,配對交易,"1,821.80","20,000","36,436,000"
2308,台達電,配對交易,"1,819.90","36,000","65,516,400"
2308,台達電,配對交易,"1,818.33","37,600","68,369,208"
2308,台達電,配對交易,"1,818.31","56,400","102,552,684"
2308,台達電,配對交易,"1,804.57","111,090","200,469,681"
2308,台達電,配對交易,"1,804.55","49,910","90,065,090"
2308,台達電,配對交易,"1,801.94","162,000","291,914,280"
2308,台達電,配對交易,"1,750.00","11,000","19,250,000"
2317,鴻海,配對交易,245.75,"70,000","17,202,500"
2327,國巨*,配對交易,664.24,"28,000","18,598,720"
2327,國巨*,配對交易,664.17,"26,000","17,268,420"
2327,國巨*,配對交易,621.00,"936,721","581,703,741"
2330,台積電,配對交易,"2,412.50","8,000","19,300,000"
2330,台積電,配對交易,"2,410.00","8,000","19,280,000"
2330,台積電,配對交易,"2,402.87","8,000","19,222,960"
2330,台積電,配對交易,"2,386.66","6,640","15,847,422"
2330,台積電,配對交易,"2,386.60","96,640","230,641,024"
2330,台積電,配對交易,"2,386.59","54,360","129,735,032"
2330,台積電,配對交易,"2,386.53","6,360","15,178,331"
2330,台積電,配對交易,"2,356.89","8,350","19,680,032"
2330,台積電,配對交易,"2,356.86","6,650","15,673,119"
2330,台積電,配對交易,"2,350.00","11,000","25,850,000"
2345,智邦,配對交易,"2,205.60","360,000","794,016,000"
2360,致茂,配對交易,"2,007.50","99,000","198,742,500"
2383,台光電,配對交易,"4,747.58","92,820","440,670,376"
2383,台光電,配對交易,"4,747.57","264,180","1,254,213,043"
2383,台光電,配對交易,"4,605.00","358,000","1,648,590,000"
2404,漢唐,配對交易,"1,155.28","110,565","127,733,533"
2404,漢唐,配對交易,"1,155.26","78,435","90,612,818"
2421,建準,配對交易,128.67,"489,000","62,919,630"
2449,京元電子,配對交易,273.75,"72,000","19,710,000"
2838,聯邦銀,配對交易,18.40,"1,400,000","25,760,000"
2881,富邦金,配對交易,135.50,"320,000","43,360,000"
2881,富邦金,配對交易,124.00,"156,000","19,344,000"
2882,國泰金,配對交易,103.00,"400,000","41,200,000"
2883,凱基金,配對交易,32.50,"1,500,000","48,750,000"
2885,元大金,配對交易,55.00,"600,000","33,000,000"
2891,中信金,配對交易,63.05,"315,000","19,860,750"
2891,中信金,配對交易,62.59,"468,000","29,292,120"
3017,奇鋐,配對交易,"2,317.77","8,000","18,542,160"
3017,奇鋐,配對交易,"2,190.00","41,000","89,790,000"
3037,欣興,配對交易,825.00,"875,000","721,875,000"
3533,嘉澤,配對交易,"1,983.53","9,000","17,851,770"
3661,世芯-KY,配對交易,"3,485.83","36,801","128,282,030"
3661,世芯-KY,配對交易,"3,485.25","40,199","140,103,565"
3711,日月光投控,配對交易,625.50,"33,000","20,641,500"
8464,億豐,配對交易,362.19,"55,200","19,992,888"
8464,億豐,配對交易,362.18,"64,800","23,469,264"
總計,,,,"12,704,721","8,218,902,591"
