"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股100張以下(%)","100張以下增減","持股200張以下(%)","200張以下增減","持股400張以下(%)","400張以下增減","持股600張以下(%)","600張以下增減"
"1801","2477","美隆電","20.7","-0.1","-0.48","26W30","07/24","21","-0.24","23.7","-0.34","26.4","-0.37","28.8","0"
"1802","2887I","台新新光辛特","9.51","-0.01","-0.11","26W30","07/24","18.7","-0.11","22.8","-0.12","26.9","-0.13","29.7","-0.12"
"1803","2454","聯發科","3985","+120","+3.1","26W30","07/24","15.3","+0.09","19.8","+0.02","25.6","+0.17","29.9","+0.19"
"1804","2739","寒舍","37.75","-0.5","-1.31","26W30","07/24","20.9","-0.36","24.5","-0.34","26.4","-0.03","28.5","+0.02"
"1805","4558","寶緯","18.65","+1.2","+6.88","26W30","07/24","15.9","+0.12","18.3","+0.2","27","+0.95","40.1","+0.02"
"1806","2702","華園","12.7","+0.05","+0.4","26W30","07/24","21.2","-0.02","24.1","-0.01","26.3","0","26.6","0"
"1807","2640","大車隊","158","+1.5","+0.96","26W30","07/24","14.2","+0.22","18.1","-0.03","26.4","0","32.5","0"
"1808","6971","惠民實業","26.35","+0.05","+0.19","26W30","07/24","20.5","+0.08","24.1","+0.55","26.2","0","32.1","0"
"1809","2520","冠德","35.3","-0.35","-0.98","26W30","07/24","21.1","-0.29","24.4","-0.34","27.5","-0.21","29.3","-0.36"
"1810","4113","聯上","15.1","0","0","26W30","07/24","15.8","-0.02","21","-0.09","25.4","+0.02","30","+0.02"
"1811","2379","瑞昱","722","-8","-1.1","26W30","07/24","13.8","-0.23","18.6","-0.01","25.7","-0.38","31.8","-0.01"
"1812","2204","中華","53.4","-0.6","-1.11","26W30","07/24","21.5","+0.58","23.8","+0.49","25.5","+0.5","26.5","+0.88"
"1813","8162","微矽電子-創","63.6","+0.8","+1.27","26W30","07/24","17.3","-0.1","22.1","-0.62","25.9","+0.18","29.4","+0.23"
"1814","6577","勁豐","80.8","+0.5","+0.62","26W30","07/24","19.7","-0.21","21.9","-0.02","25.1","0","27.6","0"
"1815","9905","大華","21.55","+0.1","+0.47","26W30","07/24","20.8","-0.08","23","-0.09","26.2","0","27.3","+0.01"
"1816","1301","台塑","62.7","-0.4","-0.63","26W30","07/24","20.5","-0.34","22.7","-0.36","24.8","-0.31","25.8","-0.31"
"1817","6624","萬年清","41.65","+0.7","+1.71","26W30","07/24","15.8","0","19.9","0","23.5","0","23.5","0"
"1818","2385","群光","108","0","0","26W30","07/24","19.5","+0.02","22.1","+0.05","25.6","+0.03","28","+0.29"
"1819","7753","星亞","37.05","-0.15","-0.4","26W30","07/24","18.7","+0.01","21.2","+0.01","25.8","0","27.5","0"
"1820","6870","騰雲","255.5","+2","+0.79","26W30","07/24","16.6","-0.03","18.2","-0.03","28.2","-0.01","39.2","-0.21"
"1821","9907","統一實","15.35","-0.1","-0.65","26W30","07/24","18.3","+0.1","21.8","+0.13","25.3","+0.17","27.1","+0.1"
"1822","6614","資拓宏宇","35.9","-0.35","-0.97","26W30","07/24","19.5","+0.09","22.7","+0.29","25.6","0","26.2","0"
