代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,外資 連續 買賣 日數,外資 連續 買賣 張數,外資 連續 買賣 佔 成交 (%),外資 連續 買賣 佔發 行量 (%),投信 連續 買賣 日數,投信 連續 買賣 張數,投信 連續 買賣 佔 成交 (%),投信 連續 買賣 佔發 行量 (%),自營 商 連續 買賣 日數,自營 商 連續 買賣 張數,自營 商 連續 買賣 佔 成交 (%),自營 商 連續 買賣 佔發 行量 (%),三大 法人 連續 買賣 日數,三大 法人 連續 買賣 張數,三大 法人 連續 買賣 佔 成交 (%),三大 法人 連續 買賣 佔發 行量 (%)
1904,正隆,23.65,-0.25,-1.05,07/07,4,5180,28.3,0.47,0,0,0.0,0.0,2,110,1.17,0.01,4,5268,28.8,0.48
1909,榮成,10.75,0.1,0.94,07/07,4,15846,41.5,1.19,0,0,0.0,0.0,2,135,0.58,0.01,4,15975,41.8,1.2
2103,台橡,24.65,0.45,1.86,07/07,4,11419,18.1,1.38,0,0,0.0,0.0,-1,-359,-3.68,-0.04,4,11679,18.5,1.41
2106,建大,17.8,-0.1,-0.56,07/07,4,1085,17.7,0.11,0,0,0.0,0.0,2,5,0.27,0.0,4,1065,17.4,0.11
2108,南帝,29.5,-0.35,-1.17,07/07,4,1682,20.9,0.34,0,0,0.0,0.0,2,7,0.18,0.0,4,1682,20.9,0.34
2201,裕隆,28.95,-0.35,-1.19,07/07,4,7355,35.7,0.69,-2,-6,-0.08,0.0,-2,-36,-0.45,0.0,4,7338,35.6,0.69
2206,三陽工業,63.8,0.2,0.31,07/07,4,2531,50.7,0.33,4,359,7.19,0.05,1,4,0.63,0.0,4,2889,57.8,0.37
2231,為升,116.0,-7.5,-6.07,07/07,4,630,3.63,0.46,0,0,0.0,0.0,-1,-163,-4.63,-0.12,-1,-104,-2.94,-0.08
2324,仁寶,35.3,-0.4,-1.12,07/07,4,35909,21.8,0.81,-14,-71318,-8.73,-1.62,4,1629,0.99,0.04,-1,-528,-1.4,-0.01
2342,茂矽,54.5,-4.7,-7.94,07/07,4,324,2.72,0.21,0,0,0.0,0.0,-2,-40,-0.61,-0.03,4,319,2.68,0.2
2415,錩新,37.65,-4.0,-9.6,07/07,4,944,15.0,1.05,0,0,0.0,0.0,-1,-29,-0.98,-0.03,4,944,15.0,1.05
2461,光群雷,17.55,-0.35,-1.96,07/07,4,842,15.5,0.48,0,0,0.0,0.0,0,0,0.0,0.0,4,838,15.4,0.48
2497,怡利電,64.5,-2.3,-3.44,07/07,4,2215,26.8,1.69,0,0,0.0,0.0,-1,0,-0.01,0.0,4,2221,26.9,1.7
2506,太設,8.9,-0.11,-1.22,07/07,4,192,9.28,0.05,0,0,0.0,0.0,0,0,0.0,0.0,4,192,9.28,0.05
