排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 週別,更新 日期,持股 800張 以下 (%),800張 以下 增減,持股 1千張 以下 (%),1千張 以下 增減,持股 超過 1千張 (%),超過 1千張 增減
1,00640L,富邦日本正2,107.25,0.75,0.7,26W27,07/03,83.4,-1.72,83.4,-1.72,16.6,1.72
2,00783,富邦中証500,29.07,0.77,2.72,26W27,07/03,83.9,-16.1,83.9,-16.1,16.1,16.1
3,0057,富邦摩台,306.15,-2.9,-0.94,26W27,07/03,100.0,0.0,100.0,0.0,0.0,0.0
4,00643K,群益深証中小+R,3.97,0.0,0.0,26W27,07/03,100.0,0.0,100.0,0.0,0.0,0.0
5,00728,第一金工業30,63.65,0.4,0.63,26W27,07/03,100.0,0.0,100.0,0.0,0.0,0.0
6,00847B,中信美國市政債,25.3,-0.23,-0.9,26W27,07/03,46.5,0.0,57.9,0.0,42.1,0.0
7,006204,永豐臺灣加權,220.7,-1.05,-0.47,26W27,07/03,100.0,0.0,100.0,0.0,0.0,0.0
8,00678,群益那斯達克生技,41.0,0.03,0.07,26W27,07/03,100.0,0.0,100.0,0.0,0.0,0.0
9,00703,台新MSCI中國,20.14,-0.01,-0.05,26W27,07/03,91.4,0.2,100.0,0.0,0.0,0.0
10,00731,復華富時高息低波,91.0,0.5,0.55,26W27,07/03,89.0,5.45,89.0,5.45,11.0,-5.45
11,0051,元大中型100,139.7,-1.5,-1.06,26W27,07/03,100.0,3.64,100.0,0.0,0.0,0.0
12,00657,國泰日經225,77.65,-0.2,-0.26,26W27,07/03,85.0,0.74,100.0,15.8,0.0,-15.8
13,00657K,國泰日經225+U,24.01,-0.17,-0.7,26W27,07/03,100.0,0.0,100.0,0.0,0.0,0.0
14,00668K,國泰美國道瓊+U,19.69,-0.17,-0.86,26W27,07/03,100.0,0.0,100.0,0.0,0.0,0.0
15,00860B,群益1-5Y投資級債,38.81,-0.03,-0.08,26W27,07/03,100.0,0.0,100.0,0.0,0.0,0.0
16,8349A,恒耀甲特,45.25,-0.05,-0.11,26W27,07/03,100.0,0.0,100.0,0.0,0.0,0.0
17,00636K,國泰中國A50+U,8.9,0.13,1.48,26W27,07/03,100.0,0.0,100.0,0.0,0.0,0.0
18,00899,FT潔淨能源,23.79,0.04,0.17,26W27,07/03,100.0,5.53,100.0,0.0,0.0,0.0
19,006207,復華滬深,33.45,0.5,1.52,26W27,07/03,94.4,-0.24,94.4,-0.24,5.63,0.24
20,00886,永豐美國科技,46.46,0.52,1.13,26W27,07/03,100.0,0.0,100.0,0.0,0.0,0.0
21,00625K,富邦上証+R,8.59,0.0,0.0,26W27,07/03,100.0,0.0,100.0,0.0,0.0,0.0
22,00793B,群益AAA-A醫療債,30.58,0.0,0.0,26W27,07/03,100.0,0.0,100.0,0.0,0.0,0.0
23,00961,FT臺灣永續高息,13.04,-0.01,-0.08,26W27,07/03,96.0,1.56,96.4,1.53,4.1,-1.1
24,00861,元大全球未來通訊,86.95,-0.1,-0.11,26W27,07/03,96.7,1.41,96.7,0.13,3.33,-0.13
25,009822,華南永昌未來金融,9.57,-0.14,-1.44,26W27,07/03,93.8,1.39,94.6,-0.04,5.37,0.04
26,4951,精拓科,79.0,-1.5,-1.86,26W27,07/03,87.1,0.0,95.5,0.0,4.48,0.0
27,009804,聯邦台精彩50,21.5,-0.14,-0.65,26W27,07/03,94.8,0.92,97.2,1.61,3.5,-0.95
28,00944,野村趨勢動能高息,20.26,-0.21,-1.03,26W27,07/03,92.3,-0.11,93.9,-0.22,6.14,0.22
29,00737,國泰AI機器人,40.48,-0.24,-0.59,26W27,07/03,95.1,3.58,95.1,0.0,4.88,0.0
30,00939,統一台灣高息動能,22.25,0.12,0.54,26W27,07/03,95.0,1.25,95.6,1.19,4.37,-1.19
31,3141,晶宏,79.0,0.6,0.77,26W27,07/03,92.2,0.02,94.8,0.0,5.21,0.0
32,6494,九齊,53.2,2.7,5.35,26W27,07/03,94.8,0.0,94.8,0.0,5.23,0.0
33,9103,美德醫療-DR,5.28,0.05,0.96,26W27,07/03,95.4,-0.06,96.8,-0.06,3.2,0.06
