"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超佔成交","2日買賣超佔成交","3日買賣超佔成交","5日買賣超佔成交","10日買賣超佔成交","1個月買賣超佔成交","3個月買賣超佔成交","半年買賣超佔成交","1年買賣超佔成交","3年買賣超佔成交","10年買賣超佔成交","今年買賣超佔成交"
"167","4417","金洲","44.15","-3.9","-8.12","07/13","-35","-31","-28.1","-23.3","-14.2","-10.7","-10.9","-9.48","-3.38","-0.59","+0.24","-9.81"
"168","3092","鴻碩","26.55","-2.25","-7.81","07/13","-22","-29.1","-28.1","-20.1","-2.09","+1.25","-1.47","-0.45","-0.65","-0.13","-0.09","-0.21"
"169","2915","潤泰全","50.4","-1.6","-3.08","07/13","-44.8","-29.7","-28","-15.7","-1.51","+3.47","-0.48","-5.88","-4.65","-1.86","-0.94","-5.58"
"170","00795B","中信美國公債20年","26.9","-0.07","-0.26","07/13","+6.34","-22.5","-28","-16","+3.67","+29","+31.2","+40.9","+30","+13.8","","+41"
"171","8070","長華*","52.4","-0.3","-0.57","07/13","-17.6","-17.4","-27.8","-10.6","-11.7","-10.4","+5.09","+5.81","+2.53","+0.86","+0.5","+7.65"
"172","2753","八方雲集","177","+1","+0.57","07/13","-8.6","-24.2","-27.8","-20.9","-19.9","-5.19","-8.57","-14","-4.07","-2.04","","-14.4"
"173","00876","元大全球5G","93.9","-0.75","-0.79","07/13","-54.5","-42.3","-27.7","-20.9","-15.5","-12.1","-4.02","-0.9","+5.5","+6.01","","+0.05"
"174","1532","勤美","22.75","-0.3","-1.3","07/13","-39.3","-32.6","-27.7","-2.31","+13.6","-0.92","-5.4","-10.8","-0.98","-1.31","-1.06","-11.3"
"175","8103","瀚荃","89.2","0","0","07/13","-26.3","-32.2","-27.6","-15.8","-3.69","-6.29","-1.67","-0.42","-0.28","-0.13","-0.06","-0.28"
"176","006206","元大上證50","37.19","-0.55","-1.46","07/13","+22.8","-29.3","-27.5","-24.3","+5.34","-2.82","+0.43","+0.52","+2.24","+1.41","+3.3","+1.21"
"177","2477","美隆電","21.2","-0.1","-0.47","07/13","-9.22","-23.2","-27.5","-14.2","-13.8","-6.75","-4.81","-3.9","-3.01","+0.03","-0.02","-3.99"
"178","00688L","國泰20年美債正2","6.73","-0.02","-0.3","07/13","-26.1","-22.2","-27.5","-15.2","-9.77","-12.3","-1.18","+1.34","+0.65","+0.63","","+1.54"
"179","6272","驊陞","30","-1.45","-4.61","07/13","-45.9","-35.6","-27.4","-21.1","-10.9","-9.83","-6.33","-2.01","","","","-0.94"
"180","2072","世紀風電","144.5","-2.5","-1.7","07/13","-9.73","-19.2","-27.3","-26.5","-18.8","-13.9","+0.29","","","","",""
"181","5512","力麒","7.84","-0.09","-1.13","07/13","-27.3","-23","-27.3","+6.62","+12.6","+15.6","+0.22","+1.65","-1.65","-0.2","-0.44","+1.19"
"182","6016","康和證","26","-0.5","-1.89","07/13","+4.76","-11.9","-27.2","-18.8","-13.6","-16.9","-3.44","-0.87","+0.15","-0.8","-0.24","-0.73"
"183","8429","金麗-KY","6.22","-0.03","-0.48","07/13","-10.5","-7.1","-27","-26.6","-2.85","+1.03","-5.08","-3.88","-1.83","-0.31","-0.03","-3.62"
"184","00950B","凱基A級公司債","14.04","-0.07","-0.5","07/13","-25.7","-14.5","-27","-0.24","+8.52","+57.4","+44.6","+50.8","+52","","","+50.8"
"185","4930","燦星網","16.85","-0.05","-0.3","07/13","-12.6","-12.3","-26.9","-10","-2.84","-0.84","-0.77","-2.5","-3.25","-1.99","-0.74","-2.52"
"186","6486","互動","83","-0.1","-0.12","07/13","-22.8","-27.4","-26.8","-18.7","-1.1","-6.13","-12.9","-3.44","-2.31","+0.01","","-2.46"
"187","6691","洋基工程","725","+17","+2.4","07/13","+4.13","-8.02","-26.7","-39.7","-36.1","-13.7","+0.47","-1.22","-2.74","+1.39","","-2.62"
"188","6916","華凌","19.8","-0.35","-1.74","07/13","-45.2","-31.5","-26.6","-19.6","+2.76","+2.35","+1.86","+1.31","+1.12","","","+1.39"
"189","6423","億而得","80.2","-7.3","-8.34","07/13","-44.9","-38.3","-26.5","-17.4","-11.7","-12.3","-2.22","-2.36","-2.28","","","-2.32"
"190","4526","東台","37.15","-0.6","-1.59","07/13","-18.4","+4.49","-26.4","-23.7","+5.06","+3.92","+2.09","+1.57","+0.91","-0.03","-0.13","+1.73"
"191","8213","志超","34.2","+0.1","+0.29","07/13","-30","-28.2","-26.4","-35.3","-20.1","-5.4","+6.74","+5.51","+1.81","+1.91","+0.16","+5.45"
"192","6216","居易","22.55","-0.6","-2.59","07/13","-44.6","-19.2","-26.4","-19","-7.98","-10.1","-1.15","+0.39","-2.04","+0.03","-0.09","+0.78"
"193","2838","聯邦銀","23.45","-0.35","-1.47","07/13","-32","-37.5","-26","-9.47","-6.73","-0.53","-0.58","+6.08","+3.02","-3.32","+1.58","+3.75"
"194","3308","聯德","21.1","-0.5","-2.31","07/13","-35.7","-21.8","-26","-11.3","-8.44","-4.53","+0.3","+0.11","-0.13","+0.08","+0.08","-0.06"
"195","4729","熒茂","20.3","-1.1","-5.14","07/13","-29.5","-32.4","-25.9","-9.66","+3.54","+2.07","+0.87","+0.68","+0.19","+0.04","+0.03","+0.75"
"196","6123","上奇","41.7","-0.3","-0.71","07/13","-56","-20.9","-25.8","-15.6","-6.98","-12.9","-4.45","-2.15","-2.55","-1.03","-0.01","-2.01"
"197","1618","合機","38.65","-0.15","-0.39","07/13","-18.4","-22.8","-25.8","-15.8","-3.2","+1.05","+0.35","+0.53","-0.85","-0.25","-0.04","+0.35"
"198","8916","光隆","43.1","-0.85","-1.93","07/13","-28.9","-27.1","-25.7","-20.8","-3.56","-0.86","-4.17","-2.67","-1","-0.56","-0.12","-2.23"
"199","4123","晟德","38.05","-0.9","-2.31","07/13","-25","-21.8","-25.7","-7.7","+11.3","+5.74","-6.15","-2.91","-1.92","-0.52","-0.59","-2.82"
"200","6859","伯特光","115.5","-5","-4.15","07/13","-31.8","-31.4","-25.4","-12.6","-23.7","-7.45","-0.33","-0.16","-0.1","-0.04","","-0.05"
"201","6203","海韻電","65.8","-1.4","-2.08","07/13","-40.4","-34","-25.4","-7.81","+3.2","-4.51","-3.27","-4.67","-2.59","-0.38","-0.24","-4.87"
"202","1210","大成","57.9","+0.9","+1.58","07/13","-27.7","-26.2","-25.3","-7.66","+3.44","+0.65","-14.7","-5.6","-7.61","-1.98","-1.26","-5.18"
"203","6733","博晟生醫","26","-0.35","-1.33","07/13","-9.14","-13.1","-25.2","-25.6","-12.3","-6.12","-0.17","-1.99","+1.39","-0.63","","-3"
"204","5234","達興材料","369.5","-11","-2.89","07/13","-31.4","-21.8","-25.2","-14","-6.2","-8.59","-2.09","+2.26","-0.19","-0.09","+0.31","+0.81"
"205","0050","元大台灣50","106","+0.2","+0.19","07/13","-26.7","-22","-25.1","-25.6","-15.9","-19.3","-14.2","-18.5","-20","-18.4","-14.2","-18.7"
"206","8092","建暐","13.7","-0.15","-1.08","07/13","-23.4","-27.7","-25","-40.8","-3.37","-2.62","-1.63","-1.4","-0.61","-0.02","-0.05","-1.56"
"207","00730","富邦臺灣優質高息","28.39","-0.29","-1.01","07/13","-50.7","-33.9","-25","-15.7","-2.25","-0.87","+14","+7.34","+3.47","+2.75","","+7.13"
"208","00750B","凱基科技債10+","32.94","-0.28","-0.84","07/13","-33.8","-29.6","-24.8","-17.9","-9.91","-5.6","+2.23","+1.18","+0.85","+27.9","","+1.13"
"209","8935","邦泰","21.7","-0.95","-4.19","07/13","-35.8","-27.5","-24.8","-11.1","+4.01","+1.67","+4.24","+1.9","+0.75","+0.51","+0.27","+1.42"
"210","00885","富邦越南","18.42","-0.42","-2.23","07/13","-26.4","-34.8","-24.7","-10.2","+6.36","+13.2","+19.4","+10.4","+15.4","+9.72","","+11.8"
"211","6220","岳豐","34","+0.4","+1.19","07/13","-26.2","-29.4","-24.7","-28","+0.41","-6.66","-5.43","+0.01","-0.15","+0.58","0","-0.08"
"212","6923","中台","78.7","+3.3","+4.38","07/13","+15.2","-0.3","-24.7","-2.24","+1.75","-3.45","-5.92","-6.98","+0.06","","","-4.61"
"213","00985B","群益ESG投等債0-5","10.3","-0.01","-0.1","07/13","-21.4","-5.64","-24.6","-17.4","-10.4","-6.91","-3.21","-1.82","","","","+0.33"
"214","1780","立弘","23.5","-1.2","-4.86","07/13","-22.4","-18.2","-24.6","-5.59","+6.79","","","","","","",""
