單位名稱,買進金額,賣出金額,買賣差額
自營商(自行買賣),"10,562,018,511","10,484,919,674","77,098,837"
自營商(避險),"34,642,328,159","44,440,436,268","-9,798,108,109"
投信,"29,728,493,398","22,820,930,984","6,907,562,414"
外資及陸資(不含外資自營商),"344,190,808,680","369,695,305,000","-25,504,496,320"
外資自營商,0,0,0
合計,"419,123,648,748","447,441,591,926","-28,317,943,178"
