代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,外資 連續 買賣 日數,外資 連續 買賣 張數,外資 連續 買賣 佔 成交 (%),外資 連續 買賣 佔發 行量 (%),投信 連續 買賣 日數,投信 連續 買賣 張數,投信 連續 買賣 佔 成交 (%),投信 連續 買賣 佔發 行量 (%),自營 商 連續 買賣 日數,自營 商 連續 買賣 張數,自營 商 連續 買賣 佔 成交 (%),自營 商 連續 買賣 佔發 行量 (%),三大 法人 連續 買賣 日數,三大 法人 連續 買賣 張數,三大 法人 連續 買賣 佔 成交 (%),三大 法人 連續 買賣 佔發 行量 (%)
3443,創意,5045.0,200.0,4.13,07/01,1,68,2.95,0.05,6,837,6.69,0.62,-2,-66,-1.54,-0.05,1,227,9.9,0.17
6548,長科*,82.4,-1.5,-1.79,07/01,1,163,1.93,0.02,6,2013,2.26,0.21,-7,-539,-0.43,-0.06,1,869,10.3,0.09
1785,光洋科,142.0,-2.5,-1.73,07/01,1,0,0.0,0.0,5,27,0.04,0.0,4,51,0.1,0.01,1,51,0.5,0.01
3006,晶豪科,213.0,-13.0,-5.75,07/01,-3,-2693,-10.5,-0.91,5,65,0.12,0.02,2,79,0.42,0.03,-3,-2663,-10.4,-0.9
3017,奇鋐,2620.0,95.0,3.76,07/01,3,2877,21.3,0.73,5,1106,4.63,0.28,3,130,0.96,0.03,3,3788,28.1,0.96
3037,欣興,1040.0,-30.0,-2.8,07/01,2,3741,5.66,0.24,5,12975,6.27,0.82,-1,-303,-0.94,-0.02,2,7804,11.8,0.49
6139,亞翔,912.0,-11.0,-1.19,07/01,-2,-4090,-29.8,-1.74,5,2457,5.9,1.04,-4,-720,-2.11,-0.31,-2,-3104,-22.6,-1.32
6213,聯茂,360.0,-10.5,-2.83,07/01,-3,-5123,-9.12,-1.41,5,3181,2.68,0.87,-1,-224,-1.12,-0.06,-3,-3369,-6.0,-0.93
6691,洋基工程,750.0,-11.0,-1.45,07/01,-4,-1714,-23.4,-1.41,5,1686,18.6,1.39,1,7,0.46,0.01,-2,-455,-14.1,-0.37
1560,中砂,763.0,1.0,0.13,07/01,-1,-3,-0.23,0.0,4,529,7.97,0.35,-2,-24,-0.62,-0.02,3,638,11.9,0.43
