項目,買進,賣出,現金(券)償還,前日餘額,今日餘額
融資(交易單位),515321,641611,10619,9602553,9465644
融券(交易單位),40124,29679,12081,203238,180712
融資金額(仟元),37192135,49858905,1599182,618300058,604034106
