排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 (%),2日 增減 (%),3日 增減 (%),5日 增減 (%),10日 增減 (%),1個月 增減 (%),3個月 增減 (%),半年 增減 (%),1年 增減 (%),今年 增減 (%)
178,2482,連宇,16.1,0.1,0.62,07/31,8.76,-12.1,-10.9,-7.93,-17.9,-18.8,-25.3,-20.9,40.1,-19.6
179,3363,上詮,480.5,43.5,9.95,07/31,-1.99,-7.69,-7.96,-7.89,-7.1,3.57,56.0,32.4,59.7,118.0
180,8042,金山電,98.7,8.9,9.91,07/31,-1.13,1.68,-2.36,-7.85,-11.7,75.1,-44.5,-79.6,-17.7,-78.6
181,2610,華航,22.4,0.7,3.23,07/31,-2.64,-4.8,-7.43,-7.85,-4.48,-26.7,-88.1,-71.1,-84.2,-83.9
182,2324,仁寶,36.0,2.25,6.67,07/31,-4.27,-0.57,-0.9,-7.8,-18.0,-28.0,-74.3,-69.5,110.0,-64.1
183,3171,炎洲流通,65.6,1.4,2.18,07/31,0.0,0.0,0.0,-7.77,-7.77,-31.2,-61.1,-15.2,313.0,-15.2
184,9907,統一實,15.0,-0.35,-2.28,07/31,-3.6,-4.96,-6.08,-7.71,-13.8,-23.4,67.8,191.0,376.0,202.0
185,3036,文曄,196.5,13.0,7.08,07/31,-1.27,-3.44,-4.64,-7.7,-10.9,-19.1,32.2,161.0,364.0,118.0
186,6182,合晶,89.0,4.3,5.08,07/31,-0.38,-0.38,-1.62,-7.67,-32.6,-19.2,-14.6,-50.6,61.5,-46.0
187,8942,森鉅,36.6,0.6,1.67,07/31,0.92,1.55,4.21,-7.67,-17.7,-26.9,-41.9,-24.9,36.0,-17.1
188,2608,嘉里大榮,29.1,-0.45,-1.52,07/31,-2.22,-8.43,-7.65,-7.65,-28.9,-28.8,-15.5,-8.99,27.1,35.5
189,2645,長榮航太,183.0,7.0,3.98,07/31,5.5,-0.7,-4.08,-7.62,-7.45,-45.0,-68.4,-75.6,59.7,-50.7
190,8112,至上,80.3,4.7,6.22,07/31,-0.96,-0.56,-7.01,-7.56,-17.3,27.5,199.0,20.5,187.0,-6.4
191,8354,冠好,15.85,0.9,6.02,07/31,0.0,0.0,0.0,-7.53,-7.53,26.2,8.87,23.9,-67.6,31.1
