項目,買進,賣出,現金(券)償還,前日餘額,今日餘額
融資(交易單位),325129,312676,7558,9349915,9354810
融券(交易單位),29798,45284,19378,208646,204754
融資金額(仟元),22946783,27463313,1050282,582626349,577059537
