項目,買進,賣出,現金(券)償還,前日餘額,今日餘額
融資(交易單位),516117,639075,7278,9661971,9531735
融券(交易單位),32737,38783,1212,209010,213844
融資金額(仟元),34437827,54289178,548249,631344856,610945256
