排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 週別,更新 日期,持股 800張 以下 (%),800張 以下 增減,持股 1千張 以下 (%),1千張 以下 增減,持股 超過 1千張 (%),超過 1千張 增減
301,009801,中信美國創新科技,12.56,-0.03,-0.24,26W27,07/03,77.1,-1.22,79.9,-1.22,20.1,1.22
302,6799,來頡,86.3,-5.1,-5.58,26W27,07/03,73.0,0.03,79.0,0.0,21.0,0.0
303,6752,叡揚,99.5,-0.1,-0.1,26W27,07/03,73.9,-0.01,79.0,-0.01,21.0,0.01
304,00786B,元大10年IG銀行債,32.64,-0.31,-0.94,26W27,07/03,75.6,-1.85,80.2,-6.21,19.8,6.21
305,00988B,玉山嚴選非投債,19.98,-0.02,-0.1,26W27,07/03,85.3,0.48,89.5,0.34,10.5,-0.34
306,6909,創控,40.7,-0.15,-0.37,26W27,07/03,72.9,-1.13,78.4,0.19,21.6,-0.19
307,00712,復華富時不動產,8.76,-0.04,-0.45,26W27,07/03,77.0,-0.38,79.1,-0.3,20.9,0.3
308,00951,台新日本半導體,17.51,-0.56,-3.1,26W27,07/03,87.5,0.36,89.4,0.3,10.6,-0.3
309,3607,谷崧,14.3,-0.05,-0.35,26W27,07/03,73.7,0.05,78.7,-0.02,21.3,0.02
310,1312A,國喬特,20.8,0.0,0.0,26W27,07/03,73.9,0.0,78.6,0.0,21.4,0.0
311,6462,神盾,99.6,-0.4,-0.4,26W27,07/03,76.2,0.08,78.9,0.02,21.1,-0.02
312,9110,越南控-DR,3.07,-0.06,-1.92,26W27,07/03,72.1,-0.02,78.4,-0.02,21.6,0.02
313,00924,復華S&P500成長,33.93,-0.11,-0.32,26W27,07/03,77.8,-0.75,78.6,-0.55,21.4,0.55
314,00981A,主動統一台股增長,28.03,-0.81,-2.81,26W27,07/03,81.1,-1.83,82.2,-1.75,17.8,1.75
315,6438,迅得,145.0,-2.0,-1.36,26W27,07/03,71.2,-0.12,75.7,-1.26,24.3,1.26
316,8066,來思達,14.75,0.0,0.0,26W27,07/03,72.8,0.01,78.2,0.0,21.8,0.0
317,3587,閎康,255.5,-11.5,-4.31,26W27,07/03,72.9,-0.25,78.2,0.0,21.8,0.0
318,6226,光鼎,22.05,-0.8,-3.5,26W27,07/03,76.4,-0.08,77.9,-1.06,22.1,1.06
319,6411,晶焱,76.6,-1.7,-2.17,26W27,07/03,74.4,0.02,78.1,0.02,21.9,-0.02
320,3540,曜越,20.7,0.3,1.47,26W27,07/03,78.4,0.07,78.4,0.07,21.6,-0.07
321,8176,智捷,9.78,-0.05,-0.51,26W27,07/03,74.4,-0.01,78.3,-0.01,21.7,0.01
322,00404A,主動聯博動能50,9.39,-0.07,-0.74,26W27,07/03,84.9,-2.58,85.5,-2.6,14.5,2.6
323,00713,元大台灣高息低波,61.3,0.2,0.33,26W27,07/03,78.0,0.08,78.3,0.13,21.7,-0.13
324,6269,台郡,66.6,2.1,3.26,26W27,07/03,73.6,3.79,74.8,3.0,25.2,-3.0
325,3710,連展投控,5.03,-0.04,-0.79,26W27,07/03,76.6,-0.04,78.2,-0.07,21.8,0.07
326,3715,定穎投控,114.5,-2.0,-1.72,26W27,07/03,69.1,1.13,70.0,1.11,30.0,-1.11
327,6122,擎邦,47.05,0.35,0.75,26W27,07/03,77.1,-0.02,79.5,-0.02,20.5,0.02
328,6657,華安,31.2,0.2,0.65,26W27,07/03,74.6,0.0,79.1,0.0,20.9,0.0
329,4971,IET-KY,460.5,-19.5,-4.06,26W27,07/03,88.4,0.08,93.0,0.03,7.02,-0.03
330,00685L,群益臺灣加權正2,11.01,-0.04,-0.36,,,,,,,,
331,5315,光聯,19.3,0.05,0.26,26W27,07/03,74.7,0.06,76.3,0.06,23.7,-0.06
332,00947,台新臺灣IC設計,35.14,-0.36,-1.01,26W27,07/03,80.8,-1.26,81.5,-1.72,18.5,1.72
