排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 發行 張數,2日 買賣超 佔 發行 張數,3日 買賣超 佔 發行 張數,5日 買賣超 佔 發行 張數,10日 買賣超 佔 發行 張數,1個月 買賣超 佔 發行 張數,3個月 買賣超 佔 發行 張數,半年 買賣超 佔 發行 張數,1年 買賣超 佔 發行 張數,3年 買賣超 佔 發行 張數,10年 買賣超 佔 發行 張數,今年 買賣超 佔 發行 張數
174,3711,日月光投控,608.0,-5.0,-0.82,07/27,0.0,-0.03,-0.03,0.03,0.13,0.34,-0.58,-0.34,-2.37,-1.1,,-0.36
175,4958,臻鼎-KY,470.5,-11.5,-2.39,07/27,-0.05,0.0,-0.18,0.02,0.21,0.25,3.15,4.22,3.69,1.68,5.03,3.78
176,9935,慶豐富,19.35,-0.05,-0.26,07/27,0.0,0.0,0.02,0.02,0.02,0.32,0.32,0.32,0.32,0.32,0.32,0.32
177,2832,台產,56.6,0.2,0.35,07/27,0.0,0.0,0.02,0.02,0.02,0.23,0.26,0.22,0.26,0.29,0.21,-0.01
178,2884,玉山金,36.4,0.45,1.25,07/27,0.0,0.01,0.01,0.02,0.04,0.22,-0.06,-0.72,2.67,4.68,4.99,-0.38
179,3293,鈊象,719.0,9.0,1.27,07/27,0.0,0.0,0.0,0.02,-0.05,1.75,7.21,6.25,10.5,8.27,5.75,5.93
180,2027,大成鋼,44.55,1.0,2.3,07/27,-0.11,-0.14,-0.14,0.02,0.1,1.53,-1.39,-0.86,1.52,-1.25,0.41,-0.51
181,9917,中保科,110.5,0.5,0.45,07/27,0.0,0.02,0.02,0.02,0.15,0.23,0.51,0.43,0.43,0.47,0.47,0.3
182,8454,富邦媒,244.5,6.0,2.52,07/27,0.0,0.0,0.02,0.02,-0.03,-0.14,4.1,4.03,4.04,4.04,4.06,4.33
183,3105,穩懋,355.0,13.5,3.95,07/27,0.0,0.02,0.03,0.02,0.03,-0.74,-2.3,3.31,4.34,3.35,-2.25,4.17
184,2881,富邦金,130.0,2.5,1.96,07/27,0.0,0.0,0.0,0.02,0.08,-0.33,-1.57,-1.61,-0.4,4.81,5.46,-2.1
185,3583,辛耘,749.0,34.0,4.76,07/27,0.01,-0.06,-0.02,0.02,-0.67,-0.88,3.13,4.51,4.21,0.08,-0.55,4.51
186,7750,新代,2060.0,35.0,1.73,07/27,0.01,0.01,0.01,0.02,0.02,-0.02,-0.03,0.12,,,,0.13
187,2718,全心投控,45.3,-0.45,-0.98,07/27,0.0,0.0,0.02,0.02,0.02,0.13,0.13,0.13,0.13,0.13,0.13,0.13
188,00953B,群益優選非投等債,9.82,0.03,0.31,07/27,0.01,0.01,0.01,0.01,0.01,0.01,-0.35,-0.55,-1.97,,,-0.6
189,7769,鴻勁,6110.0,55.0,0.91,07/27,-0.02,-0.04,-0.04,0.01,0.1,0.36,0.8,0.51,,,,1.03
190,2615,萬海,84.0,-3.0,-3.45,07/27,0.0,0.01,0.01,0.01,-0.01,0.02,0.37,-1.09,-6.9,-0.71,0.02,-1.29
191,2301,光寶科,212.0,-2.5,-1.17,07/27,0.02,0.03,0.01,0.01,-0.21,-0.54,-2.59,-3.53,-7.81,-5.67,-0.46,-4.68
192,2207,和泰車,498.0,4.5,0.91,07/27,0.0,0.01,0.01,0.01,-0.03,-0.01,-1.29,-1.3,-0.99,-0.84,-0.7,-1.34
193,3163,波若威,743.0,38.0,5.39,07/27,0.0,0.0,0.0,0.01,-0.24,-0.8,-9.12,1.22,3.26,4.46,1.65,1.1
194,1301,台塑,61.7,-1.0,-1.59,07/27,0.0,0.0,0.0,0.01,0.01,0.01,-1.79,-1.71,-1.86,-2.72,-2.0,-1.73
195,2330,台積電,2350.0,0.0,0.0,07/27,0.0,0.0,0.0,0.01,0.03,0.06,0.28,0.4,0.48,0.77,1.04,0.43
196,2845,遠東銀,13.4,0.05,0.37,07/27,0.01,0.01,0.01,0.01,0.02,0.45,1.96,1.97,1.92,0.57,1.83,1.96
197,3028,增你強,64.1,-3.2,-4.75,07/27,0.0,0.0,0.0,0.01,0.01,0.12,0.25,0.25,0.25,0.22,0.22,0.25
198,2324,仁寶,37.15,-0.05,-0.13,07/27,0.0,0.0,0.01,0.01,-0.09,-1.35,-6.77,-9.96,-12.6,-12.2,-7.59,-10.9
199,2885,元大金,64.7,1.6,2.54,07/27,0.05,0.05,0.06,0.01,-0.02,-0.04,-1.66,-1.49,-3.3,-0.09,3.32,-2.24
200,1102,亞泥,33.1,0.35,1.07,07/27,0.0,0.0,0.0,0.01,-0.05,-2.07,-3.54,-4.86,-3.0,-3.13,-3.35,-4.48
201,3363,上詮,598.0,16.0,2.75,07/27,0.0,0.0,0.01,0.01,-0.14,-0.2,-0.37,-0.06,0.26,1.3,1.52,0.0
202,2206,三陽工業,63.1,1.7,2.77,07/27,0.0,0.01,0.01,0.01,0.12,0.16,0.28,-0.39,-1.71,2.3,2.41,-0.7
203,2897,王道銀行,10.3,0.15,1.48,07/27,0.0,0.0,0.0,0.01,0.01,0.1,0.02,0.02,-0.03,0.03,,0.01
204,6890,來億-KY,175.5,3.0,1.74,07/27,0.0,0.0,0.0,0.01,0.02,0.09,5.42,5.34,4.7,,,5.07
205,6561,是方,322.0,-3.5,-1.08,07/27,0.0,0.0,0.0,0.01,0.01,-0.06,-0.3,-0.44,-0.02,0.26,,-0.27
206,2412,中華電,140.5,1.5,1.08,07/27,0.0,0.01,0.01,0.0,0.03,0.38,0.97,0.98,0.91,2.11,2.15,0.93
207,6023,元大期,87.0,-0.1,-0.11,07/27,0.0,0.0,0.0,0.0,0.08,0.14,0.06,0.12,0.14,0.14,0.14,0.12
208,3374,精材,345.0,-20.0,-5.48,07/27,0.0,0.0,0.0,0.0,0.05,-0.36,-0.36,-2.1,-0.04,-3.01,-1.72,0.08
209,5522,遠雄,66.5,0.6,0.91,07/27,0.0,0.0,0.0,0.0,0.05,0.07,-0.29,-0.37,-0.47,1.81,2.41,-0.66
210,5880,合庫金,25.95,0.3,1.17,07/27,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.08,-0.05,0.14,0.39,0.06
211,2528,皇普,22.0,-0.5,-2.22,07/27,0.0,0.0,0.0,0.0,-0.02,0.25,0.24,0.19,0.27,0.27,0.27,0.27
212,1810,和成,26.5,-2.1,-7.34,07/27,0.0,0.0,0.0,0.0,0.01,0.05,-0.06,-0.28,0.6,0.61,0.61,0.04
213,8064,東捷,104.5,1.0,0.97,07/27,0.0,0.0,0.0,0.0,0.01,0.05,0.21,0.21,0.21,0.21,0.21,0.21
214,2605,新興,31.6,-0.7,-2.17,07/27,0.0,0.0,0.0,0.0,0.03,0.03,-0.21,-0.78,-0.01,0.05,-0.03,-0.5
215,8464,億豐,379.0,9.0,2.43,07/27,0.0,0.01,0.0,0.0,0.0,0.57,1.42,1.77,1.57,1.55,1.52,1.75
216,2501,國建,22.35,-0.4,-1.76,07/27,0.0,0.0,0.0,0.0,0.04,0.13,0.07,0.07,0.12,0.12,0.13,-0.1
217,006208,富邦台50,232.75,-0.25,-0.11,07/27,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,-0.03,0.51,0.54,0.02
218,1409,新纖,22.6,-0.75,-3.21,07/27,0.0,0.0,0.0,0.0,0.01,0.13,0.17,0.14,0.17,0.19,0.19,0.18
219,2504,國產,31.9,0.2,0.63,07/27,0.0,0.0,0.0,0.0,0.0,0.11,1.26,0.88,-2.4,11.6,13.1,1.08
220,2409,友達,23.9,-1.6,-6.27,07/27,0.0,0.0,0.0,0.0,0.05,0.04,0.04,-0.05,0.03,-3.72,-5.58,-0.34
221,6189,豐藝,48.45,-0.5,-1.02,07/27,0.0,0.0,0.0,0.0,0.0,0.02,0.21,0.15,0.16,0.38,0.37,0.19
222,6176,瑞儀,87.2,-0.9,-1.02,07/27,0.0,0.0,0.0,0.0,-0.03,-2.05,-17.3,-20.4,-28.8,-6.72,-9.6,-23.7
223,6790,永豐實,39.0,0.25,0.65,07/27,0.0,0.0,0.0,0.0,0.05,0.05,0.05,0.06,-0.44,0.06,,0.03
224,8422,可寧衛*,25.7,-0.3,-1.15,07/27,0.0,0.0,0.0,0.0,-0.11,0.69,-1.62,-1.97,-1.87,-1.87,-1.86,-2.17
225,9802,鈺齊-KY,74.3,2.4,3.34,07/27,0.0,0.0,0.0,0.0,-0.12,-0.12,0.16,0.2,0.28,0.27,0.2,-0.34
226,2392,正崴,35.7,0.0,0.0,07/27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,-0.07,-0.76,0.01
227,3013,晟銘電,84.9,-0.1,-0.12,07/27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18,-1.95,0.03,0.03,-1.12
228,1795,美時,184.0,-1.0,-0.54,07/27,0.0,0.0,0.0,0.0,0.0,0.02,0.0,-0.96,0.2,-2.71,-0.26,-1.07
229,6269,台郡,54.1,-0.2,-0.37,07/27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.36,-0.29,-0.12,-2.69,-0.36
230,2520,冠德,35.3,0.35,1.0,07/27,0.0,0.0,0.0,0.0,-0.02,-0.02,-0.03,-0.03,-8.98,-0.68,-0.91,-0.67
231,1904,正隆,21.55,0.1,0.47,07/27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,-0.32,-0.08,0.02,-0.1
232,3030,德律,296.5,4.0,1.37,07/27,0.0,0.0,0.0,0.0,0.0,0.01,-0.35,-0.18,-2.95,0.22,0.23,0.04
233,3380,明泰,30.3,0.5,1.68,07/27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,-0.24,0.01,-1.05,-0.02
234,4766,南寶,328.5,-1.5,-0.45,07/27,0.0,0.0,0.0,0.0,0.03,0.34,0.05,-0.81,-4.65,3.57,,-1.02
235,6197,佳必琪,312.0,2.0,0.65,07/27,0.0,0.0,0.0,0.0,-0.02,-0.01,-0.03,0.12,-4.65,-0.23,0.2,-1.04
