項目,買進,賣出,現金(券)償還,前日餘額,今日餘額
融資(交易單位),472181,352213,4894,9414924,9529998
融券(交易單位),26132,31736,1725,196392,200271
融資金額(仟元),41109751,29379996,394873,609502407,620837289
