"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股100張以下(%)","100張以下增減","持股200張以下(%)","200張以下增減","持股400張以下(%)","400張以下增減","持股600張以下(%)","600張以下增減"
"1201","00665L","富邦恒生國企正2","9.5","+0.01","+0.11","26W31","07/31","18.7","-0.19","29.2","-0.65","39.6","-1.06","46","-1.09"
"1202","1342","八貫","104","0","0","26W31","07/31","31.9","+0.07","35.7","+0.33","40.6","+0.53","42.6","-0.05"
"1203","9927","泰銘","69.1","-0.2","-0.29","26W31","07/31","33.5","+0.01","36.9","-0.28","41.1","0","42.9","0"
"1204","2916","滿心","40.05","-0.05","-0.12","26W31","07/31","29.9","-0.2","35.9","+0.33","41.1","-0.05","42.5","-0.05"
"1205","3447","展達","28.7","+1.1","+3.99","26W31","07/31","31.7","+0.03","36.8","+0.38","41.1","0","44.7","0"
"1206","6142","友勁","8.87","-0.08","-0.89","26W31","07/31","29.9","-0.09","35.5","0","40.8","+0.08","44.2","+0.03"
"1207","00641R","富邦日本反1","3.62","-0.03","-0.82","26W31","07/31","26.5","-0.14","38.3","+0.11","48.7","-1.5","55","-1.21"
"1208","6112","邁達特","45.05","-0.45","-0.99","26W31","07/31","36.7","+0.11","39.5","+0.29","41.5","+0.13","42.5","+0.09"
"1209","2331","精英","19.7","-0.1","-0.51","26W31","07/31","34.7","-0.02","38.4","+0.15","41.6","+0.19","43.9","-0.07"
"1210","2732","六角","64.8","-0.3","-0.46","26W31","07/31","36.1","+0.03","40.6","+0.04","41.2","+0.04","46.5","+0.04"
"1211","7819","精誠金融","34.5","-0.3","-0.86","26W31","07/31","34.1","0","38.8","0","40.9","0","40.9","0"
"1212","4129","聯合","82.4","+0.1","+0.12","26W31","07/31","27.8","+0.01","33.1","+0.07","40.9","+0.02","48.9","+0.03"
"1213","2421","建準","163.5","+4","+2.51","26W31","07/31","33","+0.24","37.6","+0.18","43.1","+0.33","48.7","+0.69"
"1214","3628","盈正","68.4","-0.3","-0.44","26W31","07/31","32.1","-0.32","36.7","-0.07","40.8","0","40.8","0"
"1215","2364","倫飛","67.6","-0.4","-0.59","26W31","07/31","37.3","+0.05","41.3","+0.15","45","0","45","0"
"1216","5521","工信","10.65","-0.15","-1.39","26W31","07/31","30.2","-0.27","36.6","-0.16","41.7","-0.1","44.7","+0.03"
"1217","1474","弘裕","10","0","0","26W31","07/31","29.6","+0.08","35.1","+0.01","40.6","0","43.8","-0.02"
"1218","3581","博磊","110.5","-2.5","-2.21","26W31","07/31","31.1","-0.48","37.2","+0.19","39.9","-0.16","42.8","-2.54"
"1219","2313","華通","241","-3","-1.23","26W31","07/31","38.7","+1.45","41","+1.43","43.2","+1.61","44.9","+1.86"
