排名,代號,名稱,市 場,成交,漲跌 價,漲跌 幅,成交 張數,法人 買賣 日期,外資 買賣超 張數,投信 買賣超 張數,自營 買賣超 張數,合計 買賣超 張數,外資 持有 (千張),外資 持股 (%),法人 買賣超 註記
85,3044,健鼎,市,531.0,-35.0,-6.18,4345,06/23,-889,83,-71,-877,263.0,50.1,－＋－
86,8444,綠河-KY,櫃,5.51,0.45,8.89,65,06/23,-4,0,0,-4,55.0,49.5,－・・
87,00986B,FT金融債10+,櫃,9.88,-0.02,-0.2,14,06/23,0,0,0,0,12.2,49.3,・・－
88,3533,嘉澤,市,2235.0,-80.0,-3.46,722,06/23,-161,16,-6,-151,55.2,49.0,－＋－
89,2379,瑞昱,市,863.0,-37.0,-4.11,8046,06/23,-1722,-8,-102,-1832,253.0,49.0,－－－
90,00985D,主動貝萊德優投等,櫃,10.18,-0.03,-0.29,145,06/23,-1,0,-33,-34,37.4,48.5,－・－
91,2327,國巨*,市,1020.0,-45.0,-4.23,46353,06/23,4377,1243,-180,5440,1000.0,48.3,＋＋－
92,2605,新興,市,31.8,-0.15,-0.47,8401,06/23,338,0,-75,263,279.0,47.7,＋・－
93,3162,精確,櫃,83.7,-0.9,-1.06,1374,06/23,-162,0,9,-153,73.5,47.6,－・＋
94,4763,材料*-KY,市,46.65,1.05,2.3,17403,06/23,-932,1,76,-856,463.0,46.8,－＋＋
95,8467,波力-KY,市,123.5,-2.5,-1.98,22,06/23,6,0,0,6,22.5,46.6,＋・・
96,3023,信邦,市,310.5,-22.5,-6.76,1839,06/23,-395,-226,15,-605,111.0,46.1,－－＋
97,2723,美食-KY,市,65.3,-0.8,-1.21,391,06/23,44,1,2,47,82.7,46.0,＋＋＋
98,3570,大塚,櫃,177.0,-1.5,-0.84,37,06/23,-3,0,0,-3,7.77,45.5,－・・
99,6456,GIS-KY,市,71.7,-4.4,-5.78,5973,06/23,-1627,0,-31,-1657,153.0,45.3,－・－
100,6195,詩肯,櫃,26.9,-0.3,-1.1,69,06/23,1,0,0,1,22.6,45.1,＋・・
101,2115,六暉-KY,市,20.4,-0.1,-0.49,58,06/23,-26,0,0,-26,46.1,44.2,－・・
102,2383,台光電,市,5700.0,-125.0,-2.15,2139,06/23,469,-74,-41,354,158.0,44.1,＋－－
103,4702,中美實,櫃,10.0,-0.05,-0.5,248,06/23,-40,0,0,-40,31.7,43.8,－・・
104,1626,艾美特-KY,市,9.77,0.03,0.31,210,06/23,-36,0,0,-36,65.6,43.8,－・・
105,3532,台勝科,市,373.0,-5.5,-1.45,693,06/23,56,0,72,128,169.0,43.7,＋＋＋
106,6807,峰源-KY,市,33.2,-0.2,-0.6,3,06/23,0,0,0,0,23.5,43.5,・・・
107,5871,中租-KY,市,115.0,-3.0,-2.54,5555,06/23,-1345,-54,23,-1376,742.0,43.3,－－＋
108,3406,玉晶光,市,741.0,-33.0,-4.26,4985,06/23,-882,-189,-37,-1108,48.5,43.0,－－－
109,4552,力達-KY,市,21.0,-0.45,-2.1,44,06/23,-4,0,2,-2,49.6,42.8,－・＋
110,2615,萬海,市,78.7,-1.8,-2.24,8928,06/23,-1983,6,-142,-2120,1198.0,42.7,－＋－
111,8150,南茂,市,106.5,-7.5,-6.58,86725,06/23,11950,-10128,838,2661,300.0,42.6,＋－＋
112,6741,91APP*-KY,櫃,62.5,-1.9,-2.95,222,06/23,-104,0,0,-104,51.0,42.3,－・・
113,3530,晶相光,市,73.6,0.2,0.27,720,06/23,-43,0,-1,-43,32.7,42.2,－・－
114,2527,宏璟,市,39.7,0.45,1.15,1952,06/23,670,0,-2,668,114.0,42.0,＋・－
115,5223,安力-KY,櫃,25.4,-0.25,-0.97,57,06/23,-15,0,0,-15,18.7,41.9,－・・
116,8069,元太,櫃,196.0,-7.0,-3.45,4886,06/23,-130,-497,-91,-718,484.0,41.9,－－－
117,8464,億豐,市,343.5,-2.5,-0.72,1297,06/23,-336,344,3,11,121.0,41.3,－＋＋
118,6259,百徽,櫃,36.15,-3.2,-8.13,3042,06/23,-8,0,9,1,11.6,41.2,－・＋
119,9802,鈺齊-KY,市,74.6,-1.2,-1.58,501,06/23,-99,0,-20,-119,82.6,41.1,－・－
120,2317,鴻海,市,259.5,-9.0,-3.35,91601,06/23,-32412,151,-923,-33184,5755.0,41.0,－＋－
121,8105,凌巨,市,21.4,-1.5,-6.55,13626,06/23,-1450,0,1,-1449,180.0,40.8,－・＋
122,6121,新普,櫃,417.0,-7.0,-1.65,559,06/23,32,-30,-7,-5,75.4,40.7,＋－－
123,2301,光寶科,市,223.5,-8.0,-3.46,58205,06/23,1671,-4960,-171,-3459,942.0,40.6,＋－－
124,6534,正瀚-創,市,92.2,0.2,0.22,60,06/23,28,0,-2,27,41.8,40.6,＋・－
125,5536,聖暉*,櫃,1260.0,-20.0,-1.56,889,06/23,-51,85,-4,29,50.4,40.6,－＋－
126,2303,聯電,市,170.0,10.0,6.25,550643,06/23,27580,-13790,3562,17352,5092.0,40.5,＋－＋
127,2227,裕日車,市,49.75,0.5,1.02,40,06/23,15,0,0,15,121.0,40.4,＋・・
128,6962,奕力-KY,市,39.0,-1.05,-2.62,5613,06/23,120,20,-25,115,198.0,40.2,＋＋－
