"排名","代號","名稱","市場","成交","漲跌價","漲跌幅","成交張數","法人買賣日期","外資買賣超張數","投信買賣超張數","自營買賣超張數","合計買賣超張數","外資持有(千張)","外資持股(%)","法人買賣超註記"
"901","5206","坤悅","櫃","23","+0.3","+1.32","52","08/19","-2","0","0","-2","11.7","6.5","－・＋"
"902","4576","大銀微系統","市","208","-2.5","-1.19","1,529","08/19","-10","0","-23","-33","7.78","6.5","－・－"
"903","3046","建碁","市","58.7","-0.3","-0.51","257","08/19","-44","0","+7","-37","5.09","6.5","－・＋"
"904","3048","益登","市","57","+1.6","+2.89","3,204","08/19","+913","0","+47","+961","17.5","6.5","＋・＋"
"905","3303","岱稜","櫃","52.8","+0.3","+0.57","144","08/19","+48","0","0","+48","6.1","6.5","＋・－"
"906","6547","高端疫苗","櫃","51.7","-0.5","-0.96","2,834","08/19","-99","0","-172","-270","21.3","6.5","－・－"
"907","2536","宏普","市","20.8","-0.05","-0.24","770","08/19","-164","0","0","-164","21.5","6.4","－・・"
"908","2250","IKKA-KY","市","60.1","-0.2","-0.33","73","08/19","+12","0","0","+12","2.35","6.4","＋・・"
"909","2108","南帝","市","29.1","-0.35","-1.19","696","08/19","-282","0","+4","-278","31.7","6.4","－・＋"
"910","3615","安可","櫃","36","-0.05","-0.14","373","08/19","-21","0","0","-21","4.4","6.4","－・－"
"911","1533","車王電","市","31.1","-0.4","-1.27","89","08/19","-60","0","0","-60","6.32","6.4","－・・"
"912","6197","佳必琪","市","301","+7","+2.38","1,018","08/19","+195","-1","+20","+214","7.83","6.4","＋－＋"
"913","3290","東浦","櫃","50.9","-0.8","-1.55","430","08/19","-64","0","-15","-78","5.78","6.4","－・－"
"914","8261","富鼎","市","183.5","-3","-1.61","11,749","08/19","-336","-4","-2","-342","7.61","6.4","－－－"
"915","6108","競國","市","24.75","+1.15","+4.87","5,933","08/19","+541","0","-6","+535","9.85","6.4","＋・－"
"916","8044","網家","櫃","25.25","-0.2","-0.79","281","08/19","-68","0","-12","-80","13.1","6.4","－・－"
"917","8938","明安","櫃","52.7","+0.2","+0.38","47","08/19","-3","0","+1","-2","10","6.4","－・＋"
"918","2371","大同","市","27","+0.25","+0.93","13,666","08/19","-322","0","+126","-196","137","6.4","－・＋"
"919","6438","迅得","市","142","-1","-0.7","178","08/19","+13","0","-8","+5","5.23","6.4","＋・－"
"920","2363","矽統","市","50.8","+0.1","+0.2","2,061","08/19","-263","0","-81","-344","32.7","6.4","－・－"
"921","4120","友華","櫃","47.3","-0.7","-1.46","18","08/19","0","0","0","0","5.51","6.4","・・・"
"922","2457","飛宏","市","22.9","-0.1","-0.43","1,096","08/19","-119","0","+2","-118","26.9","6.3","－・＋"
"923","6651","全宇昕","櫃","138","+1.5","+1.1","207","08/19","+52","0","-3","+49","2.19","6.3","＋・－"
"924","1338","廣華-KY","市","14.7","+0.2","+1.38","94","08/19","+36","0","0","+36","5.31","6.3","＋・・"
"925","6877","鏵友益","櫃","120","+2","+1.69","29","08/19","+7","0","0","+7","2.97","6.3","＋・－"
"926","5236","凌陽創新","市","135.5","+0.5","+0.37","249","08/19","-129","+10","-4","-123","3.78","6.3","－＋－"
"927","2493","揚博","市","183","+1.5","+0.83","2,440","08/19","-596","-2","-8","-606","7.97","6.3","－－－"
"928","4942","嘉彰","市","33.1","-0.15","-0.45","205","08/19","-37","0","0","-37","8.92","6.3","－・・"
