排名,代號,名稱,市 場,成交,漲跌 價,漲跌 幅,成交 張數,法人 買賣 日期,外資 買賣超 張數,投信 買賣超 張數,自營 買賣超 張數,合計 買賣超 張數,外資 持有 (千張),外資 持股 (%),法人 買賣超 註記
601,3259,鑫創,櫃,11.1,-1.05,-8.64,34,09/07,0,0,0,0,7.96,10.9,＋・・
602,4129,聯合,櫃,82.4,0.9,1.1,164,09/07,-58,0,1,-57,10.5,10.9,－・＋
603,3289,宜特,櫃,140.5,0.5,0.36,512,09/07,45,0,0,45,9.43,10.9,＋・＋
604,1903,士紙,市,47.6,-0.05,-0.1,59,09/07,-8,0,0,-8,28.3,10.9,－・－
605,2362,藍天,市,47.95,-1.35,-2.74,1176,09/07,-743,0,14,-729,67.6,10.8,－・＋
606,4556,旭然,櫃,70.5,-2.4,-3.29,377,09/07,-73,0,-3,-76,4.59,10.8,－・－
607,6417,韋僑,櫃,106.5,-1.5,-1.39,30,09/07,-16,0,1,-15,4.58,10.8,－・＋
608,5309,系統電,櫃,51.4,-0.6,-1.15,863,09/07,-220,6,1,-213,24.9,10.8,－＋＋
609,2617,台航,市,32.9,0.45,1.39,3612,09/07,1933,0,62,1995,45.1,10.8,＋・＋
610,6125,廣運,櫃,50.8,-0.7,-1.36,743,09/07,-157,0,-8,-164,28.0,10.8,－・－
611,6426,統新,市,296.0,26.5,9.83,3492,09/07,435,0,32,467,4.15,10.8,＋・＋
612,910322,康師傅-DR,市,25.15,0.15,0.6,11,09/07,8,0,0,8,2.24,10.8,＋・・
613,8091,翔名,櫃,216.5,1.5,0.7,171,09/07,10,0,1,11,5.73,10.7,＋・＋
614,2323,中環,市,10.8,0.0,0.0,4166,09/07,-899,0,4,-895,116.0,10.6,－・＋
615,6568,宏觀,櫃,135.0,-2.0,-1.46,44,09/07,-16,0,-6,-22,3.26,10.6,－・－
616,6679,鈺太,櫃,207.0,1.0,0.49,1085,09/07,-230,0,-11,-241,5.82,10.6,－・－
617,3466,德晉,櫃,24.2,-0.15,-0.62,156,09/07,5,0,-1,4,8.23,10.6,＋・－
618,2845,遠東銀,市,13.75,0.1,0.73,14882,09/07,5219,-10,238,5448,513.0,10.5,＋－＋
619,9924,福興,市,38.45,0.0,0.0,151,09/07,-49,0,3,-46,15.9,10.5,－・＋
620,1909,榮成,市,10.85,-0.15,-1.36,2662,09/07,-839,0,60,-779,139.0,10.5,－・＋
621,4771,望隼,市,206.0,-2.5,-1.2,148,09/07,-43,0,1,-42,6.16,10.5,－・＋
622,8271,宇瞻,市,222.0,5.0,2.3,1856,09/07,376,0,14,390,13.6,10.5,＋・＋
623,8111,立碁,櫃,73.5,3.5,5.0,17245,09/07,-1426,0,161,-1265,11.4,10.5,－・＋
624,4743,合一,櫃,45.6,0.95,2.13,950,09/07,201,0,13,215,50.3,10.5,＋・＋
625,2491,吉祥全,市,43.0,1.0,2.38,2607,09/07,-185,0,2,-183,8.57,10.4,－・＋
626,6494,九齊,櫃,55.1,-0.9,-1.61,108,09/07,-7,0,0,-7,3.3,10.4,－・・
627,3060,銘異,市,26.2,-0.3,-1.13,575,09/07,-137,0,3,-134,14.4,10.4,－・＋
