排名,代號,名稱,市 場,成交,漲跌 價,漲跌 幅,成交 張數,法人 買賣 日期,外資 買賣超 張數,投信 買賣超 張數,自營 買賣超 張數,合計 買賣超 張數,外資 持有 (千張),外資 持股 (%),法人 買賣超 註記
2101,00982D,主動富邦動態入息,市,9.52,-0.06,-0.63,992,09/11,9,0,154,163,0.26,0.3,＋・＋
2102,5450,南良,櫃,14.4,-0.4,-2.7,99,09/11,-19,0,0,-19,0.42,0.3,－・＋
2103,6169,昱泉,櫃,12.0,-0.15,-1.23,17,09/11,0,0,0,0,0.08,0.3,・・－
2104,6872,浩宇生醫,櫃,24.85,-1.9,-7.1,583,09/11,1,0,0,1,0.24,0.3,＋・・
2105,7782,光速火箭,櫃,25.65,0.1,0.39,5,09/11,-1,0,0,-1,0.08,0.3,－・・
2106,0053,元大電子,市,241.15,-4.85,-1.97,397,09/11,1,0,-378,-377,0.03,0.3,＋・－
2107,00722B,群益投資級電信債,櫃,33.66,-0.19,-0.56,917,09/11,-370,0,147,-223,4.84,0.3,－・＋
2108,00895,富邦未來車,市,49.65,-0.75,-1.49,222,09/11,0,0,155,155,0.48,0.3,・・＋
2109,3118,進階,櫃,31.45,0.05,0.16,24,09/11,0,0,0,0,0.11,0.3,・・＋
2110,4735,豪展,櫃,36.55,0.9,2.52,31,09/11,2,0,2,4,0.14,0.3,＋・＋
2111,7738,東聯互動,櫃,164.5,-0.5,-0.3,32,09/11,-5,0,0,-5,0.09,0.3,－・・
2112,00965,元大航太防衛科技,市,24.99,-0.06,-0.24,523,09/11,-108,0,135,27,1.39,0.3,－・＋
2113,00981B,第一金優選非投債,櫃,9.06,0.0,0.0,10166,09/11,-81,0,-1513,-1594,5.08,0.3,－・－
2114,009824,群益美國科技巨頭,市,10.02,-0.05,-0.5,3484,09/11,56,0,1668,1724,1.7,0.3,＋・＋
2115,8929,富堡,櫃,12.95,-0.05,-0.38,5,09/11,0,0,0,0,0.17,0.3,・・＋
2116,2887G,台新新光庚特一,市,44.2,0.05,0.11,48,09/11,8,0,0,8,0.23,0.3,＋・・
2117,4192,杏國,櫃,18.25,-0.65,-3.44,5,09/11,0,0,0,0,0.11,0.3,・・・
2118,4406,新昕纖,櫃,10.0,0.0,0.0,132,09/11,9,0,0,9,0.16,0.3,＋・・
2119,6496,科懋,櫃,24.65,0.0,0.0,1,09/11,0,0,0,0,0.15,0.3,・・・
2120,6971,惠民實業,櫃,24.9,0.0,0.0,43,09/11,0,0,0,0,0.12,0.3,・・・
2121,00655L,國泰中國A50正2,市,32.79,-0.57,-1.71,1367,09/11,9,0,-196,-187,0.17,0.3,＋・－
2122,00662,富邦NASDAQ,市,118.4,-0.8,-0.67,3327,09/11,3,0,-1904,-1901,2.82,0.3,＋・－
2123,00686R,群益臺灣加權反1,市,0.97,0.0,0.0,7219,09/11,0,0,2554,2554,0.82,0.3,・・＋
2124,00902,中信電池及儲能,市,12.68,-0.31,-2.39,1086,09/11,101,0,-701,-600,0.69,0.3,＋・－
2125,6246,臺龍,櫃,12.75,-0.3,-2.3,12,09/11,1,0,0,1,0.12,0.3,＋・－
2126,00795B,中信美國公債20年,櫃,25.39,-0.16,-0.63,5312,09/11,216,0,-1216,-1000,4.49,0.3,＋・－
2127,2887E,台新新光戊特一,市,48.55,0.0,0.0,169,09/11,0,0,0,0,1.47,0.3,・・・
2128,3632,研勤,櫃,7.11,0.0,0.0,6,09/11,0,0,0,0,0.12,0.3,・・・
2129,00633L,富邦上証正2,市,47.2,-0.7,-1.46,2669,09/11,-20,0,-874,-894,0.34,0.3,－・－
2130,00671R,富邦NASDAQ反1,市,2.46,0.02,0.82,3476,09/11,0,0,571,571,1.46,0.3,・・＋
2131,00921,兆豐龍頭等權重,市,24.34,-0.21,-0.86,712,09/11,-6,0,-606,-612,0.16,0.3,－・－
2132,1435,中福,市,22.65,-0.65,-2.79,11,09/11,-7,0,0,-7,0.4,0.3,－・・
2133,6527,明達醫,櫃,75.8,-1.6,-2.07,29,09/11,-3,0,0,-3,0.07,0.3,－・・
2134,6958A,日盛台駿甲特,市,20.25,-0.05,-0.25,3,09/11,0,0,0,0,0.11,0.3,・・・
2135,00687B,國泰20年美債,櫃,26.59,-0.16,-0.6,12334,09/11,1695,0,95,1789,11.6,0.3,＋・＋
2136,00701,國泰股利精選30,市,40.87,0.29,0.71,751,09/11,-101,0,10,-91,0.47,0.3,－・＋
2137,00918,大華優利高填息30,市,35.34,-0.04,-0.11,79278,09/11,777,0,-61819,-61042,11.2,0.3,＋・－
2138,009811,統一美國50,市,13.14,-0.02,-0.15,1293,09/11,12,0,170,182,0.65,0.3,＋・＋
2139,009823,群益S&P500,櫃,10.29,-0.03,-0.29,1949,09/11,97,0,169,266,0.98,0.3,＋・＋
2140,3288,點晶,櫃,20.2,-0.15,-0.74,22,09/11,-1,0,-1,-2,0.04,0.3,－・－
2141,3521,台鋼建設,櫃,12.0,-0.05,-0.41,17,09/11,0,0,0,0,0.4,0.3,・・・
2142,6692,進能服,櫃,23.95,0.15,0.63,4,09/11,0,0,0,0,0.16,0.3,・・・
2143,8401,白紗科,櫃,22.65,0.0,0.0,87,09/11,1,0,0,1,0.19,0.3,＋・・
2144,8931,大汽電,櫃,41.25,0.2,0.49,90,09/11,7,0,0,7,0.34,0.3,＋・＋
2145,00670L,富邦NASDAQ正2,市,194.2,-4.5,-2.26,749,09/11,-20,0,-387,-407,0.2,0.3,－・－
2146,00697B,元大美債7-10,櫃,34.63,-0.11,-0.32,930,09/11,-1,0,-76,-77,0.17,0.3,－・－
2147,1312A,國喬特,市,22.8,0.0,0.0,15,09/11,0,0,0,0,0.05,0.3,・・・
2148,3593,力銘,市,10.35,0.05,0.49,3,09/11,0,0,0,0,0.16,0.3,・・・
2149,4528,江興鍛,櫃,14.9,0.0,0.0,9,09/11,0,0,0,0,0.23,0.3,・・＋
2150,00753L,中信中國50正2,市,8.85,-0.07,-0.78,9043,09/11,-329,0,-4183,-4512,1.72,0.2,－・－
2151,1742,台蠟,櫃,17.5,-0.1,-0.57,40,09/11,0,0,0,0,0.23,0.2,・・＋
2152,3666,光耀,櫃,25.0,0.0,0.0,41,09/11,2,0,0,2,0.35,0.2,＋・・
2153,5364,力麗店,櫃,8.38,0.0,0.0,16,09/11,-3,0,0,-3,0.16,0.2,－・・
2154,6210,慶生,櫃,17.85,0.1,0.56,2,09/11,0,0,1,1,0.09,0.2,・・＋
2155,8450,霹靂,櫃,14.45,0.05,0.35,134,09/11,4,0,1,5,0.13,0.2,＋・＋
2156,00669R,國泰美國道瓊反1,市,5.28,0.03,0.57,711,09/11,0,0,469,469,0.5,0.2,・・＋
2157,00959B,大華投等美債15Y+,櫃,8.92,-0.04,-0.45,1573,09/11,1,0,515,516,1.25,0.2,＋・＋
2158,00982T,平衡兆豐台美動能,市,15.91,-0.3,-1.85,363,09/11,5,0,-338,-333,0.04,0.2,＋・－
2159,6171,大城地產,櫃,25.95,-0.35,-1.33,53,09/11,2,0,0,2,0.24,0.2,＋・・
2160,00882,中信中國高股息,市,14.8,-0.04,-0.27,4263,09/11,9,0,565,574,4.71,0.2,＋・＋
2161,00962,台新AI優息動能,市,15.01,-0.22,-1.44,6945,09/11,-1,0,-6056,-6057,0.21,0.2,－・－
2162,009800,中信NASDAQ,市,12.81,-0.11,-0.85,1285,09/11,-73,0,-90,-163,0.73,0.2,－・－
2163,00983D,主動富邦複合收益,市,9.76,-0.03,-0.31,297,09/11,-65,0,-130,-195,0.24,0.2,－・－
2164,5704,老爺知,櫃,22.8,-0.1,-0.44,21,09/11,-1,0,0,-1,0.14,0.2,－・・
2165,7820,立盈,櫃,110.0,-3.0,-2.65,35,09/11,-3,0,0,-3,0.09,0.2,－・・
2166,00690,兆豐藍籌30,市,78.3,-1.35,-1.69,408,09/11,0,0,-218,-218,0.19,0.2,・・－
2167,00948B,中信優息投資級債,櫃,9.0,-0.04,-0.44,3289,09/11,1,0,611,612,9.01,0.2,＋・＋
2168,2719,燦星旅,櫃,19.4,0.05,0.26,43,09/11,-4,0,0,-4,0.15,0.2,－・・
2169,3499,環天科,櫃,13.3,-0.15,-1.12,64,09/11,-7,0,0,-7,0.13,0.2,－・－
2170,5548,安倉,櫃,20.25,-0.2,-0.98,1,09/11,0,0,0,0,0.14,0.2,・・・
2171,6767,台微醫,櫃,24.65,0.15,0.61,1,09/11,0,0,0,0,0.09,0.2,・・・
2172,6947,台鎔科技,市,68.6,-1.3,-1.86,135,09/11,-2,0,0,-2,0.24,0.2,－・・
2173,7689,大鵬科CLMX,市,156.5,-3.0,-1.88,65,09/11,-7,0,0,-7,0.13,0.2,－・・
2174,8941,關中,櫃,44.35,0.0,0.0,0,09/11,0,0,0,0,0.08,0.2,・・・
2175,00857B,永豐20年美公債,櫃,22.09,-0.12,-0.54,783,09/11,0,0,329,329,1.32,0.2,・・＋
2176,00953B,群益優選非投等債,市,9.51,0.02,0.21,37793,09/11,725,0,4924,5649,10.0,0.2,＋・＋
2177,2838A,聯邦銀甲特,市,51.8,-0.1,-0.19,101,09/11,0,0,0,0,0.43,0.2,・・・
2178,3191,雲嘉南,櫃,16.75,0.15,0.9,5,09/11,-1,0,0,-1,0.1,0.2,－・・
2179,00706L,期元大S&P日圓正2,市,20.09,-0.18,-0.89,1233,09/11,8,0,875,883,0.26,0.2,＋・＋
2180,00929,復華台灣科技優息,市,28.62,-0.38,-1.31,53220,09/11,-1793,0,-42498,-44291,10.8,0.2,－・－
2181,3508,位速,櫃,21.2,0.3,1.44,93,09/11,8,0,0,8,0.23,0.2,＋・・
2182,6240,松崗,櫃,22.8,0.25,1.11,15,09/11,-2,0,0,-2,0.05,0.2,－・・
2183,6855,數泓科,櫃,115.0,-2.0,-1.71,5,09/11,1,0,0,1,0.05,0.2,＋・・
2184,00853B,統一美債10年Aa-A,櫃,26.29,-0.16,-0.6,529,09/11,-6,0,12,6,0.35,0.2,－・＋
2185,5344,立衛,櫃,13.5,0.25,1.89,10,09/11,-4,0,0,-4,0.16,0.2,－・・
2186,6662,樂斯科,櫃,28.5,0.0,0.0,1,09/11,0,0,0,0,0.05,0.2,・・・
2187,8477,創業家,櫃,15.3,-0.15,-0.97,19,09/11,0,0,0,0,0.17,0.2,・・・
2188,00764B,群益25年美債,櫃,26.49,-0.16,-0.6,2049,09/11,22,0,-69,-47,2.86,0.2,＋・－
2189,009826,貝萊德世界股票,市,9.97,-0.04,-0.4,21402,09/11,-62,0,-16304,-16365,1.46,0.2,－・－
2190,2002A,中鋼特,市,37.1,-0.2,-0.54,7,09/11,0,0,0,0,0.07,0.2,・・・
2191,8921,沈氏,櫃,16.3,-0.1,-0.61,3,09/11,0,0,0,0,0.09,0.2,・・・
2192,00930,永豐ESG低碳高息,市,23.91,-0.21,-0.87,1853,09/11,-19,0,-1716,-1735,0.24,0.2,－・－
2193,00967B,元大優息美債,櫃,8.73,-0.06,-0.68,606,09/11,0,0,198,198,0.32,0.2,・・＋
2194,4433,興采,櫃,18.6,-0.15,-0.8,75,09/11,5,0,0,5,0.11,0.2,＋・－
2195,4535,至興,櫃,27.5,-0.5,-1.79,23,09/11,-3,0,0,-3,0.13,0.2,－・－
2196,6228,全譜,櫃,17.3,0.0,0.0,0,09/11,0,0,0,0,0.05,0.2,・・・
2197,6846,綠茵,櫃,57.0,-1.3,-2.23,11,09/11,1,0,0,1,0.05,0.2,＋・・
2198,8102,傑霖科技,櫃,63.0,-0.1,-0.16,6,09/11,-5,0,0,-5,0.04,0.2,－・・
2199,8272,全景軟體,櫃,62.1,-0.8,-1.27,9,09/11,0,0,0,0,0.03,0.2,・・・
2200,00759B,復華製藥債,櫃,51.65,-0.35,-0.67,100,09/11,0,0,0,0,0.08,0.2,・・－
2201,00841B,凱基AAA-AA公司債,櫃,26.86,-0.2,-0.74,100,09/11,0,0,0,0,0.11,0.2,・・・
2202,00957B,兆豐US優選投等債,櫃,12.75,-0.05,-0.39,352,09/11,-90,0,270,180,0.3,0.2,－・＋
2203,00969B,元大零息超長美債,櫃,7.79,-0.07,-0.89,964,09/11,8,0,-700,-692,0.25,0.2,＋・－
2204,009822,華南永昌未來金融,櫃,9.75,-0.03,-0.31,700,09/11,0,0,-20,-20,0.12,0.2,・・－
2205,2064,晉椿,櫃,12.25,0.0,0.0,0,09/11,0,0,0,0,0.11,0.2,・・・
2206,4538,大詠城,櫃,17.35,-0.25,-1.42,9,09/11,0,0,0,0,0.1,0.2,・・－
2207,5355,佳總,櫃,5.89,0.09,1.55,41,09/11,0,0,0,0,0.27,0.2,・・・
2208,6028,公勝保經,櫃,95.7,1.6,1.7,9,09/11,0,0,0,0,0.04,0.2,・・・
2209,7753,星亞,櫃,36.2,-0.25,-0.69,15,09/11,-1,0,0,-1,0.04,0.2,－・・
2210,8342,益張,櫃,87.0,0.0,0.0,0,09/11,0,0,0,0,0.05,0.2,・・・
2211,00685L,群益臺灣加權正2,市,11.84,-0.42,-3.43,395908,09/11,-2800,0,-182748,-185549,8.86,0.2,－・－
2212,00919,群益台灣精選高息,市,32.48,-0.07,-0.22,116366,09/11,-1395,0,-81096,-82490,29.0,0.2,－・－
2213,009803,玉山市值動能50,市,21.76,-0.4,-1.81,18378,09/11,4,250,-16980,-16725,0.4,0.2,＋＋－
2214,009825,聯邦美國金融創新,櫃,9.9,-0.1,-1.0,315,09/11,1,0,-212,-211,0.18,0.2,＋・－
