代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,外資 連續 買賣 日數,外資 連續 買賣 張數,外資 連續 買賣 佔 成交 (%),外資 連續 買賣 佔發 行量 (%),投信 連續 買賣 日數,投信 連續 買賣 張數,投信 連續 買賣 佔 成交 (%),投信 連續 買賣 佔發 行量 (%),自營 商 連續 買賣 日數,自營 商 連續 買賣 張數,自營 商 連續 買賣 佔 成交 (%),自營 商 連續 買賣 佔發 行量 (%),三大 法人 連續 買賣 日數,三大 法人 連續 買賣 張數,三大 法人 連續 買賣 佔 成交 (%),三大 法人 連續 買賣 佔發 行量 (%)
00950B,凱基A級公司債,14.05,-0.04,-0.28,06/01,29,67857,36.4,1.67,0,0,0.0,0.0,-7,-14517,-31.0,-0.36,2,1595,10.6,0.04
00909,國泰數位支付服務,51.75,-0.25,-0.48,06/01,21,23407,28.2,18.7,0,0,0.0,0.0,10,11170,35.6,8.92,30,80168,57.8,64.0
00725B,國泰投資級公司債,35.09,-0.06,-0.17,06/01,18,44642,47.7,1.19,0,0,0.0,0.0,-2,-1666,-10.9,-0.04,10,30545,53.3,0.81
00937B,群益ESG投等債20+,14.82,-0.03,-0.2,06/01,15,459225,46.4,2.61,0,0,0.0,0.0,1,2080,2.68,0.01,10,353813,52.1,2.01
00948B,中信優息投資級債,9.45,-0.02,-0.21,06/01,15,95807,51.5,2.31,0,0,0.0,0.0,1,1054,10.3,0.03,10,67488,60.7,1.62
2492,華新科,416.0,22.0,5.58,06/01,14,33863,18.2,6.98,0,0,0.0,0.0,10,2139,2.75,0.44,10,23414,30.1,4.83
2882,國泰金,88.2,2.5,2.92,06/01,13,244318,38.9,1.67,-13,-218250,-34.8,-1.49,1,639,1.13,0.0,1,4352,7.67,0.03
2506,太設,8.72,0.07,0.81,06/01,12,535,26.3,0.14,0,0,0.0,0.0,0,0,0.0,0.0,12,534,26.2,0.14
6598,ABC-KY,24.2,-0.55,-2.22,06/01,12,523,18.4,0.51,0,0,0.0,0.0,2,3,0.6,0.0,12,543,19.1,0.53
00701,國泰股利精選30,34.72,0.64,1.88,06/01,11,2007,13.1,1.14,0,0,0.0,0.0,3,996,17.2,0.56,34,16076,35.4,9.11
00757,統一FANG+,137.9,4.2,3.14,06/01,11,5169,19.6,1.77,0,0,0.0,0.0,-1,-2343,-51.0,-0.8,-1,-1004,-21.9,-0.34
2885,元大金,59.2,-0.4,-0.67,06/01,11,77908,19.7,0.58,-16,-95152,-18.4,-0.71,1,11,0.04,0.0,-1,-4850,-15.6,-0.04
3349,寶德,17.9,0.1,0.56,06/01,11,571,25.6,1.24,0,0,0.0,0.0,0,0,0.0,0.0,11,571,25.6,1.24
3607,谷崧,16.2,0.55,3.51,06/01,11,1546,21.4,1.27,0,0,0.0,0.0,0,0,0.0,0.0,11,1545,21.4,1.27
6414,樺漢,375.5,15.0,4.16,06/01,11,4705,22.0,3.23,1,234,8.89,0.16,-10,-584,-3.09,-0.4,11,4644,21.7,3.18
6657,華安,38.05,-0.55,-1.42,06/01,11,419,17.5,0.47,0,0,0.0,0.0,1,1,0.18,0.0,11,420,17.6,0.47
00717,富邦美國特別股,15.08,0.0,0.0,06/01,10,2284,79.6,1.73,0,0,0.0,0.0,1,1,0.44,0.0,38,10757,84.5,8.14
00720B,元大投資級公司債,32.96,-0.1,-0.3,06/01,10,33831,38.3,0.81,0,0,0.0,0.0,3,7330,31.8,0.18,10,48853,55.3,1.18
00724B,群益投資級金融債,33.59,-0.09,-0.27,06/01,10,2644,6.3,0.09,0,0,0.0,0.0,3,182,1.99,0.01,9,2825,7.74,0.09
00730,富邦臺灣優質高息,28.78,0.7,2.49,06/01,10,1057,30.3,1.42,0,0,0.0,0.0,2,24,3.05,0.03,2,398,50.1,0.53
00795B,中信美國公債20年,26.53,-0.13,-0.49,06/01,10,30770,38.3,1.76,0,0,0.0,0.0,1,1194,19.4,0.07,10,38303,47.7,2.19
00931B,統一美債20年,13.32,-0.07,-0.52,06/01,10,27474,46.3,1.25,0,0,0.0,0.0,3,4348,24.7,0.2,10,31111,52.4,1.41
00933B,國泰10Y+金融債,15.95,-0.03,-0.19,06/01,10,47965,36.4,0.72,0,0,0.0,0.0,-2,-631,-3.07,-0.01,10,73457,55.7,1.11
00936,台新永續高息中小,21.37,0.87,4.24,06/01,10,12372,26.1,5.12,0,0,0.0,0.0,-1,-480,-8.22,-0.2,41,164192,70.8,67.9
00939,統一台灣高息動能,20.5,0.22,1.08,06/01,10,14026,17.4,1.14,0,0,0.0,0.0,3,4511,22.2,0.37,41,244676,58.2,19.9
009817,國泰日本不動產,8.77,-0.15,-1.68,06/01,10,7938,18.0,2.93,0,0,0.0,0.0,-1,-422,-15.2,-0.16,-1,-346,-12.5,-0.13
00984B,大華優利美A債15,16.38,-0.03,-0.18,06/01,10,15033,61.7,8.87,0,0,0.0,0.0,-2,-3343,-55.1,-1.97,10,13767,56.5,8.13
1614,三洋電,32.15,0.65,2.06,06/01,10,187,31.9,0.07,0,0,0.0,0.0,-1,-1,-1.81,0.0,10,194,33.1,0.07
2392,正崴,41.85,2.6,6.62,06/01,10,5586,16.4,1.09,0,0,0.0,0.0,8,609,2.15,0.12,10,6177,18.2,1.21
3005,神基,107.0,3.0,2.88,06/01,10,13666,23.0,2.19,-19,-11557,-10.6,-1.85,2,105,0.82,0.02,1,845,12.5,0.14
4106,雃博,24.4,0.0,0.0,06/01,10,318,16.0,0.32,0,0,0.0,0.0,1,5,1.51,0.01,1,55,15.4,0.05
6270,倍微,28.15,0.5,1.81,06/01,10,1096,21.1,1.52,0,0,0.0,0.0,0,0,0.0,0.0,10,1096,21.1,1.52
6446,藥華藥,962.0,32.0,3.44,06/01,10,5473,16.9,1.44,6,304,1.35,0.08,-1,-13,-0.32,0.0,10,5082,15.7,1.34
6509,聚和,51.5,1.6,3.21,06/01,10,7368,16.0,3.75,0,0,0.0,0.0,-1,-51,-1.42,-0.03,10,7466,16.2,3.8
6546,正基,85.4,0.9,1.07,06/01,10,1927,11.7,2.88,0,0,0.0,0.0,3,121,1.92,0.18,10,2185,13.3,3.27
0056,元大高股息,51.9,1.7,3.39,06/01,9,101147,20.6,0.74,2,225,0.19,0.0,26,412766,23.2,3.04,9,194383,39.6,1.43
